state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
North Dakota,1978,1,33,34,0,0,0,0,4,4,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,159,162
North Dakota,1979,1,29,30,0,0,0,0,2,2,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,1,148,149
North Dakota,1980,1,41,42,0,0,0,0,1,1,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,209,210
North Dakota,1981,0,48,48,0,0,0,0,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,227,230
North Dakota,1982,0,41,41,0,0,0,0,7,7,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,264,274
North Dakota,1983,4,68,72,0,0,0,1,7,8,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,325,330
North Dakota,1984,4,75,79,0,0,0,1,7,8,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,338,345
North Dakota,1985,3,68,71,0,2,2,1,4,5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,339,344
North Dakota,1986,3,71,74,0,1,1,0,6,6,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,332,340
North Dakota,1987,1,59,60,0,1,1,0,4,4,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,359,365
North Dakota,1988,1,74,75,1,1,2,0,7,7,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,376,382
North Dakota,1989,2,66,68,0,1,1,0,4,4,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,19,359,378
North Dakota,1990,2,82,84,0,1,1,0,5,5,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,19,374,393
North Dakota,1991,6,82,88,0,3,3,0,4,4,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25,372,397
North Dakota,1992,5,86,91,0,3,3,1,7,8,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,367,375
North Dakota,1993,3,89,92,0,2,2,0,12,12,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18,374,392
North Dakota,1994,8,89,97,0,2,2,0,18,18,0,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,411,419
North Dakota,1995,7,110,117,0,0,0,0,18,18,1,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,22,451,473
North Dakota,1996,10,156,166,0,3,3,1,22,23,1,44,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,34,496,530
North Dakota,1997,16,143,159,NA,NA,NA,1,19,20,3,37,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,44,567,611
North Dakota,1998,14,158,172,NA,NA,NA,1,30,31,1,52,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,54,649,703
