state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Michigan,2016,7742571,6254536,9928300,5047997,4880303,3978848,3763723,3147152,3107384,2242,38880,0,0,0,2242,38880,41122,NA,NA,NA,2242,38880,41122
Michigan,2015,7716975,6259849,9922576,5047175,4875401,3974610,3742365,3156693,3103156,2273,40355,0,0,0,2273,40355,42628,NA,NA,NA,2273,40355,42628
Michigan,2014,7691682,6280917,9909877,5040794,4869083,3961750,3729932,3167447,3113470,2123,41236,0,0,0,2123,41236,43359,NA,NA,NA,2123,41236,43359
Michigan,2013,7653816,6286790,9895622,5038988,4856634,3948070,3705746,3181474,3105316,2059,41645,0,0,0,2059,41645,43704,0,0,0,2059,41645,43704
Michigan,2012,7619243,6295893,9883360,5031449,4851911,3930239,3689004,3176779,3119114,1989,41605,0,0,0,1989,41605,43594,0,0,0,1989,41605,43594
Michigan,2011,7588963,6295160,9876187,5031159,4845028,3915102,3673861,3175940,3119220,1909,40995,0,0,0,1909,40995,42904,0,0,0,1909,40995,42904
Michigan,2010,7544057,6269017,9877574,5030065,4847509,3895783,3648274,3167553,3101464,1869,42244,0,0,0,1869,42244,44113,0,0,0,1869,42244,44113
Michigan,2009,7622296,6373690,9969727,5067237,4902490,3920005,3702291,3202994,3170696,1755,43723,0,0,0,1755,43723,45478,NA,NA,NA,1755,43723,45478
Michigan,2008,7608188,6407946,10003422,5084963,4918459,3917902,3690286,3221102,3186844,1957,46781,0,0,0,1957,46781,48738,NA,NA,NA,1957,46781,48738
Michigan,2007,7623930,6426159,10071822,5112909,4958913,3920804,3703126,3218757,3207402,2080,48153,0,0,0,2080,48153,50233,NA,NA,NA,2080,48153,50233
Michigan,2006,7618465,6438426,10095643,5127278,4968365,3911443,3707022,3225273,3213153,2163,49352,0,0,0,2163,49352,51515,NA,NA,NA,2163,49352,51515
Michigan,2005,7369085,6245646,9857477,5022761,4834716,3804735,3564350,3155515,3090131,2111,47382,0,0,0,2111,47382,49493,0,0,0,2111,47382,49493
Michigan,2004,7335671,6224416,9858908,5051238,4807670,3812228,3523443,3168780,3055636,2113,46718,0,480,480,2113,46238,48351,0,0,0,2113,46238,48351
Michigan,2003,7299296,6200155,9825840,5037876,4787964,3790848,3508448,3154031,3046124,2198,47160,0,480,480,2198,46680,48878,0,0,0,2198,46680,48878
Michigan,2002,7234529,6138007,9797198,5016885,4780313,3761415,3473114,3120371,3017636,2267,48324,0,460,460,2267,47864,50131,NA,NA,NA,2267,47864,50131
Michigan,2001,7289930,6203932,9740127,4987320,4752807,3792688,3497242,3159491,3044441,2149,46700,0,449,449,2149,46251,48400,NA,NA,NA,2149,46251,48400
Michigan,2000,7125917,6032102,9669167,4905269,4763898,3716180,3409737,3080216,2951886,2131,45587,0,449,449,2131,45138,47269,NA,NA,NA,2131,45138,47269
Michigan,1999,7095814.8,6008853.9,9630731.3,4892553.3,4738178,3702338.8,3393476,3068208.8,2940645.1,2027,44590,0,301,301,2027,44289,46316,0,0,0,2027,44590,46617
Michigan,1998,7065712.6,5985605.8,9592295.6,4879837.6,4712458,3688497.6,3377215,3056201.6,2929404.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2052,43827,45879
Michigan,1997,7035610.4,5962357.7,9553859.9,4867121.9,4686738,3674656.4,3360954,3044194.4,2918163.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056,42715,44771
Michigan,1996,7005508.2,5939109.6,9515424.2,4854406.2,4661018,3660815.2,3344693,3032187.2,2906922.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,40429,42349
Michigan,1995,6975406,5915861.5,9476988.5,4841690.5,4635298,3646974,3328432,3020180,2895681.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1842,39270,41112
Michigan,1994,6945303.8,5892613.4,9438552.8,4828974.8,4609578,3633132.8,3312171,3008172.8,2884440.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2021,38610,40631
Michigan,1993,6915201.6,5869365.3,9400117.1,4816259.1,4583858,3619291.6,3295910,2996165.6,2873199.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1798,37520,39318
Michigan,1992,6885099.4,5846117.2,9361681.4,4803543.4,4558138,3605450.4,3279649,2984158.4,2861958.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1842,37271,39113
Michigan,1991,6854997.2,5822869.1,9323245.7,4790827.7,4532418,3591609.2,3263388,2972151.2,2850717.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1734,34689,36423
Michigan,1990,6824895,5799621,9284810,4778112,4506698,3577768,3247127,2960144,2839477,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1688,32579,34267
Michigan,1989,6792747.5,5786418.9,9283643,4776692.8,4506950.2,3560587.2,3232160.3,2954791.6,2831627.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1586,30053,31639
Michigan,1988,6760600,5773216.8,9282476,4775273.6,4507202.4,3543406.4,3217193.6,2949439.2,2823777.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1333,26279,27612
Michigan,1987,6728452.5,5760014.7,9281309,4773854.4,4507454.6,3526225.6,3202226.9,2944086.8,2815927.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1183,22696,23879
Michigan,1986,6696305,5746812.6,9280142,4772435.2,4507706.8,3509044.8,3187260.2,2938734.4,2808078.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,814,19724,20538
Michigan,1985,6664157.5,5733610.5,9278975,4771016,4507959,3491864,3172293.5,2933382,2800228.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,814,16941,17755
Michigan,1984,6632010,5720408.4,9277808,4769596.8,4508211.2,3474683.2,3157326.8,2928029.6,2792378.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,683,13921,14604
Michigan,1983,6599862.5,5707206.3,9276641,4768177.6,4508463.4,3457502.4,3142360.1,2922677.2,2784529.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,660,13850,14510
Michigan,1982,6567715,5694004.2,9275474,4766758.4,4508715.6,3440321.6,3127393.4,2917324.8,2776679.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,14913
Michigan,1981,6535567.5,5680802.1,9274307,4765339.2,4508967.8,3423140.8,3112426.7,2911972.4,2768829.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15157
Michigan,1980,6503420,5667600,9273140,4763920,4509220,3405960,3097460,2906620,2760980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15124
Michigan,1979,6413958,5591780,9232636,4744398,4488238,3359794,3054164,2870628,2721152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15002
