state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Maryland,2016,4670079,3856774,6016447,3106577,2909870,2445415,2224664,1980791,1875983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2015,4660389,3881325,6006401,3102384,2904017,2439831,2220558,1992583,1888742,13,222,235,6,169,175,NA,NA,NA,19,391,410
Maryland,2014,4629135,3876577,5976407,3075744,2900663,2421400,2207735,1990639,1885938,25,328,353,7,79,86,NA,NA,NA,32,407,439
Maryland,2013,4584537,3855107,5928814,3048733,2880081,2394678,2189859,1978053,1877054,30,339,369,13,103,116,NA,NA,NA,43,442,485
Maryland,2012,4542240,3844639,5884563,3037249,2847314,2378279,2163961,1978114,1866525,30,339,369,13,103,116,NA,NA,NA,43,442,485
Maryland,2011,4482257,3802189,5828289,3010367,2817922,2347748,2134509,1953271,1848918,NA,NA,NA,15,30,45,45,482,527,60,512,572
Maryland,2010,4435314,3774006,5785982,2983757,2802225,2325662,2109652,1942540,1831466,51,510,561,13,148,161,NA,NA,NA,64,658,722
Maryland,2009,4349876,3702336,5699478,2934017,2765461,2275402,2074474,1896581,1805755,25,378,403,7,155,162,NA,NA,NA,32,533,565
Maryland,2008,4298747,3667568,5633597,2905557,2728040,2254179,2044568,1886477,1781091,35,423,458,9,121,130,NA,NA,NA,44,544,588
Maryland,2007,4254353,3641201,5618344,2902765,2715579,2230992,2023361,1869289,1771912,80,389,469,38,129,167,0,0,0,118,518,636
Maryland,2006,4253201,3651864,5615727,2900643,2715084,2234705,2018496,1882176,1769688,33,318,351,13,248,261,NA,NA,NA,46,566,612
Maryland,2005,4064639,3498789,5453441,2820544,2632897,2142612,1922027,1815111,1683678,42,221,263,32,376,408,NA,NA,NA,74,597,671
Maryland,2004,4036800,3474970,5424648,2805891,2618757,2138682,1898118,1809034,1665936,58,530,588,27,177,204,NA,NA,NA,85,707,792
Maryland,2003,4006514,3451110,5380487,2797390,2583097,2118017,1888497,1793580,1657530,111,624,735,25,228,253,NA,NA,NA,136,852,988
Maryland,2002,3950234,3402432,5329992,2759027,2570965,2091828,1858406,1773481,1628951,130,585,715,22,230,252,NA,NA,NA,152,815,967
Maryland,2001,3845370,3306163,5247157,2720491,2526666,2041140,1804230,1723282,1582881,81,507,588,16,197,213,0,29,29,97,733,830
Maryland,2000,3792153,3259443,5120923,2684195,2436728,2051425,1740728,1725905,1533538,23,195,218,29,296,325,67,388,455,119,879,998
Maryland,1999,3774410.3,3247239,5086910.3,2661619.6,2425290.7,2035421.4,1738988.9,1713614.9,1533624.1,65,426,491,19,300,319,2,8,10,86,734,820
Maryland,1998,3756667.6,3235035,5052897.6,2639044.2,2413853.4,2019417.8,1737249.8,1701324.8,1533710.2,50,379,429,16,188,204,15,38,53,81,605,686
Maryland,1997,3738924.9,3222831,5018884.9,2616468.8,2402416.1,2003414.2,1735510.7,1689034.7,1533796.3,NA,NA,272,NA,NA,274,NA,NA,220,84,682,766
Maryland,1996,3721182.2,3210627,4984872.2,2593893.4,2390978.8,1987410.6,1733771.6,1676744.6,1533882.4,NA,NA,521,NA,NA,274,NA,NA,37,69,763,832
Maryland,1995,3703439.5,3198423,4950859.5,2571318,2379541.5,1971407,1732032.5,1664454.5,1533968.5,NA,NA,362,NA,NA,258,NA,NA,104,59,665,724
Maryland,1994,3685696.8,3186219,4916846.8,2548742.6,2368104.2,1955403.4,1730293.4,1652164.4,1534054.6,NA,NA,513,NA,NA,211,NA,NA,50,61,713,774
Maryland,1993,3667954.1,3174015,4882834.1,2526167.2,2356666.9,1939399.8,1728554.3,1639874.3,1534140.7,NA,NA,496,NA,NA,165,NA,NA,108,57,712,769
Maryland,1992,3650211.4,3161811,4848821.4,2503591.8,2345229.6,1923396.2,1726815.2,1627584.2,1534226.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666
Maryland,1991,3632468.7,3149607,4814808.7,2481016.4,2333792.3,1907392.6,1725076.1,1615294.1,1534312.9,NA,NA,324,NA,NA,19,NA,NA,135,NA,NA,478
