state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
US Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,156,636,792,11951,54703,66654,21057,147471,168528,238,1300,1538,4865,25534,30399,390,2355,2745,423,4333,4756,15331,145843,161174,75389,555272,630661,1439,17755,19194,20,115,135,18731,147141,165872
US Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,131,583,714,11943,55207,67150,20274,147876,168150,227,1336,1563,4669,24918,29587,409,2209,2618,352,3466,3818,13419,127297,140716,75609,571272,646881,341,3236,3577,11,102,113,20036,159101,179137
US Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,126,534,660,12063,55281,67344,18952,149075,168027,176,1117,1293,4637,26021,30658,387,2041,2428,341,3405,3746,13203,126692,139895,72567,569394,641961,414,3305,3719,19,89,108,19108,156323,175431
US Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,116,610,726,11217,54439,65656,19465,147262,166727,175,1128,1303,4649,27366,32015,371,2500,2871,370,3458,3828,12287,123200,135487,70245,559704,629949,428,3466,3894,16,182,198,17605,153297,170902
US Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,113,826,939,10489,52944,63433,18414,149938,168352,176,1423,1599,5125,34352,39477,416,3212,3628,335,3338,3673,11718,124542,136260,69859,572961,642820,600,2937,3537,11,84,95,21127,188325,209452
US Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,126,1043,1169,10305,53837,64142,16562,145639,162201,217,1799,2016,5287,34852,40139,388,2466,2854,259,2665,2924,17657,190542,208199,72695,623611,696306,274,1775,2049,17,271,288,20404,179056,199460
US Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,50,686,736,9739,52727,62466,16193,141498,157691,314,1488,1802,4941,33411,38352,1421,9869,11290,390,4461,4851,21398,212635,234033,75176,639055,714231,269,2724,2993,63,453,516,19380,169973,189353
US Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,60,888,948,8649,45024,53673,17161,144498,161659,331,1566,1897,4991,34080,39071,1420,9870,11290,424,4436,4860,24109,226992,251101,78588,660404,738992,263,6135,6398,64,467,531,20521,178982,199503
US Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,41,755,796,8292,42587,50879,17255,139699,156954,233,1461,1694,5419,37423,42842,1457,10759,12216,226,2164,2390,24826,229849,254675,80550,660426,740976,294,2550,2844,62,474,536,21237,182047,203284
US Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,97,1176,1273,8716,44968,53684,17095,140602,157697,212,1561,1773,4149,28821,32970,1349,10073,11422,321,2552,2873,25889,235486,261375,78759,648601,727360,210,2945,3155,14,110,124,19643,168204,187847
