state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
North Dakota,2016,584891,480919,757953,367311,390642,284469,300422,227303,253616,44091,22787,21304,27591,15438,12153,25108,13677,11431,6891,4105,2786,6418,3903,2515,5603,3088,2515,19632,6654,12978,15271,4720,10551,14899,4348,10551,24370,10883,13487,15066,6587,8479,14090,5977,8113,17972,7160,10812,10988,4416,6572,10833,4416,6417,644997,315722,329275,509557,249405,260152,410386,195797,214589,65,292,357,1,7,8,5,135,140,10,91,101,0,0,0,131,1048,1179
North Dakota,2015,584774,482817,756928,368326,388602,284233,300541,227159,255658,37049,16844,20205,24410,11768,12642,22682,10644,12038,9688,5756,3932,8131,4489,3642,7729,4201,3528,12718,5108,7610,9577,3665,5912,9160,3512,5648,25876,12925,12951,16710,7901,8809,15669,7027,8642,20829,9501,11328,11682,4958,6724,10820,4399,6421,650768,318192,332576,514264,251452,262812,416757,197376,219381,63,294,357,1,7,8,5,136,141,10,92,102,0,0,0,128,1053,1181
North Dakota,2014,572255,474147,739482,362327,377155,281476,290779,227326,246821,45293,22394,22899,29490,15403,14087,27060,14477,12583,7943,4137,3806,6175,3616,2559,5572,3167,2405,15515,7133,8382,11379,4910,6469,11059,4910,6149,17878,8818,9060,11617,6089,5528,11344,6037,5307,10430,6052,4378,4937,2398,2539,4770,2263,2507,642423,313793,328630,508657,249060,259597,414342,196472,217870,70,278,348,1,5,6,5,114,119,6,82,88,0,0,0,120,1029,1149
North Dakota,2013,563342,470064,723393,354742,368651,276354,286988,224507,245557,39687,21211,18476,26123,14040,12083,24071,12996,11075,7623,4187,3436,6374,3058,3316,6104,2995,3109,12485,5947,6538,9123,4086,5037,8845,4086,4759,16387,6473,9914,12012,4682,7330,11683,4567,7116,15465,6144,9321,8259,4183,4076,7870,3918,3952,631746,310780,320966,501451,246305,255146,411491,195945,215546,41,262,303,0,4,4,4,81,85,5,67,72,0,0,0,107,986,1093
North Dakota,2012,546266,452599,699628,340386,359242,265616,280650,212354,240245,35847,17585,18262,24094,11969,12125,21886,10318,11568,10738,3660,7078,6827,2247,4580,6827,2247,4580,11476,3031,8445,8180,1686,6494,8180,1686,6494,16459,8790,7669,10480,4903,5577,10177,4832,5345,8934,4358,4576,5086,2092,2994,5050,2092,2958,616174,302962,313212,491599,242719,248880,400479,191179,209300,53,221,274,0,3,3,6,87,93,8,56,64,0,0,0,104,973,1077
North Dakota,2011,532740,438520,683932,338937,344995,264562,268178,212106,226414,37432,19428,18004,23403,12453,10950,21868,11472,10396,6927,3584,3343,5379,2598,2781,5191,2410,2781,5244,2452,2792,3627,1712,1915,3481,1712,1769,14952,7464,7488,8828,3986,4842,8050,3746,4304,14077,6265,7812,7966,3874,4092,7324,3702,3622,605300,299744,305556,483537,239939,243598,392606,189064,203542,39,300,339,0,5,5,2,88,90,5,68,73,0,0,0,101,815,916
North Dakota,2010,524634,433967,674499,331184,343315,259417,265217,208430,225537,32383,16581,15802,20661,11279,9382,19463,10675,8788,8146,3257,4889,6685,2191,4494,6368,1929,4439,7982,2988,4994,6664,2344,4320,6664,2344,4320,13818,6396,7422,7760,4056,3704,7494,3790,3704,11931,5485,6446,5245,2162,3083,5028,2098,2930,600239,296477,303762,477619,237385,240234,388950,187594,201356,68,311,379,0,2,2,3,102,105,6,72,78,0,0,0,102,821,923
North Dakota,2009,504757,415578,646844,325534,321310,255336,249421,204131,211447,36925,19669,17256,23076,12960,10116,21246,12040,9206,5139,3512,1627,3240,1671,1569,3047,1590,1457,7145,2776,4369,5511,2157,3354,5511,2157,3354,11936,6827,5109,8780,5097,3683,7948,4441,3507,9730,6188,3542,5150,3513,1637,5065,3428,1637,575969,286562,289407,459e3,229938,229062,372761,180475,192286,49,290,339,1,1,2,2,96,98,5,79,84,0,0,0,117,846,963
North Dakota,2008,504597,419055,641481,318526,322955,255384,249213,204956,214099,34762,16938,17824,22017,11740,10277,21027,11341,9686,3855,2002,1853,2504,1675,829,2431,1602,829,5514,1721,3793,5347,1721,3626,5120,1621,3499,13634,7194,6440,8522,4446,4076,8416,4446,3970,7552,3303,4249,4521,1919,2602,4288,1839,2449,576164,287368,288796,461686,233883,227803,377773,184107,193666,45,279,324,2,2,4,2,84,86,3,80,83,0,0,0,108,847,955
North Dakota,2007,497018,412734,639715,317330,322385,247684,249334,198765,213969,39831,20152,19679,24638,12749,11889,23200,12013,11187,6423,3863,2560,5590,3446,2144,5507,3363,2144,2781,1039,1742,1901,314,1587,1901,314,1587,9094,3709,5385,6473,2866,3607,6336,2729,3607,9267,3876,5391,3738,2144,1594,3477,2144,1333,572319,284691,287628,454678,226165,228513,372313,178202,194111,54,268,322,0,0,0,1,84,85,5,77,82,0,0,0,87,838,925
