state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Pennsylvania,2016,10119261,8048754,12784227,6524274,6259953,5219757,4899504,4039947,4008807,11,515,526,NA,NA,NA,144,144,536,680,536,0,0,0,680,2719,45845,48564,47,182,229,2863,46381,49244
Pennsylvania,2015,10116359,8083089,12802503,6545794,6256709,5230031,4886328,4065590,4017499,31,953,984,NA,NA,NA,125,125,480,605,480,0,0,0,605,2694,46559,49253,47,208,255,2819,47039,49858
Pennsylvania,2014,10098269,8112593,12787209,6528001,6259208,5217314,4880955,4079610,4032983,42,852,894,NA,NA,NA,136,136,500,636,500,0,0,0,636,2622,47436,50058,62,202,264,2758,47936,50694
Pennsylvania,2013,10064792,8130010,12773801,6534366,6239435,5208898,4855894,4097145,4032865,55,802,857,NA,NA,NA,114,114,432,546,432,0,0,0,546,2548,48328,50876,3,193,196,2662,48760,51422
Pennsylvania,2012,10031170,8146059,12763536,6527184,6236352,5199136,4832034,4104268,4041791,0,489,489,NA,NA,NA,215,215,1004,1219,1004,0,0,0,1219,2530,47376,49906,42,156,198,2745,48380,51125
Pennsylvania,2011,9984572,8122136,12742886,6532395,6210491,5190611,4793961,4104405,4017731,0,609,609,NA,NA,NA,206,206,989,1195,989,0,0,0,1195,2577,47806,50383,43,130,173,2783,48795,51578
Pennsylvania,2010,9924558,8074859,12709630,6528412,6181218,5160353,4764205,4078808,3996051,0,607,607,NA,NA,NA,157,157,858,1015,858,0,0,0,1015,2555,47694,50249,30,145,175,2712,48552,51264
Pennsylvania,2009,9833768,8008609,12604767,6472777,6131990,5118730,4715038,4038752,3969857,0,525,525,NA,NA,NA,178,178,742,920,742,0,0,0,920,2650,47859,50509,21,92,113,2828,48601,51429
Pennsylvania,2008,9694803,7910971,12448279,6392051,6056228,5047321,4647482,3988968,3922003,0,0,0,NA,NA,NA,181,181,638,819,638,0,0,0,819,2583,45813,48396,31,137,168,2764,46451,49215
Pennsylvania,2007,9631293,7852567,12432792,6379253,6053539,5021606,4609687,3966648,3885919,0,0,0,NA,NA,NA,139,139,883,1022,883,0,0,0,1022,2324,42623,44947,35,479,514,2463,43506,45969
Pennsylvania,2006,9614874,7839414,12440621,6398155,6042466,5007770,4607104,3952622,3886792,0,0,0,NA,NA,NA,65,65,897,962,897,0,0,0,962,2184,41251,43435,47,349,396,2249,42148,44397
Pennsylvania,2005,9169144,7509685,11948862,6175614,5773248,4821875,4347269,3847228,3662457,0,0,0,NA,NA,NA,51,51,452,503,452,0,0,0,503,1978,39899,41877,0,28,28,2029,40351,42380
Pennsylvania,2004,9143952,7471991,11971696,6195130,5776566,4799782,4344170,3815551,3656440,0,0,0,NA,NA,NA,24,24,342,366,342,0,0,0,366,1803,38794,40597,7,25,32,1827,39136,40963
Pennsylvania,2003,9118093,7458852,11935566,6164726,5770840,4791056,4327037,3813310,3645542,0,0,0,NA,NA,NA,39,39,496,535,496,0,0,0,535,1784,38571,40355,0,6,6,1823,39067,40890
Pennsylvania,2002,9063268,7388686,11913892,6174132,5739760,4780742,4282526,3796610,3592076,0,0,0,NA,NA,NA,40,40,497,537,497,0,0,0,537,1781,37850,39631,0,0,0,1821,38347,40168
Pennsylvania,2001,9061561,7385893,11856640,6136030,5720610,4784308,4277253,3788856,3597037,0,0,0,NA,NA,NA,42,42,458,500,458,0,0,0,500,1669,35893,37562,0,0,0,1711,36351,38062
Pennsylvania,2000,8928607,7240949,11790241,6090895,5699346,4721705,4206902,3729266,3511683,0,58,58,NA,NA,NA,0,0,0,0,0,0,0,0,0,1579,35268,36847,0,0,0,1579,35268,36847
Pennsylvania,1999,8942820,7253907.9,11796561.9,6098775.2,5697786.7,4731064.5,4211755.5,3733447.5,3520460.4,26,34,60,26,34,60,0,0,0,0,0,0,0,0,0,1618,34907,36525,0,0,0,1618,34907,36525
