state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
North Carolina,2016,7852630,6399176,10146788,5214589,4932199,4096428,3756202,3273391,3125785,2765,33205,30,0,30,2735,33205,35940,52,211,263,2765,33205,35970
North Carolina,2015,7756383,6355726,10042802,5147754,4895048,4033138,3723245,3238551,3117175,2724,34164,29,0,29,2695,34164,36859,34,225,259,2724,34164,36888
North Carolina,2014,7654619,6310874,9943964,5106024,4837940,3986470,3668149,3220549,3090325,2666,34682,30,0,30,2636,34682,37318,25,215,240,2666,34682,37348
North Carolina,2013,7564516,6272424,9848060,5047190,4800870,3937525,3626991,3203436,3068988,2515,34661,30,0,30,2485,34661,37146,23,220,243,2515,34661,37176
North Carolina,2012,7469595,6241736,9752073,5000109,4751964,3886104,3583491,3179847,3061889,2488,34890,30,0,30,2458,34890,37348,27,205,232,2488,34890,37378
North Carolina,2011,7366132,6180022,9656401,4967977,4688424,3837059,3529073,3151287,3028735,2672,36990,30,0,30,2642,36990,39632,32,181,213,2672,36990,39662
North Carolina,2010,7278455,6123879,9561558,4905216,4656342,3792680,3485775,3123907,2999972,2842,37533,108,100,208,2734,37433,40167,23,224,247,2842,37533,40375
North Carolina,2009,7109245,6006438,9380884,4798761,4582123,3690019,3419226,3045585,2960853,2837,37296,119,98,217,2718,37198,39916,29,244,273,2837,37296,40133
North Carolina,2008,6980674,5928762,9222414,4711359,4511055,3621428,3359246,3002054,2926708,2834,37123,120,97,217,2714,37026,39740,27,184,211,2834,37123,39957
North Carolina,2007,6855490,5825218,9061032,4637108,4423924,3554313,3301177,2945746,2879472,2661,35579,118,95,213,2543,35484,38027,35,235,270,2661,35579,38240
North Carolina,2006,6698837,5694588,8856505,4512790,4343715,3470416,3228421,2870376,2824212,2721,35004,96,98,194,2625,34906,37531,35,230,265,2721,35004,37725
North Carolina,2005,6263828,5344228,8397785,4290893,4106892,3261122,3002706,2725328,2618900,2632,34014,120,90,210,2512,33924,36436,43,238,281,2632,34014,36646
North Carolina,2004,6161972,5261402,8270028,4251129,4018899,3212267,2949705,2688647,2572755,2347,33197,119,93,212,2228,33104,35332,36,278,314,2347,33197,35544
North Carolina,2003,6072671,5189510,8146508,4181218,3965290,3156962,2915709,2632728,2556782,2294,31580,123,92,215,2171,31488,33659,38,276,314,2294,31580,33874
