state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Maryland,2016,4670079,3856774,6016447,3106577,2909870,2445415,2224664,1980791,1875983,NA,NA,NA,1002,22462,23464,NA,NA,NA
Maryland,2015,4660389,3881325,6006401,3102384,2904017,2439831,2220558,1992583,1888742,NA,NA,NA,1003,22022,23025,NA,NA,NA
Maryland,2014,4629135,3876577,5976407,3075744,2900663,2421400,2207735,1990639,1885938,NA,NA,NA,1071,22394,23465,NA,NA,NA
Maryland,2013,4584537,3855107,5928814,3048733,2880081,2394678,2189859,1978053,1877054,NA,NA,NA,1071,22394,23465,NA,NA,NA
Maryland,2012,4542240,3844639,5884563,3037249,2847314,2378279,2163961,1978114,1866525,NA,NA,NA,1063,23491,24554,NA,NA,NA
Maryland,2011,4482257,3802189,5828289,3010367,2817922,2347748,2134509,1953271,1848918,NA,NA,NA,1057,22924,23981,NA,NA,NA
Maryland,2010,4435314,3774006,5785982,2983757,2802225,2325662,2109652,1942540,1831466,NA,NA,NA,1005,22011,23016,NA,NA,NA
Maryland,2009,4349876,3702336,5699478,2934017,2765461,2275402,2074474,1896581,1805755,NA,NA,NA,1001,22239,23240,NA,NA,NA
Maryland,2008,4298747,3667568,5633597,2905557,2728040,2254179,2044568,1886477,1781091,NA,NA,NA,1131,22507,23638,NA,NA,NA
Maryland,2007,4254353,3641201,5618344,2902765,2715579,2230992,2023361,1869289,1771912,NA,NA,NA,1181,21974,23155,NA,NA,NA
Maryland,2006,4253201,3651864,5615727,2900643,2715084,2234705,2018496,1882176,1769688,NA,NA,NA,1080,22350,23430,NA,NA,NA
Maryland,2005,4064639,3498789,5453441,2820544,2632897,2142612,1922027,1815111,1683678,NA,NA,NA,1077,21570,22647,NA,NA,NA
Maryland,2004,4036800,3474970,5424648,2805891,2618757,2138682,1898118,1809034,1665936,NA,NA,NA,1238,22529,23767,NA,NA,NA
Maryland,2003,4006514,3451110,5380487,2797390,2583097,2118017,1888497,1793580,1657530,NA,NA,NA,1238,22507,23745,NA,NA,NA
Maryland,2002,3950234,3402432,5329992,2759027,2570965,2091828,1858406,1773481,1628951,NA,NA,NA,1273,22990,24263,NA,NA,NA
Maryland,2001,3845370,3306163,5247157,2720491,2526666,2041140,1804230,1723282,1582881,NA,NA,NA,1216,22658,23874,NA,NA,NA
Maryland,2000,3792153,3259443,5120923,2684195,2436728,2051425,1740728,1725905,1533538,NA,NA,NA,1228,22431,23659,NA,NA,NA
Maryland,1999,3774410.3,3247239,5086910.3,2661619.6,2425290.7,2035421.4,1738988.9,1713614.9,1533624.1,NA,NA,NA,1121,22092,23213,NA,NA,NA
Maryland,1998,3756667.6,3235035,5052897.6,2639044.2,2413853.4,2019417.8,1737249.8,1701324.8,1533710.2,NA,NA,NA,NA,NA,22688,NA,NA,NA
Maryland,1997,3738924.9,3222831,5018884.9,2616468.8,2402416.1,2003414.2,1735510.7,1689034.7,1533796.3,NA,NA,NA,NA,NA,22921,NA,NA,NA
Maryland,1996,3721182.2,3210627,4984872.2,2593893.4,2390978.8,1987410.6,1733771.6,1676744.6,1533882.4,NA,NA,NA,NA,NA,22885,NA,NA,NA
Maryland,1995,3703439.5,3198423,4950859.5,2571318,2379541.5,1971407,1732032.5,1664454.5,1533968.5,NA,NA,13384,NA,NA,21589,NA,NA,NA
Maryland,1994,3685696.8,3186219,4916846.8,2548742.6,2368104.2,1955403.4,1730293.4,1652164.4,1534054.6,NA,NA,12392,NA,NA,20952,NA,NA,NA
Maryland,1993,3667954.1,3174015,4882834.1,2526167.2,2356666.9,1939399.8,1728554.3,1639874.3,1534140.7,NA,NA,13361,NA,NA,20279,NA,NA,NA
Maryland,1992,3650211.4,3161811,4848821.4,2503591.8,2345229.6,1923396.2,1726815.2,1627584.2,1534226.8,NA,NA,12856,NA,NA,19804,NA,NA,NA
Maryland,1991,3632468.7,3149607,4814808.7,2481016.4,2333792.3,1907392.6,1725076.1,1615294.1,1534312.9,NA,NA,13984,NA,NA,18880,NA,NA,NA
Maryland,1990,3614726,3137403,4780796,2458441,2322355,1891389,1723337,1603004,1534399,NA,NA,12246,NA,NA,17907,NA,NA,NA
Maryland,1989,3557175.4,3090990.7,4724354.4,2430210.9,2294143.5,1862082.1,1695093.3,1580199.6,1510791.1,NA,NA,11477,NA,NA,16554,NA,NA,NA
Maryland,1988,3499624.8,3044578.4,4667912.8,2401980.8,2265932,1832775.2,1666849.6,1557395.2,1487183.2,NA,NA,11352,NA,NA,14561,NA,NA,NA
Maryland,1987,3442074.2,2998166.1,4611471.2,2373750.7,2237720.5,1803468.3,1638605.9,1534590.8,1463575.3,NA,NA,10958,NA,NA,13874,NA,NA,NA
Maryland,1986,3384523.6,2951753.8,4555029.6,2345520.6,2209509,1774161.4,1610362.2,1511786.4,1439967.4,NA,NA,9544,NA,NA,13646,NA,NA,NA
Maryland,1985,3326973,2905341.5,4498588,2317290.5,2181297.5,1744854.5,1582118.5,1488982,1416359.5,NA,NA,9435,NA,NA,13328,NA,NA,NA
Maryland,1984,3269422.4,2858929.2,4442146.4,2289060.4,2153086,1715547.6,1553874.8,1466177.6,1392751.6,NA,NA,NA,NA,NA,13160,NA,NA,9421
Maryland,1983,3211871.8,2812516.9,4385704.8,2260830.3,2124874.5,1686240.7,1525631.1,1443373.2,1369143.7,NA,NA,NA,NA,NA,12416,NA,NA,8660
