state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Illinois,2016,9881135,8142022,12801539,6517472,6284067,5084387,4796748,4093545,4048477,0,0,0,1,12,13,1798,15033,16831,0,0,0,0,0,0,0,0,0,108,1766,1874,285,6669,6954,0,2,2,2192,23482,25674,0,0,0
Illinois,2015,9904659,8209729,12859995,6558660,6301335,5102943,4801716,4132700,4077029,0,0,0,0,0,0,1755,16320,18075,0,51,51,0,0,0,0,0,0,106,1563,1669,309,6997,7306,3,71,74,2173,25002,27175,0,0,0
Illinois,2014,9899818,8250437,12880580,6565618,6314962,5102668,4797150,4157752,4092685,0,0,0,2,62,64,2114,18655,20769,0,73,73,0,0,0,0,0,0,133,1652,1785,246,6804,7050,0,1,1,2495,27247,29742,0,0,0
Illinois,2013,9861196,8251659,12882135,6560187,6321948,5085608,4775588,4156721,4094938,0,0,0,3,59,62,2340,19421,21761,0,169,169,0,0,0,0,0,0,144,1801,1945,256,6825,7081,0,3,3,2743,28278,31021,0,0,0
Illinois,2012,9815754,8253846,12875255,6566528,6308727,5062116,4753638,4161965,4091881,0,0,0,2,60,62,1896,17985,19881,0,187,187,0,0,0,0,0,0,86,1608,1694,365,8748,9113,0,2,2,2349,28591,30940,0,0,0
Illinois,2011,9776465,8247105,12869259,6562541,6306718,5043816,4732649,4155076,4092029,0,0,0,2,61,63,1914,18154,20068,0,189,189,0,0,0,0,0,0,87,1623,1710,368,8830,9198,0,2,2,2371,28859,31230,0,0,0
Illinois,2010,9719409,8204134,12843166,6544230,6298936,5022427,4696982,4139515,4064619,0,0,0,3,64,67,2054,18160,20214,11,158,169,0,0,0,0,0,0,150,2333,2483,611,10837,11448,0,2,2,2829,31554,34383,NA,0,NA
Illinois,2009,9740592,8252433,12910409,6550654,6359755,5004066,4736526,4126529,4125904,NA,NA,NA,6,78,84,2533,22274,24807,22,33,55,NA,NA,NA,NA,NA,NA,245,3112,3357,354,9139,9493,0,6,6,3160,34642,37802,NA,NA,NA
Illinois,2008,9721792,8252264,12901564,6547874,6353690,5000451,4721341,4129705,4122559,NA,NA,NA,1,38,39,2613,21653,24266,6,58,64,NA,NA,NA,NA,NA,NA,300,3307,3607,349,7833,8182,0,6,6,3269,32895,36164,NA,NA,NA
Illinois,2007,9649702,8195532,12852548,6518927,6333621,4948708,4700994,4087392,4108140,NA,NA,NA,1,59,60,2882,22443,25325,0,258,258,NA,NA,NA,NA,NA,NA,310,3454,3764,248,6371,6619,0,2,2,3441,32587,36028,NA,NA,NA
Illinois,2006,9605280,8177418,12831970,6517276,6314694,4948594,4656686,4098613,4078805,0,0,0,0,149,149,3046,22980,26026,13,98,111,486,3004,3490,461,10093,10554,0,0,0,0,0,0,0,4,4,4002,36323,40325,0,0,0
Illinois,2005,9203751,7858352,12441864,6346707,6095157,4765472,4438279,3977198,3881154,0,0,0,1,143,144,3049,22472,25521,9,97,106,468,3239,3707,484,10063,10547,0,0,0,0,0,0,0,6,6,4011,36020,40031,0,0,0
Illinois,2004,9145046,7802115,12368348,6320929,6047419,4743960,4401086,3950102,3852013,0,0,0,11,131,142,3056,21456,24512,0,95,95,433,3710,4143,530,10003,10533,0,0,0,0,0,0,0,10,10,4030,35405,39435,0,0,0
Illinois,2003,9106372,7784845,12338235,6290182,6048053,4718727,4387645,3945903,3838942,0,0,0,12,167,179,2742,20577,23319,0,108,108,391,4438,4829,554,7249,7803,0,0,0,0,0,0,0,4,4,3699,32543,36242,0,0,0
Illinois,2002,9047270,7728908,12307e3,6297212,6009788,4704974,4342296,3926709,3802199,0,0,0,14,178,192,2552,20227,22779,10,115,125,353,4314,4667,582,6307,6889,0,0,0,0,0,0,0,7,7,3511,31148,34659,0,0,0
