state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Colorado,2016,4280618,3594974,5540545,2750477,2790068,2137926,2142692,1764528,1830446,1829,17538,0,3564,3564,1829,13974,15803,NA,NA,NA,1833,14089,15922
Colorado,2015,4199053,3550797,5456574,2713952,2742622,2100768,2098285,1747545,1803252,1831,18128,0,3987,3987,1831,14141,15972,NA,NA,NA,1831,14141,15972
Colorado,2014,4108534,3488581,5355866,2664744,2691122,2061256,2047278,1722475,1766106,1845,18624,0,3782,3782,1845,14842,16687,NA,NA,NA,1845,14842,16687
Colorado,2013,4027780,3444514,5268367,2616599,2651768,2017621,2010159,1694605,1749909,1755,18429,0,3898,3898,1755,14531,16286,0,0,0,1755,14531,16286
Colorado,2012,3956423,3405027,5187582,2582695,2604887,1981592,1974831,1676679,1728348,1722,18606,0,3939,3939,1722,14667,16389,0,0,0,1722,14667,16389
Colorado,2011,3890434,3356506,5116796,2548745,2568051,1954486,1935948,1656763,1699743,1954,19908,0,4303,4303,1954,15605,17559,0,0,0,1954,15605,17559
Colorado,2010,3820050,3309314,5049071,2514593,2534478,1921492,1898558,1636743,1672571,2019,20733,0,4498,4498,2019,16235,18254,0,0,0,2019,16235,18254
Colorado,2009,3797239,3303684,5024748,2496186,2528562,1896008,1901231,1617218,1686466,2092,20633,212,4745,4957,1880,15888,17768,NA,NA,NA,1880,15888,17768
Colorado,2008,3733023,3260695,4939456,2451628,2487828,1865840,1867183,1599383,1661312,2277,20934,259,5015,5274,2018,15919,17937,NA,NA,NA,2018,15919,17937
Colorado,2007,3671619,3217074,4861515,2409823,2451692,1825429,1846190,1566941,1650133,2312,20354,244,4634,4878,2068,15720,17788,NA,NA,NA,2068,15720,17788
Colorado,2006,3585699,3145647,4753377,2360934,2392443,1794196,1791503,1545274,1600373,2282,19769,251,4604,4855,2031,15165,17196,NA,NA,NA,2031,15165,17196
Colorado,2005,3372564,2963293,4540639,2264462,2276177,1693374,1679190,1465322,1497971,2095,18968,266,3773,4039,1829,15195,17024,0,0,0,1829,15195,17024
Colorado,2004,3325951,2920097,4498611,2240875,2257736,1672841,1653110,1443154,1476943,1858,17797,84,2735,2819,1774,15062,16836,0,0,0,1774,15062,16836
Colorado,2003,3301536,2906682,4447892,2212333,2235559,1658402,1643134,1434500,1472182,1635,17815,0,3013,3013,1635,14802,16437,0,0,0,1635,14802,16437
Colorado,2002,3260358,2880256,4403659,2202416,2201243,1642939,1617419,1426258,1453998,1538,17098,0,2452,2452,1538,14646,16184,NA,NA,NA,1538,14646,16184
Colorado,2001,3164594,2790285,4314724,2162634,2152090,1599739,1564855,1385021,1405264,1358,15920,0,2390,2390,1358,13530,14888,NA,NA,NA,1358,13530,14888
Colorado,2000,3126471,2756861,4247729,2108803,2138926,1565190,1561281,1355536,1401325,1331,15423,0,2099,2099,1331,13324,14655,NA,NA,NA,1331,13324,14655
Colorado,1999,3056479.2,2693606.1,4151231.7,2063662.2,2087569.5,1532728.2,1523751,1326063.9,1367542.2,1146,11849,0,0,0,1146,11849,12995,0,0,0,1146,11849,12995
Colorado,1998,2986487.4,2630351.2,4054734.4,2018521.4,2036213,1500266.4,1486221,1296591.8,1333759.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,10597,11578
Colorado,1997,2916495.6,2567096.3,3958237.1,1973380.6,1984856.5,1467804.6,1448691,1267119.7,1299976.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822,9744,10566
Colorado,1996,2846503.8,2503841.4,3861739.8,1928239.8,1933500,1435342.8,1411161,1237647.6,1266193.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829,9473,10302
Colorado,1995,2776512,2440586.5,3765242.5,1883099,1882143.5,1402881,1373631,1208175.5,1232411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,8800,9508
Colorado,1994,2706520.2,2377331.6,3668745.2,1837958.2,1830787,1370419.2,1336101,1178703.4,1198628.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,8597,9177
Colorado,1993,2636528.4,2314076.7,3572247.9,1792817.4,1779430.5,1337957.4,1298571,1149231.3,1164845.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,8412,8902
Colorado,1992,2566536.6,2250821.8,3475750.6,1747676.6,1728074,1305495.6,1261041,1119759.2,1131062.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,7957,8460
Colorado,1991,2496544.8,2187566.9,3379253.3,1702535.8,1676717.5,1273033.8,1223511,1090287.1,1097279.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,7868,8311
Colorado,1990,2426553,2124312,3282756,1657395,1625361,1240572,1185981,1060815,1063497,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,418,6365,6783
Colorado,1989,2391383.7,2096310.8,3244088.4,1637875.5,1606212.9,1222460.8,1168922.9,1046765.5,1049545.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,382,6049,6431
Colorado,1988,2356214.4,2068309.6,3205420.8,1618356,1587064.8,1204349.6,1151864.8,1032716,1035593.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,244,5402,5646
Colorado,1987,2321045.1,2040308.4,3166753.2,1598836.5,1567916.7,1186238.4,1134806.7,1018666.5,1021641.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,243,4559,4802
Colorado,1986,2285875.8,2012307.2,3128085.6,1579317,1548768.6,1168127.2,1117748.6,1004617,1007690.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,148,3627,3775
Colorado,1985,2250706.5,1984306,3089418,1559797.5,1529620.5,1150016,1100690.5,990567.5,993738.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,148,3238,3386
Colorado,1984,2215537.2,1956304.8,3050750.4,1540278,1510472.4,1131904.8,1083632.4,976518,979786.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,141,3089,3230
Colorado,1983,2180367.9,1928303.6,3012082.8,1520758.5,1491324.3,1113793.6,1066574.3,962468.5,965835.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,137,3105,3242
Colorado,1982,2145198.6,1900302.4,2973415.2,1501239,1472176.2,1095682.4,1049516.2,948419,951883.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3037
Colorado,1981,2110029.3,1872301.2,2934747.6,1481719.5,1453028.1,1077571.2,1032458.1,934369.5,937931.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2745
Colorado,1980,2074860,1844300,2896080,1462200,1433880,1059460,1015400,920320,923980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2616
Colorado,1979,2010144,1784600,2827062,1428120,1398942,1027284,982860,891678,892922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2531
Colorado,1978,1945428,1724900,2758044,1394040,1364004,995108,950320,863036,861864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2464
