state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Connecticut,1983,NA,NA,4209,NA,NA,5813,NA,NA,NA
Connecticut,1984,NA,NA,3691,NA,NA,5383,NA,NA,4900
Connecticut,1985,NA,NA,3781,NA,NA,4968,NA,NA,6072
Connecticut,1986,NA,NA,3781,NA,NA,4968,NA,NA,6072
Connecticut,1987,NA,NA,3781,NA,NA,4968,NA,NA,6072
Connecticut,1988,NA,NA,NA,NA,NA,7153,NA,NA,7731
Connecticut,1989,NA,NA,NA,NA,NA,8722,NA,NA,7929
Connecticut,1990,NA,NA,NA,NA,NA,10075,NA,NA,9159
Connecticut,1991,NA,NA,NA,NA,NA,10928,NA,NA,9935
Connecticut,1992,NA,NA,NA,NA,NA,11102,NA,NA,10093
Connecticut,1993,NA,NA,NA,NA,NA,13347,NA,NA,12133
Connecticut,1994,NA,NA,NA,NA,NA,14699,NA,NA,13363
Connecticut,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2e3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
