state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Florida,1983,NA,NA,20575,NA,NA,28177,NA,NA,28729
Florida,1984,NA,NA,20999,NA,NA,28827,NA,NA,29452
Florida,1985,NA,NA,33824,NA,NA,29022,NA,NA,29022
Florida,1986,NA,NA,25561,NA,NA,32290,NA,NA,35982
Florida,1987,NA,NA,25700,NA,NA,33140,NA,NA,36363
Florida,1988,NA,NA,27418,NA,NA,35618,NA,NA,38894
Florida,1989,NA,NA,31309,NA,NA,44839,NA,NA,45293
Florida,1990,NA,NA,34826,NA,NA,45237,NA,NA,50645
Florida,1991,NA,NA,36470,NA,NA,47572,NA,NA,53652
Florida,1992,NA,NA,37887,NA,NA,55100,NA,NA,49939
Florida,1993,NA,NA,41030,NA,NA,53501,NA,NA,54041
Florida,1994,NA,NA,43536,NA,NA,57364,NA,NA,NA
Florida,1995,NA,NA,50801,NA,NA,NA,NA,NA,68996
Florida,1996,NA,NA,62065,NA,NA,68582,NA,NA,71449
Florida,1997,NA,NA,52865,NA,NA,71276,NA,NA,77425
Florida,1998,NA,NA,52407,NA,NA,70785,NA,NA,77370
Florida,1999,2925,51327,NA,3702,69623,NA,4011,76480,NA
Florida,2e3,3199,52902,NA,4009,71833,NA,4329,78697,NA
Florida,2001,3493,53114,NA,4375,72143,NA,NA,NA,NA
Florida,2002,3982,54414,NA,4953,73852,NA,NA,NA,NA
Florida,2003,3870,56130,NA,5093,75849,NA,NA,NA,NA
Florida,2004,4295,58835,NA,5628,79057,NA,NA,NA,NA
Florida,2005,4890,61751,NA,6018,82138,NA,NA,NA,NA
Florida,2006,5437,64034,NA,6678,85111,NA,NA,NA,NA
Florida,2007,5499,67057,NA,6685,88556,NA,NA,NA,NA
Florida,2008,NA,NA,NA,7480,95145,NA,NA,NA,NA
Florida,2009,NA,NA,NA,7761,98672,NA,NA,NA,NA
Florida,2010,NA,NA,NA,7816,97998,NA,NA,NA,NA
Florida,2011,NA,NA,NA,9473,103295,NA,NA,NA,NA
Florida,2012,NA,NA,NA,9498,104376,NA,NA,NA,NA
Florida,2013,NA,NA,NA,9212,105783,NA,NA,NA,NA
Florida,2014,NA,NA,NA,8170,101021,NA,NA,NA,NA
Florida,2015,NA,NA,NA,7722,97629,NA,NA,NA,NA
Florida,2016,NA,NA,NA,7554,93701,NA,NA,NA,NA
