state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
North Carolina,2016,7852630,6399176,10146788,5214589,4932199,4096428,3756202,3273391,3125785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2015,7756383,6355726,10042802,5147754,4895048,4033138,3723245,3238551,3117175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2014,7654619,6310874,9943964,5106024,4837940,3986470,3668149,3220549,3090325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2013,7564516,6272424,9848060,5047190,4800870,3937525,3626991,3203436,3068988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2012,7469595,6241736,9752073,5000109,4751964,3886104,3583491,3179847,3061889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2011,7366132,6180022,9656401,4967977,4688424,3837059,3529073,3151287,3028735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2010,7278455,6123879,9561558,4905216,4656342,3792680,3485775,3123907,2999972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2009,7109245,6006438,9380884,4798761,4582123,3690019,3419226,3045585,2960853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2008,6980674,5928762,9222414,4711359,4511055,3621428,3359246,3002054,2926708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2007,6855490,5825218,9061032,4637108,4423924,3554313,3301177,2945746,2879472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2006,6698837,5694588,8856505,4512790,4343715,3470416,3228421,2870376,2824212,NA,NA,NA,0,3,3,1,3,4,0,4,4,0,0,0,5,70,75,0,0,0,0,5,5,6,88,94
North Carolina,2005,6263828,5344228,8397785,4290893,4106892,3261122,3002706,2725328,2618900,NA,NA,NA,0,0,0,0,1,1,0,5,5,0,0,0,3,64,67,0,0,0,0,0,0,3,70,73
North Carolina,2004,6161972,5261402,8270028,4251129,4018899,3212267,2949705,2688647,2572755,NA,NA,NA,0,2,2,0,2,2,0,4,4,0,0,0,3,83,86,0,0,0,0,2,2,4,97,101
North Carolina,2003,6072671,5189510,8146508,4181218,3965290,3156962,2915709,2632728,2556782,NA,NA,NA,0,3,3,0,3,3,0,7,7,0,0,0,3,56,59,0,0,0,0,4,4,3,73,76
North Carolina,2002,6002367,5134862,8063874,4128724,3935150,3121325,2881042,2607656,2527206,NA,NA,NA,0,1,1,0,0,0,0,5,5,0,0,0,1,61,62,0,0,0,0,4,4,1,72,73
North Carolina,2001,5875491,5023771,7932350,4071390,3860960,3059353,2816138,2550425,2473346,NA,NA,NA,0,1,1,0,0,0,0,5,5,0,0,0,1,61,62,0,0,0,0,4,4,1,72,73
North Carolina,2000,5803749,4958444,7792140,3986845,3805295,3025681,2778068,2514502,2443942,NA,NA,NA,0,1,1,NA,NA,NA,0,1,1,0,0,0,3,59,62,0,0,0,0,4,4,3,65,68
North Carolina,1999,5724399,4889409.6,7674145.8,3929027.1,3745118.7,2985627.6,2738771.4,2479780.5,2409629.1,NA,NA,NA,0,0,0,0,5,5,0,4,4,0,0,0,1,49,50,0,0,0,0,1,1,1,60,61
North Carolina,1998,5645049,4820375.2,7556151.6,3871209.2,3684942.4,2945574.2,2699474.8,2445059,2375316.2,0,0,0,0,0,0,0,6,6,0,3,3,NA,NA,NA,2,35,37,NA,NA,NA,0,2,2,NA,NA,NA
North Carolina,1997,5565699,4751340.8,7438157.4,3813391.3,3624766.1,2905520.8,2660178.2,2410337.5,2341003.3,0,0,0,0,0,0,0,8,8,0,0,0,NA,NA,NA,6,40,46,NA,NA,NA,0,2,2,NA,NA,NA
North Carolina,1996,5486349,4682306.4,7320163.2,3755573.4,3564589.8,2865467.4,2620881.6,2375616,2306690.4,0,2,2,0,0,0,1,25,26,0,0,0,NA,NA,NA,3,41,44,NA,NA,NA,0,2,2,NA,NA,NA
North Carolina,1995,5406999,4613272,7202169,3697755.5,3504413.5,2825414,2581585,2340894.5,2272377.5,0,0,0,0,1,1,1,27,28,0,2,2,NA,NA,NA,1,36,37,NA,NA,NA,0,1,1,NA,NA,NA
