state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Kentucky,2016,3425666,2792106,4436974,2257420,2179554,1763045,1662621,1410850,1381256,2033,9118,11151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2942,20080,23022
Kentucky,2015,3415817,2792936,4425092,2246706,2178386,1753718,1662099,1402011,1390925,1689,8049,9738,NA,NA,NA,0,0,0,0,0,0,0,0,0,2587,19114,21701,0,0,0,2587,19114,21701
Kentucky,2014,3399427,2801983,4413457,2233621,2179836,1745872,1653555,1409035,1392948,1238,7728,8966,NA,NA,NA,0,0,0,0,0,0,0,0,0,2573,19084,21657,58,171,229,2573,19084,21657
Kentucky,2013,3384076,2800393,4395295,2232200,2163095,1738344,1645732,1407381,1393012,1001,7212,8213,NA,NA,NA,0,0,0,0,0,0,0,0,0,2313,18717,21030,56,227,283,2313,18717,21030
Kentucky,2012,3364861,2803410,4380415,2225586,2154829,1731481,1633380,1409665,1393745,1315,7172,8487,NA,NA,NA,0,0,812,812,812,0,0,0,812,2685,18613,21298,27,115,142,2685,19425,22110
Kentucky,2011,3347482,2797635,4369356,2223648,2145708,1723771,1623711,1406533,1391102,1097,6093,7190,NA,NA,NA,2,2,2048,2050,2048,0,0,0,2050,2452,17043,19495,28,235,263,2454,19091,21545
Kentucky,2010,3328494,2787617,4346266,2207080,2139186,1715175,1613319,1403742,1383875,835,5881,6716,NA,NA,NA,39,39,2088,2127,2088,0,0,0,2127,2099,16318,18417,22,165,187,2138,18406,20544
Kentucky,2009,3296134,2761750,4314113,2201670,2112443,1703275,1592859,1392226,1369524,990,6649,7639,NA,NA,NA,626,626,1865,2491,1865,0,0,0,2491,1669,17478,19147,27,247,274,2295,19343,21638
Kentucky,2008,3264786,2743445,4269245,2182463,2086782,1687215,1577571,1386040,1357405,993,6370,7363,NA,NA,NA,627,627,1582,2209,1582,0,0,0,2209,1643,17854,19497,24,122,146,2270,19436,21706
Kentucky,2007,3224873,2718786,4241474,2166059,2075415,1674750,1550123,1376157,1342629,1110,6802,7912,NA,NA,NA,682,682,1722,2404,1722,0,0,0,2404,1759,18294,20053,13,68,81,2441,20016,22457
Kentucky,2006,3215998,2716606,4206074,2147910,2058164,1661794,1554204,1368264,1348342,812,5109,5921,NA,NA,NA,637,637,1870,2507,1870,0,0,0,2507,1421,16072,17493,0,13,13,2058,17942,2e4
Kentucky,2005,3089485,2627495,4065635,2077708,1987927,1602611,1486874,1334689,1292806,742,4932,5674,NA,NA,NA,567,567,1657,2224,1657,0,0,0,2224,1437,16001,17438,0,11,11,2004,17658,19662
Kentucky,2004,3057341,2603381,4031134,2068573,1962561,1590904,1466437,1326755,1276626,658,4426,5084,NA,NA,NA,176,176,1570,1746,1570,0,0,0,1746,1384,14684,16068,51,273,324,1560,16254,17814
Kentucky,2003,3013737,2565499,4003036,2046711,1956325,1568461,1445276,1305839,1259660,486,3483,3969,NA,NA,NA,139,139,1501,1640,1501,0,0,0,1640,1272,13710,14982,0,0,0,1411,15211,16622
Kentucky,2002,3049835,2606380,3978103,2043188,1934915,1594560,1455275,1335326,1271054,428,3229,3657,NA,NA,NA,139,139,1496,1635,1496,0,0,0,1635,1130,13055,14185,0,0,0,1269,14551,15820
