year,state,total_prisoners,aggravated_or_simple_assault_total_total_prisoners,burglary_total_total_prisoners,drugs_total_total_prisoners,fraud_total_total_prisoners,motor_vehicle_theft_total_total_prisoners,murder_total_total_prisoners,negligent_manslaughter_total_total_prisoners,other_property_offenses_total_total_prisoners,other_unknown_total_total_prisoners,other_violent_offenses_total_total_prisoners,public_order_total_total_prisoners,rape_or_sexual_assault_total_total_prisoners,robbery_total_total_prisoners,theft_total_total_prisoners,aggravated_or_simple_assault_total_female_prisoners,aggravated_or_simple_assault_total_male_prisoners,burglary_total_female_prisoners,burglary_total_male_prisoners,drugs_total_female_prisoners,drugs_total_male_prisoners,fraud_total_female_prisoners,fraud_total_male_prisoners,motor_vehicle_theft_total_female_prisoners,motor_vehicle_theft_total_male_prisoners,murder_total_female_prisoners,murder_total_male_prisoners,negligent_manslaughter_total_female_prisoners,negligent_manslaughter_total_male_prisoners,other_property_offenses_total_female_prisoners,other_property_offenses_total_male_prisoners,other_unknown_total_female_prisoners,other_unknown_total_male_prisoners,other_violent_offenses_total_female_prisoners,other_violent_offenses_total_male_prisoners,public_order_total_female_prisoners,public_order_total_male_prisoners,rape_or_sexual_assault_total_female_prisoners,rape_or_sexual_assault_total_male_prisoners,robbery_total_female_prisoners,robbery_total_male_prisoners,theft_total_female_prisoners,theft_total_male_prisoners,aggravated_or_simple_assault_black_total_prisoners,aggravated_or_simple_assault_hispanic_total_prisoners,aggravated_or_simple_assault_other_or_unknown_total_prisoners,aggravated_or_simple_assault_white_total_prisoners,burglary_black_total_prisoners,burglary_hispanic_total_prisoners,burglary_other_or_unknown_total_prisoners,burglary_white_total_prisoners,drugs_black_total_prisoners,drugs_hispanic_total_prisoners,drugs_other_or_unknown_total_prisoners,drugs_white_total_prisoners,fraud_black_total_prisoners,fraud_hispanic_total_prisoners,fraud_other_or_unknown_total_prisoners,fraud_white_total_prisoners,motor_vehicle_theft_black_total_prisoners,motor_vehicle_theft_hispanic_total_prisoners,motor_vehicle_theft_other_or_unknown_total_prisoners,motor_vehicle_theft_white_total_prisoners,murder_black_total_prisoners,murder_hispanic_total_prisoners,murder_other_or_unknown_total_prisoners,murder_white_total_prisoners,negligent_manslaughter_black_total_prisoners,negligent_manslaughter_hispanic_total_prisoners,negligent_manslaughter_other_or_unknown_total_prisoners,negligent_manslaughter_white_total_prisoners,other_property_offenses_black_total_prisoners,other_property_offenses_hispanic_total_prisoners,other_property_offenses_other_or_unknown_total_prisoners,other_property_offenses_white_total_prisoners,other_unknown_black_total_prisoners,other_unknown_hispanic_total_prisoners,other_unknown_other_or_unknown_total_prisoners,other_unknown_white_total_prisoners,other_violent_offenses_black_total_prisoners,other_violent_offenses_hispanic_total_prisoners,other_violent_offenses_other_or_unknown_total_prisoners,other_violent_offenses_white_total_prisoners,public_order_black_total_prisoners,public_order_hispanic_total_prisoners,public_order_other_or_unknown_total_prisoners,public_order_white_total_prisoners,rape_or_sexual_assault_black_total_prisoners,rape_or_sexual_assault_hispanic_total_prisoners,rape_or_sexual_assault_other_or_unknown_total_prisoners,rape_or_sexual_assault_white_total_prisoners,robbery_black_total_prisoners,robbery_hispanic_total_prisoners,robbery_other_or_unknown_total_prisoners,robbery_white_total_prisoners,theft_black_total_prisoners,theft_hispanic_total_prisoners,theft_other_or_unknown_total_prisoners,theft_white_total_prisoners,aggravated_or_simple_assault_black_female_prisoners,aggravated_or_simple_assault_black_male_prisoners,aggravated_or_simple_assault_hispanic_female_prisoners,aggravated_or_simple_assault_hispanic_male_prisoners,aggravated_or_simple_assault_other_or_unknown_female_prisoners,aggravated_or_simple_assault_other_or_unknown_male_prisoners,aggravated_or_simple_assault_white_female_prisoners,aggravated_or_simple_assault_white_male_prisoners,burglary_black_female_prisoners,burglary_black_male_prisoners,burglary_hispanic_female_prisoners,burglary_hispanic_male_prisoners,burglary_other_or_unknown_female_prisoners,burglary_other_or_unknown_male_prisoners,burglary_white_female_prisoners,burglary_white_male_prisoners,drugs_black_female_prisoners,drugs_black_male_prisoners,drugs_hispanic_female_prisoners,drugs_hispanic_male_prisoners,drugs_other_or_unknown_female_prisoners,drugs_other_or_unknown_male_prisoners,drugs_white_female_prisoners,drugs_white_male_prisoners,fraud_black_female_prisoners,fraud_black_male_prisoners,fraud_hispanic_female_prisoners,fraud_hispanic_male_prisoners,fraud_other_or_unknown_female_prisoners,fraud_other_or_unknown_male_prisoners,fraud_white_female_prisoners,fraud_white_male_prisoners,motor_vehicle_theft_black_female_prisoners,motor_vehicle_theft_black_male_prisoners,motor_vehicle_theft_hispanic_female_prisoners,motor_vehicle_theft_hispanic_male_prisoners,motor_vehicle_theft_other_or_unknown_female_prisoners,motor_vehicle_theft_other_or_unknown_male_prisoners,motor_vehicle_theft_white_female_prisoners,motor_vehicle_theft_white_male_prisoners,murder_black_female_prisoners,murder_black_male_prisoners,murder_hispanic_female_prisoners,murder_hispanic_male_prisoners,murder_other_or_unknown_female_prisoners,murder_other_or_unknown_male_prisoners,murder_white_female_prisoners,murder_white_male_prisoners,negligent_manslaughter_black_female_prisoners,negligent_manslaughter_black_male_prisoners,negligent_manslaughter_hispanic_female_prisoners,negligent_manslaughter_hispanic_male_prisoners,negligent_manslaughter_other_or_unknown_female_prisoners,negligent_manslaughter_other_or_unknown_male_prisoners,negligent_manslaughter_white_female_prisoners,negligent_manslaughter_white_male_prisoners,other_property_offenses_black_female_prisoners,other_property_offenses_black_male_prisoners,other_property_offenses_hispanic_female_prisoners,other_property_offenses_hispanic_male_prisoners,other_property_offenses_other_or_unknown_female_prisoners,other_property_offenses_other_or_unknown_male_prisoners,other_property_offenses_white_female_prisoners,other_property_offenses_white_male_prisoners,other_unknown_black_female_prisoners,other_unknown_black_male_prisoners,other_unknown_hispanic_female_prisoners,other_unknown_hispanic_male_prisoners,other_unknown_other_or_unknown_female_prisoners,other_unknown_other_or_unknown_male_prisoners,other_unknown_white_female_prisoners,other_unknown_white_male_prisoners,other_violent_offenses_black_female_prisoners,other_violent_offenses_black_male_prisoners,other_violent_offenses_hispanic_female_prisoners,other_violent_offenses_hispanic_male_prisoners,other_violent_offenses_other_or_unknown_female_prisoners,other_violent_offenses_other_or_unknown_male_prisoners,other_violent_offenses_white_female_prisoners,other_violent_offenses_white_male_prisoners,public_order_black_female_prisoners,public_order_black_male_prisoners,public_order_hispanic_female_prisoners,public_order_hispanic_male_prisoners,public_order_other_or_unknown_female_prisoners,public_order_other_or_unknown_male_prisoners,public_order_white_female_prisoners,public_order_white_male_prisoners,rape_or_sexual_assault_black_female_prisoners,rape_or_sexual_assault_black_male_prisoners,rape_or_sexual_assault_hispanic_female_prisoners,rape_or_sexual_assault_hispanic_male_prisoners,rape_or_sexual_assault_other_or_unknown_female_prisoners,rape_or_sexual_assault_other_or_unknown_male_prisoners,rape_or_sexual_assault_white_female_prisoners,rape_or_sexual_assault_white_male_prisoners,robbery_black_female_prisoners,robbery_black_male_prisoners,robbery_hispanic_female_prisoners,robbery_hispanic_male_prisoners,robbery_other_or_unknown_female_prisoners,robbery_other_or_unknown_male_prisoners,robbery_white_female_prisoners,robbery_white_male_prisoners,theft_black_female_prisoners,theft_black_male_prisoners,theft_hispanic_female_prisoners,theft_hispanic_male_prisoners,theft_other_or_unknown_female_prisoners,theft_other_or_unknown_male_prisoners,theft_white_female_prisoners,theft_white_male_prisoners
2e3,Kentucky,15373,957,1943,3108,572,1,1297,367,563,144,468,2287,1510,1636,520,60,897,57,1886,361,2747,162,410,NA,1,106,1191,33,334,34,529,9,135,34,434,109,2178,17,1493,56,1580,74,446,9,20,905,23,18,13,1873,39,13,15,3073,7,NA,3,568,1,NA,NA,1,NA,93,9,953,242,6,7,336,18,1,1,549,12,9,4,105,26,13,8,424,23,6,11,2254,16,42,8,1287,173,25,7,1566,38,NA,1,518,1,1,8,NA,20,59,846,NA,23,1,17,1,12,55,1818,NA,39,NA,13,1,14,359,2714,1,6,NA,NA,NA,3,162,406,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,91,NA,9,71,882,33,209,NA,6,NA,7,29,307,4,14,NA,1,NA,1,33,516,1,11,NA,9,NA,4,7,98,2,24,1,12,NA,8,32,392,1,22,NA,6,NA,11,109,2145,NA,16,NA,42,NA,8,16,1271,1,172,NA,25,NA,7,56,1510,NA,38,NA,NA,NA,1,74,444,NA,1
2001,Kentucky,16110,968,1990,3420,626,2,1296,396,588,171,502,2433,1547,1595,576,54,914,60,1930,413,3007,192,434,NA,2,99,1197,40,356,52,536,16,155,32,470,120,2313,15,1532,58,1537,79,497,12,20,913,23,22,18,1903,47,25,22,3361,12,NA,5,614,7,NA,NA,2,NA,95,10,926,265,8,7,362,19,2,2,567,17,9,4,130,28,13,9,454,26,7,12,2396,18,46,15,1284,202,41,9,1494,51,NA,2,573,1,1,11,NA,20,53,860,NA,23,1,21,1,17,58,1845,NA,47,1,24,1,21,409,2952,2,10,NA,NA,NA,5,191,423,1,6,NA,NA,NA,NA,NA,2,NA,NA,2,93,NA,10,62,864,35,230,NA,8,NA,7,35,327,5,14,NA,2,NA,2,50,517,2,15,NA,9,NA,4,14,116,2,26,1,12,NA,9,30,424,1,25,NA,7,NA,12,120,2276,NA,18,NA,46,NA,15,14,1270,1,201,NA,41,NA,9,57,1437,1,50,NA,NA,1,1,78,495,NA,1
2002,Kentucky,16295,996,2006,3470,654,1,1321,381,591,200,572,2282,1630,1627,564,59,937,75,1931,464,3006,208,446,NA,1,105,1216,35,346,48,543,22,178,43,529,114,2168,20,1610,59,1568,95,469,17,25,920,34,34,14,1888,70,48,23,3371,28,1,5,639,9,NA,NA,1,NA,107,11,921,282,14,7,337,23,7,1,556,27,12,3,148,37,16,8,521,27,9,15,2228,30,56,23,1314,237,64,10,1479,74,NA,4,559,1,1,16,NA,25,55,865,3,31,1,33,NA,14,73,1815,1,69,1,47,NA,23,460,2911,3,25,NA,1,NA,5,206,433,2,7,NA,NA,NA,NA,NA,1,NA,NA,2,105,NA,11,65,856,38,244,1,13,NA,7,29,308,5,18,1,6,NA,1,44,512,3,24,1,11,1,2,18,130,2,35,1,15,1,7,40,481,1,26,NA,9,NA,15,113,2115,1,29,NA,56,NA,23,18,1296,2,235,NA,64,1,9,56,1423,2,72,NA,NA,2,2,93,466,NA,1
2003,Kentucky,16967,965,1966,3716,757,5,1345,398,655,223,527,2448,1715,1629,618,64,901,67,1899,506,3210,229,528,NA,5,105,1240,40,358,42,613,24,199,44,483,143,2305,21,1694,63,1566,111,507,30,29,856,50,47,9,1793,117,84,36,3538,58,3,5,732,17,NA,NA,5,NA,120,15,906,304,16,7,344,31,18,5,585,47,13,5,153,52,18,11,470,28,20,14,2360,54,73,25,1320,297,97,17,1398,117,NA,4,613,1,1,29,NA,29,58,798,5,45,1,46,NA,9,64,1729,2,115,3,81,NA,36,498,3040,5,53,NA,3,NA,5,224,508,5,12,NA,NA,NA,NA,NA,5,NA,NA,2,118,NA,15,62,844,41,263,1,15,NA,7,32,312,7,24,2,16,NA,5,35,550,5,42,1,12,1,4,20,133,2,50,1,17,1,10,41,429,1,27,NA,20,NA,14,141,2219,2,52,NA,73,NA,25,19,1301,2,295,NA,97,NA,17,59,1339,4,113,NA,NA,NA,4,111,502,NA,1
2004,Kentucky,18694,1032,2138,4526,842,3,1375,427,794,359,496,2592,1815,1668,627,67,965,93,2045,618,3908,251,591,NA,3,109,1266,49,378,63,731,47,312,33,463,153,2439,27,1788,78,1590,137,490,56,28,857,91,68,14,1828,228,189,39,4129,169,12,9,775,46,NA,NA,3,NA,130,17,896,332,20,8,358,41,35,6,645,108,23,3,228,105,22,16,425,33,50,21,2408,113,97,32,1288,398,152,19,1307,190,1,5,620,1,2,54,NA,28,55,802,10,81,1,67,NA,14,85,1743,7,221,12,177,NA,39,588,3541,18,151,3,9,1,8,237,538,10,36,NA,NA,NA,NA,NA,3,NA,NA,2,128,1,16,59,837,47,285,3,17,NA,8,38,320,8,33,5,30,NA,6,47,598,11,97,2,21,1,2,39,189,5,100,2,20,1,15,29,396,1,32,1,49,1,20,147,2261,4,109,NA,97,NA,32,21,1267,6,392,4,148,2,17,62,1245,10,180,NA,1,NA,5,137,483,NA,1
2005,Kentucky,19511,1024,2177,5156,824,1,1439,441,996,582,436,2292,1945,1725,473,81,943,101,2076,798,4358,286,538,NA,1,118,1321,51,390,107,889,75,507,34,402,149,2143,37,1908,91,1634,99,374,91,28,734,171,130,16,1568,463,498,39,4016,603,30,10,641,143,NA,NA,1,NA,149,23,905,362,28,11,337,65,80,8,626,282,61,4,314,203,24,9,359,44,107,30,1869,286,116,35,1266,528,274,23,1125,303,2,2,466,3,4,87,1,27,58,676,18,153,1,129,NA,16,76,1492,24,439,41,457,3,36,664,3352,90,513,8,22,2,8,226,415,50,93,NA,NA,NA,NA,NA,1,NA,NA,2,147,1,22,62,843,53,309,3,25,NA,11,34,303,14,51,13,67,1,7,59,567,34,248,4,57,1,3,50,264,20,183,2,22,NA,9,31,328,1,43,4,103,1,29,130,1739,14,272,1,115,NA,35,24,1242,12,516,10,264,1,22,65,1060,15,288,NA,2,NA,2,99,367,NA,3
2006,Kentucky,20220,1067,2172,5336,900,5,1483,457,1556,997,227,1991,2095,1887,47,77,990,108,2064,814,4522,325,575,NA,5,123,1360,56,401,228,1328,100,897,5,222,128,1863,42,2053,108,1779,8,39,174,30,531,332,254,24,828,1066,1401,51,1773,2111,125,12,265,498,1,NA,2,2,167,23,890,403,40,14,299,104,192,6,504,854,122,9,429,437,37,7,110,73,361,31,730,869,155,44,1175,721,484,29,841,533,3,NA,31,13,13,161,NA,30,30,501,34,298,4,250,2,22,22,806,80,986,137,1264,6,45,207,1566,464,1647,42,83,NA,12,85,180,198,300,NA,1,NA,NA,NA,2,NA,2,2,165,1,22,60,830,60,343,5,35,NA,14,30,269,21,83,33,159,NA,6,57,447,138,716,9,113,2,7,46,383,43,394,2,35,NA,7,2,108,1,72,16,345,NA,31,43,687,69,800,2,153,NA,44,23,1152,17,704,21,463,NA,29,38,803,49,484,NA,3,NA,NA,6,25,2,11
2007,Kentucky,22733,1121,2463,6226,1087,8,1504,451,1862,996,241,2374,2271,2092,37,75,1046,126,2337,964,5262,404,683,NA,8,117,1387,58,393,288,1574,111,885,6,235,161,2213,53,2218,115,1977,7,30,209,35,472,405,322,19,831,1291,1766,42,1676,2742,149,7,237,694,NA,NA,3,5,185,27,872,420,41,14,252,144,250,8,499,1105,139,13,371,473,44,6,114,77,519,24,713,1118,175,37,1178,881,578,30,881,603,4,NA,16,17,17,192,NA,35,21,451,37,368,8,314,NA,19,22,809,96,1195,171,1595,7,35,175,1501,611,2131,48,101,NA,7,63,174,293,401,NA,NA,NA,NA,NA,3,NA,5,3,182,1,26,52,820,61,359,4,37,NA,14,19,233,35,109,43,207,NA,8,45,454,200,905,14,125,1,12,33,338,63,410,2,42,NA,6,2,112,2,75,27,492,NA,24,30,683,104,1014,2,173,NA,37,22,1156,29,852,28,550,1,29,22,859,64,539,NA,4,NA,NA,3,13,4,13
2008,Kentucky,22076,1153,2450,5958,936,8,1536,478,1812,874,221,2146,2289,2193,22,73,1080,129,2321,871,5087,339,597,NA,8,119,1417,68,410,285,1527,106,768,7,214,159,1987,52,2237,131,2062,3,19,217,39,467,430,329,20,740,1361,1737,53,1388,2780,147,9,191,589,NA,NA,2,6,198,29,852,457,48,13,239,178,214,8,426,1164,111,14,281,468,37,4,95,85,447,21,575,1103,181,44,1132,932,601,33,908,651,4,NA,5,13,17,200,NA,39,17,450,39,391,9,320,NA,20,14,726,106,1255,136,1601,3,50,111,1277,621,2159,49,98,NA,9,44,147,246,343,NA,NA,NA,NA,NA,2,NA,6,2,196,1,28,46,806,70,387,9,39,NA,13,18,221,41,137,36,178,NA,8,33,393,216,948,13,98,1,13,23,258,69,399,1,36,NA,4,2,93,4,81,27,420,1,20,25,550,106,997,3,178,NA,44,18,1114,31,901,37,564,1,32,20,888,73,578,NA,4,NA,NA,NA,5,3,10
2009,Kentucky,22164,1182,2590,6131,879,5,1526,458,1800,860,209,2093,2269,2143,19,87,1095,150,2440,910,5221,343,536,1,4,118,1408,59,399,246,1554,113,747,8,201,155,1938,55,2214,125,2018,3,16,245,33,415,489,344,22,706,1518,1686,44,1290,3111,117,14,163,585,NA,NA,4,1,205,31,814,476,43,18,202,195,202,3,390,1205,117,14,235,494,37,3,78,91,467,16,488,1122,194,49,1041,985,605,27,828,683,4,NA,4,11,12,233,2,31,23,392,50,439,8,336,NA,22,27,679,115,1403,117,1569,2,42,111,1179,680,2431,48,69,1,13,53,110,241,344,NA,NA,NA,NA,NA,4,1,NA,1,204,1,30,44,770,72,404,7,36,1,17,8,194,43,152,31,171,NA,3,29,361,186,1019,13,104,NA,14,20,215,80,414,1,36,NA,3,1,77,6,85,22,445,NA,16,21,467,112,1010,3,191,NA,49,16,1025,36,949,35,570,1,26,24,804,65,618,NA,4,NA,NA,NA,4,3,8
