state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
South Carolina,2016,3861305,3093306,4961119,2554934,2406185,2017533,1843772,1587865,1505441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2015,3807727,3072261,4896146,2511586,2384560,1983746,1823981,1575150,1497111,7,166,173,5,139,144,NA,NA,NA,12,305,317
South Carolina,2014,3751743,3052725,4832482,2479946,2352536,1952338,1799405,1560300,1492425,16,156,172,5,141,146,NA,NA,NA,21,297,318
South Carolina,2013,3696456,3032381,4774839,2455831,2319008,1925267,1771189,1550074,1482307,13,167,180,6,154,160,NA,NA,NA,19,321,340
South Carolina,2012,3642927,3012049,4723723,2427435,2296288,1898700,1744227,1542277,1469772,9,154,163,10,155,165,NA,NA,NA,19,309,328
South Carolina,2011,3598500,2986941,4679230,2406763,2272467,1874186,1724314,1526413,1460528,16,193,209,8,170,178,NA,NA,NA,24,363,387
South Carolina,2010,3555183,2969516,4636312,2385140,2251172,1850283,1704900,1514446,1455070,16,193,209,8,195,203,NA,NA,NA,24,388,412
South Carolina,2009,3482873,2908780,4561242,2344655,2216587,1817926,1664947,1482810,1425970,12,189,201,15,202,217,NA,NA,NA,27,391,418
South Carolina,2008,3416097,2867503,4479800,2300546,2179254,1788356,1627741,1470506,1396997,17,190,207,12,190,202,NA,NA,NA,29,380,409
South Carolina,2007,3346810,2815502,4407709,2267145,2140564,1745348,1601462,1434213,1381289,26,223,249,12,177,189,0,0,0,38,400,438
South Carolina,2006,3286547,2768324,4321249,2218563,2102686,1712945,1573602,1406847,1361477,32,215,247,11,196,207,NA,NA,NA,43,411,454
South Carolina,2005,3094471,2627450,4127391,2132509,1994882,1624157,1470314,1352612,1274838,28,265,293,9,187,196,NA,NA,NA,37,452,489
South Carolina,2004,3044353,2588976,4059838,2092909,1966929,1599268,1445085,1335847,1253129,26,251,277,6,206,212,NA,NA,NA,32,457,489
South Carolina,2003,2992670,2540019,4008553,2077207,1931346,1579461,1413209,1315697,1224322,30,270,300,7,213,220,NA,NA,NA,37,483,520
South Carolina,2002,2999792,2567073,3971899,2058953,1912946,1583580,1416212,1327760,1239313,10,273,283,32,229,261,NA,NA,NA,42,502,544
South Carolina,2001,2906457,2474126,3927982,2034167,1893815,1536762,1369695,1284889,1189237,24,302,326,4,229,233,0,0,0,28,531,559
South Carolina,2000,2858798,2433016,3847726,2008095,1839631,1518275,1340523,1279258,1153758,NA,NA,NA,9,225,234,20,306,326,29,531,560
South Carolina,1999,2829136.2,2409552.3,3811047,1987101.3,1823945.7,1501231.5,1327904.7,1263788.4,1145763.9,44,350,394,4,219,223,NA,NA,NA,48,569,617
South Carolina,1998,2799474.4,2386088.6,3774368,1966107.6,1808260.4,1484188,1315286.4,1248318.8,1137769.8,39,384,423,1,183,184,NA,NA,NA,40,567,607
South Carolina,1997,2769812.6,2362624.9,3737689,1945113.9,1792575.1,1467144.5,1302668.1,1232849.2,1129775.7,NA,NA,64,NA,NA,171,NA,NA,197,23,409,432
South Carolina,1996,2740150.8,2339161.2,3701010,1924120.2,1776889.8,1450101,1290049.8,1217379.6,1121781.6,NA,NA,309,NA,NA,113,NA,NA,NA,24,398,422
South Carolina,1995,2710489,2315697.5,3664331,1903126.5,1761204.5,1433057.5,1277431.5,1201910,1113787.5,NA,NA,299,NA,NA,81,NA,NA,NA,NA,NA,380
South Carolina,1994,2680827.2,2292233.8,3627652,1882132.8,1745519.2,1416014,1264813.2,1186440.4,1105793.4,NA,NA,355,NA,NA,79,NA,NA,NA,27,407,434
South Carolina,1993,2651165.4,2268770.1,3590973,1861139.1,1729833.9,1398970.5,1252194.9,1170970.8,1097799.3,NA,NA,364,NA,NA,88,NA,NA,NA,NA,NA,452
South Carolina,1992,2621503.6,2245306.4,3554294,1840145.4,1714148.6,1381927,1239576.6,1155501.2,1089805.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
South Carolina,1991,2591841.8,2221842.7,3517615,1819151.7,1698463.3,1364883.5,1226958.3,1140031.6,1081811.1,NA,NA,298,NA,NA,18,NA,NA,0,NA,NA,316
