state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Arizona,2016,5302751,4213082,6931071,3485977,3445094,2692704,2610047,2105715,2107367,3993,38183,0,8285,8285,3993,29898,33891,0,0,0,3995,29968,33963
Arizona,2015,5207988,4168956,6828065,3443088,3384977,2650327,2557661,2089687,2079269,3977,38151,0,6471,6471,3977,31680,35657,0,0,0,3979,31754,35733
Arizona,2014,5110238,4116568,6731484,3394063,3337421,2597140,2513098,2058224,2058344,3958,38178,0,6955,6955,3958,31223,35181,0,0,0,3958,31223,35181
Arizona,2013,5012262,4076719,6626624,3325355,3301269,2537010,2475252,2032479,2044240,3769,37262,0,6405,6405,3769,30857,34626,0,0,0,3769,30857,34626
Arizona,2012,4933281,4039033,6553255,3293148,3260107,2501312,2431969,2011781,2027252,3631,36382,0,6435,6435,3631,29947,33578,0,0,0,3631,29947,33578
Arizona,2011,4859763,3998261,6482505,3255616,3226889,2463272,2396491,1995526,2002735,3548,36401,0,6457,6457,3548,29944,33492,0,0,0,3548,29944,33492
Arizona,2010,4780890,3949826,6413737,3225572,3188165,2428720,2352170,1977479,1972347,3686,36444,0,5356,5356,3686,31088,34774,0,0,0,3686,31088,34774
Arizona,2009,4864637,4055964,6595778,3289459,3306319,2444189,2420448,2000403,2055561,3776,36768,0,8971,8971,3776,27797,31573,0,0,0,3776,27797,31573
Arizona,2008,4776565,3977732,6500180,3241482,3258698,2405053,2371512,1963887,2013845,3763,35692,0,8369,8369,3763,27323,31086,0,0,0,3763,27323,31086
Arizona,2007,4679389,3904469,6338755,3165953,3172802,2356012,2323377,1927419,1977050,3460,34240,0,7790,7790,3460,26450,29910,0,0,0,3460,26450,29910
Arizona,2006,4548321,3799731,6166318,3081023,3085295,2287613,2260708,1871504,1928227,3148,32604,0,5213,5213,3148,27391,30539,0,0,0,3148,27391,30539
Arizona,2005,4245954,3569299,5806266,2903676,2902590,2150254,2095700,1775404,1793895,2896,30449,0,4800,4800,2896,25649,28545,0,0,0,2896,25649,28545
Arizona,2004,4093437,3425995,5638345,2840404,2797941,2082464,2010973,1717003,1708992,2765,29619,0,4176,4176,2765,25443,28208,0,0,0,2765,25443,28208
Arizona,2003,3962399,3321332,5490147,2750873,2739274,2010097,1952302,1654384,1666948,2656,28428,0,2323,2323,2656,26105,28761,0,0,0,2656,26105,28761
Arizona,2002,3870515,3248475,5349497,2704518,2644979,1976045,1894470,1630220,1618255,2428,26931,0,1965,1965,2428,24966,27394,0,0,0,2428,26931,29359
Arizona,2001,3711360,3081267,5183424,2632194,2551230,1905869,1805491,1554141,1527126,2168,25542,0,1429,1429,2168,24113,26281,0,0,0,2168,25542,27710
Arizona,2000,3639273,3062022,4943392,2490017,2453375,1846771,1792502,1522163,1539859,1964,24546,93,1337,1430,1871,23209,25080,0,0,0,1964,24546,26510
Arizona,1999,3542958.2,2979191.8,4814337.7,2426083.6,2388254.1,1799700.5,1743257.7,1482277.4,1496914.4,1855,24131,101,1291,1392,1754,22840,24594,0,0,0,1855,24131,25986
Arizona,1998,3446643.4,2896361.6,4685283.4,2362150.2,2323133.2,1752630,1694013.4,1442391.8,1453969.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1797,23718,25515
Arizona,1997,3350328.6,2813531.4,4556229.1,2298216.8,2258012.3,1705559.5,1644769.1,1402506.2,1411025.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1560,21924,23484
Arizona,1996,3254013.8,2730701.2,4427174.8,2234283.4,2192891.4,1658489,1595524.8,1362620.6,1368080.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1515,20978,22493
Arizona,1995,3157699,2647871,4298120.5,2170350,2127770.5,1611418.5,1546280.5,1322735,1325136,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1432,19909,21341
Arizona,1994,3061384.2,2565040.8,4169066.2,2106416.6,2062649.6,1564348,1497036.2,1282849.4,1282191.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1273,18473,19746
Arizona,1993,2965069.4,2482210.6,4040011.9,2042483.2,1997528.7,1517277.5,1447791.9,1242963.8,1239246.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1037,16774,17811
Arizona,1992,2868754.6,2399380.4,3910957.6,1978549.8,1932407.8,1470207,1398547.6,1203078.2,1196302.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1001,15476,16477
Arizona,1991,2772439.8,2316550.2,3781903.3,1914616.4,1867286.9,1423136.5,1349303.3,1163192.6,1153357.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,939,14476,15415
Arizona,1990,2676125,2233720,3652849,1850683,1802166,1376066,1300059,1123307,1110413,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,835,13426,14261
Arizona,1989,2601036.5,2174588,3559942.1,1804700.7,1755241.4,1338135.4,1262901.1,1094792.3,1079795.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,780,12471,13251
Arizona,1988,2525948,2115456,3467035.2,1758718.4,1708316.8,1300204.8,1225743.2,1066277.6,1049178.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,714,11381,12095
Arizona,1987,2450859.5,2056324,3374128.3,1712736.1,1661392.2,1262274.2,1188585.3,1037762.9,1018561.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,609,10339,10948
Arizona,1986,2375771,1997192,3281221.4,1666753.8,1614467.6,1224343.6,1151427.4,1009248.2,987943.8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,397,8948,9345
Arizona,1985,2300682.5,1938060,3188314.5,1620771.5,1567543,1186413,1114269.5,980733.5,957326.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,397,8134,8531
Arizona,1984,2225594,1878928,3095407.6,1574789.2,1520618.4,1148482.4,1077111.6,952218.8,926709.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,363,7482,7845
Arizona,1983,2150505.5,1819796,3002500.7,1528806.9,1473693.8,1110551.8,1039953.7,923704.1,896091.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,323,6566,6889
Arizona,1982,2075417,1760664,2909593.8,1482824.6,1426769.2,1072621.2,1002795.8,895189.4,865474.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5834
Arizona,1981,2000328.5,1701532,2816686.9,1436842.3,1379844.6,1034690.6,965637.9,866674.7,834857.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4807
Arizona,1980,1925240,1642400,2723780,1390860,1332920,996760,928480,838160,804240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3612
Arizona,1979,1844166,1574900,2627942,1341584,1286358,954584,889582,803854,771046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,3353
Arizona,1978,1763092,1507400,2532104,1292308,1239796,912408,850684,769548,737852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3212
