state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
State Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,156,636,792,11951,54703,66654,21053,147200,168253,238,1300,1538,4865,25534,30399,390,2355,2745,423,4333,4756,15331,145810,161141,70543,507932,578475,1430,17613,19043,20,115,135,13965,101132,115097
State Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,131,583,714,11943,55207,67150,20268,147562,167830,227,1336,1563,4669,24918,29587,409,2209,2618,352,3466,3818,13419,127250,140669,69952,516655,586607,336,3123,3459,11,102,113,14460,105746,120206
State Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,126,534,660,12063,55281,67344,18946,148681,167627,176,1117,1293,4637,26021,30658,387,2041,2428,341,3405,3746,13202,126662,139864,67507,519741,587248,406,3129,3535,19,89,108,14132,108054,122186
State Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,116,610,726,11217,54439,65656,19461,146857,166318,175,1128,1303,4649,27366,32015,371,2500,2871,370,3458,3828,12287,123148,135435,65240,509641,574881,416,3195,3611,16,182,198,12642,104467,117109
State Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,113,826,939,10489,52944,63433,18404,149409,167813,176,1423,1599,5125,34352,39477,416,3212,3628,335,3338,3673,11717,124491,136208,64965,521584,586549,583,2720,3303,11,84,95,16278,138095,154373
State Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,126,1043,1169,10305,53836,64141,16551,145050,161601,217,1799,2016,5287,34852,40139,388,2466,2854,259,2665,2924,17656,190495,208151,67703,573166,640869,257,1594,1851,17,271,288,15470,129827,145297
State Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,50,686,736,9739,52726,62465,16167,140620,156787,314,1488,1802,4941,33411,38352,1421,9869,11290,390,4461,4851,21398,212578,233976,70309,591171,661480,239,2490,2729,63,453,516,14589,123654,138243
State Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,60,888,948,8649,45022,53671,17120,143521,160641,331,1566,1897,4982,33714,38696,1420,9870,11290,424,4436,4860,24108,226909,251017,73912,614189,688101,245,5982,6227,64,467,531,15917,134378,150295
State Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,41,755,796,8273,42581,50854,17222,138625,155847,224,1461,1685,5419,37423,42842,1457,10759,12216,226,2164,2390,24826,229756,254582,75588,612829,688417,263,2370,2633,62,474,536,16378,136198,152576
State Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,97,1176,1273,8715,44950,53665,17044,139263,156307,212,1561,1773,4149,28821,32970,1349,10073,11422,319,2510,2829,25886,235353,261239,74052,604318,678370,195,2734,2929,14,110,124,15026,126017,141043
State Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,108,937,1045,8199,43456,51655,16469,134151,150620,231,1778,2009,4475,29178,33653,332,2844,3176,318,2740,3058,26094,236182,262276,73267,591790,665057,269,2827,3096,61,516,577,15595,128623,144218
State Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,96,965,1061,8925,50855,59780,15031,129313,144344,233,1792,2025,4722,34663,39385,697,4558,5255,295,2168,2463,25362,226499,251861,71132,589078,660210,294,3526,3820,73,387,460,13416,114812,128228
State Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,203,1908,2111,9470,52379,61849,14021,125514,139535,203,2061,2264,4043,32655,36698,519,4940,5459,199,1169,1368,23522,219123,242645,65678,567999,633677,381,3343,3724,74,345,419,11166,106103,117269
State Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,192,1943,2135,7044,50380,57424,14318,121010,135328,161,1808,1969,3439,28012,31451,730,8401,9131,610,4813,5423,19664,198301,217965,61684,556974,618658,191,1915,2106,104,622,726,11522,106007,117529
State Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,244,1768,2012,7308,42378,49686,15263,131814,147077,240,1956,2196,2075,18108,20183,605,4609,5214,387,4113,4500,20380,203516,223896,60257,537524,597781,217,1742,1959,157,895,1052,11789,109334,121123
State Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,211,1613,1824,6248,37809,44057,15028,130493,145521,280,2407,2687,1654,15873,17527,686,5042,5728,276,2819,3095,21292,207818,229110,59895,536981,596876,165,1944,2109,132,599,731,12162,111671,123833
State Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,199,1696,1895,4438,30274,34712,14547,121759,136306,314,2959,3273,3449,28745,32194,782,6065,6847,81,763,844,21238,200176,221414,61048,546125,607173,203,1968,2171,61,343,404,10679,101226,111905
