state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
New York,1983,NA,NA,26530,NA,NA,31182,NA,NA,26284
New York,1984,NA,NA,34292,NA,NA,35035,NA,NA,NA
New York,1985,NA,NA,32714,NA,NA,35934,NA,NA,35934
New York,1986,NA,NA,35891,NA,NA,39502,NA,NA,37743
New York,1987,NA,NA,36462,NA,NA,41242,NA,NA,NA
New York,1988,NA,NA,40095,NA,NA,45141,NA,NA,NA
New York,1989,NA,NA,42472,NA,NA,51617,NA,NA,51617
New York,1990,NA,NA,45946,NA,NA,56833,NA,NA,55820
New York,1991,NA,NA,48363,NA,NA,55699,NA,NA,58687
New York,1992,NA,NA,49543,NA,NA,57005,NA,NA,60054
New York,1993,NA,NA,50339,NA,NA,58675,NA,NA,61761
New York,1994,NA,NA,51049,NA,NA,61195,NA,NA,64280
New York,1995,NA,NA,52475,NA,NA,64585,NA,NA,67712
New York,1996,NA,NA,53366,NA,NA,65700,NA,NA,68996
New York,1997,NA,NA,53463,NA,NA,65823,NA,NA,60947
New York,1998,NA,NA,53409,NA,NA,65717,NA,NA,60879
New York,1999,2756,51059,NA,3492,62892,NA,3372,57893,NA
New York,2e3,2800,52646,NA,3491,63921,NA,3311,59462,NA
New York,2001,2730,51797,NA,3295,61197,NA,3251,58593,NA
New York,2002,2668,51542,NA,3209,60322,NA,3209,58056,NA
New York,2003,2647,50954,NA,3174,59394,NA,3174,57218,NA
New York,2004,2647,50964,NA,3174,58489,NA,3174,57063,NA
New York,2005,2695,51148,NA,3146,58184,NA,3146,56758,NA
New York,2006,2855,54908,NA,3146,58242,NA,3146,56816,NA
New York,2007,2854,54914,NA,3146,58244,NA,3114,57128,NA
New York,2008,2836,54567,NA,3128,57850,NA,3096,56734,NA
New York,2009,2758,54110,NA,3042,55944,NA,3010,54828,NA
New York,2010,2761,53829,NA,3005,55541,NA,2995,54510,NA
New York,2011,2755,49983,NA,2979,51310,NA,2979,50408,NA
New York,2012,2748,49839,NA,2906,51160,NA,2906,50258,NA
New York,2013,2426,49904,NA,2544,50864,NA,2544,50311,NA
New York,2014,2422,48538,NA,2540,49328,NA,2540,48940,NA
New York,2015,2427,48530,NA,2545,49131,NA,2545,48935,NA
New York,2016,2433,48329,NA,2551,48922,NA,2551,48612,NA
