state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Maine,1998,1,8,9,NA,NA,NA
Maine,1999,0,7,7,NA,NA,NA
Maine,2e3,1,8,9,0,1,1
Maine,2001,1,9,10,0,0,0
Maine,2002,1,6,7,0,1,1
Maine,2003,1,8,9,0,0,0
Maine,2004,0,6,6,0,0,0
Maine,2005,0,10,10,0,0,0
Maine,2006,0,10,10,0,0,0
Maine,2007,1,14,15,0,0,0
Maine,2008,0,16,16,0,0,0
Maine,2009,1,20,21,0,0,0
Maine,2010,1,20,21,0,0,0
Maine,2011,0,0,0,0,0,0
Maine,2012,1,22,23,0,1,1
Maine,2013,1,19,20,0,0,0
Maine,2014,0,0,0,0,0,0
Maine,2015,4,42,46,0,0,0
Maine,2016,3,53,56,0,0,0
