state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Maryland,1983,NA,NA,NA,NA,NA,12416,NA,NA,8660
Maryland,1984,NA,NA,NA,NA,NA,13160,NA,NA,9421
Maryland,1985,NA,NA,9435,NA,NA,13328,NA,NA,NA
Maryland,1986,NA,NA,9544,NA,NA,13646,NA,NA,NA
Maryland,1987,NA,NA,10958,NA,NA,13874,NA,NA,NA
Maryland,1988,NA,NA,11352,NA,NA,14561,NA,NA,NA
Maryland,1989,NA,NA,11477,NA,NA,16554,NA,NA,NA
Maryland,1990,NA,NA,12246,NA,NA,17907,NA,NA,NA
Maryland,1991,NA,NA,13984,NA,NA,18880,NA,NA,NA
Maryland,1992,NA,NA,12856,NA,NA,19804,NA,NA,NA
Maryland,1993,NA,NA,13361,NA,NA,20279,NA,NA,NA
Maryland,1994,NA,NA,12392,NA,NA,20952,NA,NA,NA
Maryland,1995,NA,NA,13384,NA,NA,21589,NA,NA,NA
Maryland,1996,NA,NA,NA,NA,NA,22885,NA,NA,NA
Maryland,1997,NA,NA,NA,NA,NA,22921,NA,NA,NA
Maryland,1998,NA,NA,NA,NA,NA,22688,NA,NA,NA
Maryland,1999,NA,NA,NA,1121,22092,NA,NA,NA,NA
Maryland,2e3,NA,NA,NA,1228,22431,NA,NA,NA,NA
Maryland,2001,NA,NA,NA,1216,22658,NA,NA,NA,NA
Maryland,2002,NA,NA,NA,1273,22990,NA,NA,NA,NA
Maryland,2003,NA,NA,NA,1238,22507,NA,NA,NA,NA
Maryland,2004,NA,NA,NA,1238,22529,NA,NA,NA,NA
Maryland,2005,NA,NA,NA,1077,21570,NA,NA,NA,NA
Maryland,2006,NA,NA,NA,1080,22350,NA,NA,NA,NA
Maryland,2007,NA,NA,NA,1181,21974,NA,NA,NA,NA
Maryland,2008,NA,NA,NA,1131,22507,NA,NA,NA,NA
Maryland,2009,NA,NA,NA,1001,22239,NA,NA,NA,NA
Maryland,2010,NA,NA,NA,1005,22011,NA,NA,NA,NA
Maryland,2011,NA,NA,NA,1057,22924,NA,NA,NA,NA
Maryland,2012,NA,NA,NA,1063,23491,NA,NA,NA,NA
Maryland,2013,NA,NA,NA,1071,22394,NA,NA,NA,NA
Maryland,2014,NA,NA,NA,1071,22394,NA,NA,NA,NA
Maryland,2015,NA,NA,NA,1003,22022,NA,NA,NA,NA
Maryland,2016,NA,NA,NA,1002,22462,NA,NA,NA,NA
