state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
Utah,1978,4,10,14,1,6,7,5,71,76,2,134,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26,788,814
Utah,1979,3,11,14,1,6,7,2,80,82,4,135,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28,829,857
Utah,1980,3,12,15,0,2,2,5,82,87,2,155,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,19,809,828
Utah,1981,2,16,18,0,5,5,8,99,107,5,208,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,31,979,1010
Utah,1982,2,22,24,0,7,7,8,97,105,9,237,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37,1043,1080
Utah,1983,2,29,31,1,5,6,9,116,125,10,247,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,39,1073,1112
Utah,1984,3,21,24,0,10,10,14,124,138,7,254,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,50,1278,1328
Utah,1985,3,32,35,0,12,12,7,142,149,10,282,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,53,1384,1437
Utah,1986,1,36,37,0,9,9,5,143,148,12,283,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,65,1586,1651
Utah,1987,3,35,38,1,10,11,7,161,168,17,294,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,14,64,1579,1643
Utah,1988,6,32,38,1,21,22,7,167,174,15,280,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,34,74,1619,1693
Utah,1989,4,50,54,1,25,26,12,196,208,24,374,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50,51,91,1964,2055
Utah,1990,4,55,59,1,37,38,12,208,220,24,383,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50,51,91,2021,2112
Utah,1991,7,60,67,0,36,36,15,207,222,21,414,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,36,97,2167,2264
