state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Missouri,2016,6093e3,4703576,3794795,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3337,29124,32461,NA,NA,NA,3337,29124,32461
Missouri,2015,6083672,4696210,3811896,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3267,29063,32330,NA,NA,NA,3267,29063,32330
Missouri,2014,6063589,4671311,3808067,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3106,28836,31942,NA,NA,NA,3106,28836,31942
Missouri,2013,6044171,4645397,3799537,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2782,28755,31537,0,0,0,2782,28755,31537
Missouri,2012,6021988,4621004,3801285,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2703,28544,31247,0,0,0,2703,28544,31247
Missouri,2011,6010688,4599862,3796549,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2575,28258,30833,0,0,0,2575,28258,30833
Missouri,2010,5996231,4579206,3785676,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2460,28163,30623,0,0,0,2460,28163,30623
Missouri,2009,5987580,4556338,3788356,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2427,28136,30563,NA,NA,NA,2427,28136,30563
Missouri,2008,5911605,4499981,3750818,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2449,27737,30186,0,0,0,2449,27737,30186
Missouri,2007,5878415,4461852,3727675,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2522,27335,29857,0,0,0,2522,27335,29857
Missouri,2006,5842713,4412152,3673915,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2579,27588,30167,0,0,0,2579,27588,30167
Missouri,2005,5632603,4251865,3578420,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2511,28312,30823,0,0,0,2511,28312,30823
Missouri,2004,5587906,4214477,3542551,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2507,28574,31081,0,0,0,2507,28574,31081
Missouri,2003,5537884,4136522,3470964,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2239,28064,30303,0,0,0,2239,28064,30303
Missouri,2002,5506873,4123339,3457423,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2274,27825,30099,0,0,0,2274,27825,30099
Missouri,2001,5471085,4053988,3396237,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2124,26633,28757,0,0,0,2124,26633,28757
