state,year,population,population_adult,population_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Oklahoma,2016,3923561,2961420,2413263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2015,3911338,2952178,2419235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2014,3878051,2928028,2405714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2013,3850568,2903408,2398380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2012,3814820,2878098,2385029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2011,3791508,2857499,2372689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2010,3761702,2828979,2356115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2009,3687050,2765355,2300136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2008,3642361,2737608,2282061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2007,3617316,2710383,2267547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2006,3579212,2688345,2244041,NA,NA,NA,0,2,2,0,1,1,0,4,4,0,4,4,3,63,66,0,0,0,0,5,5,3,81,84
Oklahoma,2005,3429974,2588639,2173577,NA,NA,NA,0,3,3,0,2,2,0,4,4,0,5,5,5,46,51,1,0,1,0,5,5,6,73,79
Oklahoma,2004,3412202,2558940,2147155,NA,NA,NA,0,0,0,0,2,2,0,6,6,0,1,1,7,45,52,0,0,0,0,2,2,7,57,64
Oklahoma,2003,3396794,2519290,2120092,NA,NA,NA,0,1,1,0,2,2,0,14,14,0,1,1,7,68,75,0,0,0,1,2,3,8,88,96
Oklahoma,2002,3379515,2511143,2106111,NA,NA,NA,0,6,6,1,3,4,0,7,7,0,3,3,0,49,49,0,0,0,0,1,1,1,70,71
Oklahoma,2001,3347660,2476237,2068748,NA,NA,NA,0,3,3,0,1,1,3,15,18,0,1,1,3,41,44,0,0,0,0,4,4,6,71,77
Oklahoma,2000,3330738,2455010,2059902,NA,NA,NA,0,2,2,0,2,2,0,11,11,0,3,3,4,34,38,1,1,2,0,3,3,5,56,61
Oklahoma,1999,3311376.1,2439428.3,2044606.2,NA,NA,NA,0,2,2,0,2,2,0,6,6,0,3,3,4,59,63,0,0,0,0,5,5,4,79,83
Oklahoma,1998,3292014.2,2423846.6,2029310.4,0,2,2,0,0,0,0,2,2,0,4,4,NA,NA,NA,3,44,47,NA,NA,NA,0,2,2,NA,NA,NA
