state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Florida,2016,16469863,12643937,20612439,10539818,10072621,8519783,7950080,6407821,6236116,261,6723,6984,5,138,143
Florida,2015,16169195,12477531,20271272,10382856,9888416,8367041,7802154,6331651,6145880,232,6961,7193,3,128,131
Florida,2014,15841290,12295546,19893297,10168487,9724810,8192489,7648801,6233737,6061809,262,6937,7199,4,122,126
Florida,2013,15527750,12147079,19552860,9989240,9563620,8029986,7497764,6158702,5988377,222,6868,7090,8,136,144
Florida,2012,15319646,12075844,19317568,9872388,9445180,7914287,7405359,6120609,5955235,345,9631,9976,11,185,196
Florida,2011,15064805,11920860,19057542,9734516,9323026,7787443,7277362,6039605,5881255,360,9783,10143,9,200,209
Florida,2010,14844082,11770156,18843326,9632568,9210758,7681e3,7163082,5971996,5798160,235,6127,6362,14,341,355
Florida,2009,14481613,11469445,18537969,9428709,9109260,7448300,7033313,5751115,5718330,213,6131,6344,9,384,393
Florida,2008,14319373,11338333,18328340,9331646,8996694,7374758,6944615,5697257,5641076,216,5885,6101,6,295,301
Florida,2007,14226790,1131e4,18251243,9286018,8965225,7325100,6901690,5680476,5629524,NA,NA,NA,NA,NA,NA
Florida,2006,14078580,11225111,18089889,9215642,8874247,7265570,6813010,5641206,5583905,256,5731,5987,11,210,221
Florida,2005,13332515,10626339,17363653,8878880,8484773,6921363,6411152,5405674,5220665,155,4617,4772,7,178,185
Florida,2004,13008222,10350413,16957665,8716875,8240790,6778774,6229448,5290302,5060111,177,4657,4834,5,209,214
Florida,2003,12737441,10120019,16667245,8581299,8085946,6643544,6093897,5180173,4939846,198,4541,4739,13,285,298
Florida,2002,12453721,9883800,16342243,8411951,7930292,6517175,5936546,5070279,4813521,169,4357,4526,20,286,306
Florida,2001,12196801,9615245,16017780,8247388,7770392,6400800,5796001,4939562,4675683,151,4271,4422,29,366,395
Florida,2000,11994570,9397345,15587105,8020973,7566132,6267199,5727371,4805192,4592153,146,4270,4416,25,441,466
