state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Kentucky,2016,3425666,2792106,4436974,2257420,2179554,1763045,1662621,1410850,1381256,0,0,0,422,1049,1471,1624,5627,7251,4,83,87,372,677,1049,0,0,0,11,44,55,542,3501,4043,3868,14772,18640,1,0,1,0,1,1,802,3315,4117
Kentucky,2015,3415817,2792936,4425092,2246706,2178386,1753718,1662099,1402011,1390925,0,0,0,383,979,1362,1688,6854,8542,1,79,80,317,700,1017,1,0,1,10,71,81,445,2893,3338,3624,14936,18560,0,4,4,3,0,3,706,2830,3536
Kentucky,2014,3399427,2801983,4413457,2233621,2179836,1745872,1653555,1409035,1392948,0,0,0,371,952,1323,1477,6312,7789,2,85,87,465,1415,1880,1,3,4,0,0,0,437,2908,3345,3336,14482,17818,0,0,0,0,0,0,570,2708,3278
Kentucky,2013,3384076,2800393,4395295,2232200,2163095,1738344,1645732,1407381,1393012,0,0,0,408,1300,1708,2006,8443,10449,2,59,61,263,623,886,0,0,0,0,0,0,334,2216,2550,3201,13731,16932,0,0,0,0,0,0,184,1053,1237
Kentucky,2012,3364861,2803410,4380415,2225586,2154829,1731481,1633380,1409665,1393745,0,0,0,531,1342,1873,1248,5426,6674,24,162,186,101,216,317,0,0,0,0,0,0,573,3415,3988,3064,13339,16403,0,2,2,0,0,0,578,2694,3272
Kentucky,2011,3347482,2797635,4369356,2223648,2145708,1723771,1623711,1406533,1391102,0,0,0,510,1448,1958,1178,6112,7290,23,158,181,107,273,380,0,0,0,0,0,0,5,245,250,2557,12199,14756,2,2,4,0,0,0,728,3880,4608
Kentucky,2010,3328494,2787617,4346266,2207080,2139186,1715175,1613319,1403742,1383875,0,0,0,543,1524,2067,1509,7161,8670,14,142,156,60,168,228,0,0,0,0,0,0,6,243,249,2865,13257,16122,0,4,4,0,2,2,724,3958,4682
Kentucky,2009,3296134,2761750,4314113,2201670,2112443,1703275,1592859,1392226,1369524,0,0,0,535,1605,2140,1168,5318,6486,18,117,135,54,184,238,0,0,0,0,0,0,8,257,265,2485,11791,14276,0,3,3,0,2,2,697,4245,4942
Kentucky,2008,3264786,2743445,4269245,2182463,2086782,1687215,1577571,1386040,1357405,0,0,0,639,1821,2460,1082,4806,5888,26,175,201,46,151,197,0,0,0,0,0,0,6,209,215,2772,12861,15633,1,18,19,0,0,0,966,5609,6575
Kentucky,2007,3224873,2718786,4241474,2166059,2075415,1674750,1550123,1376157,1342629,0,0,0,555,1600,2155,994,4777,5771,25,132,157,179,601,780,5,1,6,0,0,0,4,218,222,2432,11556,13988,2,10,12,7,4,11,652,4100,4752
