state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Arizona,2016,5302751,4213082,6931071,3485977,3445094,2692704,2610047,2105715,2107367,0,0,0,NA,NA,NA,0,0,8285,8285,8285,0,0,0,8285,3997,30038,34035,0,0,0,3997,38323,42320
Arizona,2015,5207988,4168956,6828065,3443088,3384977,2650327,2557661,2089687,2079269,0,439,439,NA,NA,NA,0,0,6471,6471,6471,0,0,0,6471,3981,32267,36248,0,0,0,3981,38738,42719
Arizona,2014,5110238,4116568,6731484,3394063,3337421,2597140,2513098,2058224,2058344,0,0,0,NA,NA,NA,0,0,6955,6955,6955,0,0,0,6955,3964,31340,35304,0,0,0,3964,38295,42259
Arizona,2013,5012262,4076719,6626624,3325355,3301269,2537010,2475252,2032479,2044240,0,0,0,NA,NA,NA,0,0,6405,6405,6405,0,0,0,6405,3775,30997,34772,0,0,0,3775,37402,41177
Arizona,2012,4933281,4039033,6553255,3293148,3260107,2501312,2431969,2011781,2027252,0,0,0,NA,NA,NA,0,0,6435,6435,6435,0,0,0,6435,3633,30012,33645,0,0,0,3633,36447,40080
Arizona,2011,4859763,3998261,6482505,3255616,3226889,2463272,2396491,1995526,2002735,0,0,0,NA,NA,NA,0,0,6457,6457,6457,0,0,0,6457,3550,30013,33563,0,0,0,3550,36470,40020
Arizona,2010,4780890,3949826,6413737,3225572,3188165,2428720,2352170,1977479,1972347,0,0,0,NA,NA,NA,0,0,5356,5356,5356,0,0,0,5356,3688,31165,34853,0,0,0,3688,36521,40209
Arizona,2009,4864637,4055964,6595778,3289459,3306319,2444189,2420448,2000403,2055561,0,0,0,NA,NA,NA,0,0,4482,4482,8971,0,4489,4489,8971,3776,27797,31573,0,0,0,3776,36768,40544
Arizona,2008,4776565,3977732,6500180,3241482,3258698,2405053,2371512,1963887,2013845,0,47,47,NA,NA,NA,0,0,4230,4230,8369,0,4139,4139,8369,3763,27370,31133,0,0,0,3763,35739,39502
Arizona,2007,4679389,3904469,6338755,3165953,3172802,2356012,2323377,1927419,1977050,0,46,46,NA,NA,NA,0,0,4124,4124,7790,0,3666,3666,7790,3460,26496,29956,0,0,0,3460,34286,37746
