state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Hawaii,2016,1121758,896686,1428557,709046,719511,561907,559851,436865,459821,0,0,0,1,18,19,118,808,926,0,0,0,26,125,151,0,0,0,59,237,296,15,150,165,0,0,0,219,1338,1557,0,0,0
Hawaii,2015,1119532,900769,1431603,709902,721701,554442,565090,433594,467175,0,0,0,11,36,47,128,716,844,0,0,0,48,189,237,0,0,0,64,251,315,14,105,119,0,0,0,265,1297,1562,0,0,0
Hawaii,2014,1112169,902764,1419561,703657,715904,553477,558692,433942,468822,0,0,0,2,36,38,130,986,1116,0,0,0,40,259,299,0,0,0,24,287,311,12,107,119,0,0,0,208,1675,1883,0,0,0
Hawaii,2013,1097385,893685,1404054,694578,709476,546085,551300,432692,460993,0,0,0,1,33,34,87,671,758,0,0,0,40,201,241,0,0,0,50,221,271,11,99,110,0,0,0,189,1225,1414,0,0,0
Hawaii,2012,1090738,895103,1392313,687795,704518,543414,547324,434717,460386,0,0,0,0,16,16,121,733,854,0,0,0,28,239,267,0,0,0,31,209,240,23,140,163,0,0,0,203,1337,1540,0,0,0
Hawaii,2011,1070445,881517,1374810,687674,687136,538404,532041,432737,448780,0,0,0,3,6,9,91,601,692,0,0,0,33,188,221,0,0,0,41,160,201,45,207,252,0,0,0,213,1162,1375,0,0,0
Hawaii,2010,1061148,877239,1363621,680003,683618,533142,528006,430732,446507,0,0,0,4,3,7,182,659,841,0,0,0,36,179,215,0,0,0,66,202,268,45,208,253,0,0,0,333,1251,1584,NA,0,NA
Hawaii,2009,1007001,831136,1295178,637932,657246,500861,506140,399645,431491,NA,NA,NA,0,17,17,122,670,792,NA,NA,NA,33,171,204,NA,NA,NA,52,192,244,57,417,474,NA,NA,NA,264,1467,1731,NA,NA,NA
Hawaii,2008,1002360,824737,1288198,638663,649535,500434,501926,399032,425705,NA,NA,NA,2,12,14,106,717,823,NA,NA,NA,30,147,177,NA,NA,NA,45,180,225,66,440,506,NA,NA,NA,249,1496,1745,NA,NA,NA
Hawaii,2007,1003521,833325,1283388,637636,645752,502493,501028,406056,427269,NA,NA,NA,1,10,11,90,653,743,NA,NA,NA,27,147,174,NA,NA,NA,47,107,154,63,380,443,NA,NA,NA,228,1297,1525,NA,NA,NA
