state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
New Jersey,1978,0,0,0,0,0,0,108,3502,3610,11,399,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,68,2191,2259
New Jersey,1979,0,0,0,0,0,0,119,3523,3642,15,439,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,69,2141,2210
New Jersey,1980,0,0,0,0,0,0,146,3588,3734,12,450,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,52,2098,2150
New Jersey,1981,0,0,0,0,0,0,188,4267,4455,6,733,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,98,2458,2556
New Jersey,1982,0,0,0,0,11,11,217,4878,5095,6,944,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,107,2978,3085
New Jersey,1983,0,0,0,0,14,14,228,5659,5887,4,919,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,114,3177,3291
New Jersey,1984,0,0,0,0,0,0,245,6628,6873,18,1199,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,37,123,3330,3453
New Jersey,1985,0,0,0,0,0,0,245,7238,7483,32,1533,1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,132,3709,3841
New Jersey,1986,0,0,0,0,0,0,267,7542,7809,38,1624,1662,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,8,142,4061,4203
New Jersey,1987,0,0,0,0,0,0,319,8697,9016,44,1977,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,165,4481,4646
New Jersey,1988,0,4,4,0,8,8,412,9393,9805,74,2454,2528,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1240,1308,224,5587,5811
New Jersey,1989,0,6,6,0,13,13,531,11448,11979,152,3021,3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,812,906,261,6274,6535
New Jersey,1990,0,0,0,0,0,0,531,12856,13387,156,3214,3370,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,602,696,261,6629,6890
New Jersey,1991,0,4,4,1,40,41,779,14226,15005,143,3556,3699,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1639,1671,295,6467,6762
New Jersey,1992,0,5,5,2,41,43,709,14038,14747,144,3662,3806,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1207,1230,361,6267,6628
New Jersey,1993,0,3,3,1,40,41,786,14885,15671,140,3977,4117,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1469,1477,338,6301,6639
New Jersey,1994,0,3,3,4,41,45,811,15256,16067,154,4063,4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1543,1555,341,6621,6962
New Jersey,1995,0,5,5,2,65,67,877,16668,17545,157,4628,4785,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1792,1801,419,7229,7648
New Jersey,1996,0,4,4,2,73,75,866,16991,17857,173,4769,4942,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2119,2149,383,7022,7405
New Jersey,1997,0,5,5,NA,NA,NA,919,17653,18572,185,4844,5029,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2345,2393,435,6881,7316
New Jersey,1998,0,4,4,NA,NA,NA,1118,19205,20323,181,5360,5541,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2770,2816,486,7394,7880
New Jersey,1999,1,13,14,NA,NA,NA,1215,19196,20411,195,5454,5649,0,0,0,3076,64,3012,NA,NA,NA,2,21,23,573,7291,7864
New Jersey,2e3,0,9,9,NA,NA,NA,1025,17691,18716,189,5090,5279,0,0,0,18,0,18,NA,NA,NA,0,1,1,428,5237,5665
New Jersey,2001,0,9,9,NA,NA,NA,1005,16836,17841,176,4680,4856,0,0,0,12,0,12,NA,NA,NA,0,0,0,440,4892,5332
New Jersey,2002,0,7,7,NA,NA,NA,990,16722,17712,175,4545,4720,0,0,0,0,0,0,NA,NA,NA,0,5,5,412,4922,5334
New Jersey,2003,0,7,7,NA,NA,NA,946,16319,17265,167,4442,4609,0,0,0,25,5,20,NA,NA,NA,0,1,1,394,4847,5241
New Jersey,2004,0,3,3,NA,NA,NA,856,15928,16784,159,4375,4534,0,0,0,23,3,20,NA,NA,NA,0,5,5,447,4855,5302
New Jersey,2005,0,5,5,NA,NA,NA,824,16134,16958,184,4635,4819,0,0,0,20,2,18,0,0,0,0,0,0,431,5019,5450
New Jersey,2006,0,8,8,NA,NA,NA,808,15997,16805,196,4655,4851,0,0,0,9,1,8,NA,NA,NA,0,0,0,414,5171,5585
New Jersey,2007,0,10,10,NA,NA,NA,763,15705,16468,177,4733,4910,0,0,0,8,0,8,NA,NA,NA,0,0,0,461,4847,5308
New Jersey,2008,0,10,10,NA,NA,NA,711,15199,15910,162,4519,4681,0,0,0,4,0,4,NA,NA,NA,0,0,0,417,4803,5220
New Jersey,2009,0,9,9,NA,NA,NA,665,14902,15567,149,4371,4520,0,0,0,1,0,1,NA,NA,NA,1,0,1,381,4765,5146
New Jersey,2010,0,7,7,NA,NA,NA,613,14786,15399,142,4106,4248,0,0,0,2,0,2,0,0,0,0,0,0,371,4843,5214
New Jersey,2011,1,6,7,NA,NA,NA,549,14005,14554,139,3669,3808,0,0,0,0,0,0,0,0,0,0,0,0,372,4962,5334
New Jersey,2012,2,9,11,NA,NA,NA,538,13577,14115,140,3482,3622,0,0,0,1,0,1,0,0,0,0,12,12,372,4972,5344
New Jersey,2013,2,7,9,NA,NA,NA,504,12989,13493,119,3376,3495,0,0,0,0,0,0,0,0,0,13,188,201,377,4742,5119
New Jersey,2014,1,5,6,NA,NA,NA,484,12588,13072,117,3351,3468,0,0,0,0,0,0,0,0,0,0,117,117,409,4392,4801
New Jersey,2015,2,9,11,NA,NA,NA,416,11887,12303,100,3170,3270,0,0,0,0,0,0,0,0,0,5,159,164,377,4244,4621
New Jersey,2016,2,8,10,NA,NA,NA,393,11628,12021,86,3081,3167,0,0,0,0,0,0,0,0,0,5,141,146,338,3985,4323
