state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Michigan,2016,7742571,6254536,9928300,5047997,4880303,3978848,3763723,3147152,3107384,0,0,0,0,0,0,949,9674,10623,0,0,0,0,0,0,0,0,0,135,2059,2194,59,469,528,1167,12920,14087,2,4,6,0,0,0,20,683,703
Michigan,2015,7716975,6259849,9922576,5047175,4875401,3974610,3742365,3156693,3103156,0,0,0,0,0,0,827,9198,10025,0,0,0,0,0,0,0,0,0,180,2049,2229,38,473,511,1057,12671,13728,0,15,15,0,0,0,11,904,915
Michigan,2014,7691682,6280917,9909877,5040794,4869083,3961750,3729932,3167447,3113470,0,0,0,0,0,0,703,9694,10397,0,0,0,0,0,0,0,0,0,151,1873,2024,209,549,758,1102,13078,14180,1,2,3,0,0,0,35,838,873
Michigan,2013,7653816,6286790,9895622,5038988,4856634,3948070,3705746,3181474,3105316,0,0,0,0,0,0,788,9751,10539,0,0,0,0,0,0,0,0,0,195,1920,2115,87,542,629,1099,13210,14309,1,1,2,0,0,0,25,873,898
Michigan,2012,7619243,6295893,9883360,5031449,4851911,3930239,3689004,3176779,3119114,0,3,3,0,0,0,683,8687,9370,0,0,0,0,0,0,0,0,0,157,1984,2141,84,518,602,960,12242,13202,0,0,0,0,0,0,35,926,961
Michigan,2011,7588963,6295160,9876187,5031159,4845028,3915102,3673861,3175940,3119220,0,0,0,0,0,0,707,10452,11159,0,0,0,0,0,0,0,0,0,64,1231,1295,98,574,672,906,13471,14377,1,2,3,0,0,0,33,1093,1126
Michigan,2010,7544057,6269017,9877574,5030065,4847509,3895783,3648274,3167553,3101464,0,0,0,0,0,0,635,11502,12137,0,1,1,0,0,0,0,0,0,185,2673,2858,86,669,755,942,16096,17038,1,3,4,0,0,0,28,1160,1188
Michigan,2009,7622296,6373690,9969727,5067237,4902490,3920005,3702291,3202994,3170696,NA,NA,NA,NA,NA,NA,722,11792,12514,0,10,10,NA,NA,NA,NA,NA,NA,206,2740,2946,115,911,1026,1082,17130,18212,0,5,5,7,50,57,29,1477,1506
Michigan,2008,7608188,6407946,10003422,5084963,4918459,3917902,3690286,3221102,3186844,NA,NA,NA,NA,NA,NA,803,10072,10875,0,15,15,NA,NA,NA,NA,NA,NA,0,225,225,57,625,682,920,12716,13636,0,0,0,14,47,61,38,1615,1653
Michigan,2007,7623930,6426159,10071822,5112909,4958913,3920804,3703126,3218757,3207402,NA,NA,NA,NA,NA,NA,900,10826,11726,5,24,29,NA,NA,NA,NA,NA,NA,21,426,447,56,647,703,1025,13694,14719,2,3,5,1,7,8,40,1673,1713
Michigan,2006,7618465,6438426,10095643,5127278,4968365,3911443,3707022,3225273,3213153,NA,NA,NA,NA,NA,NA,793,8638,9431,8,34,42,NA,NA,NA,NA,NA,NA,34,441,475,87,718,805,984,11703,12687,0,4,4,1,1,2,56,1724,1780
Michigan,2005,7369085,6245646,9857477,5022761,4834716,3804735,3564350,3155515,3090131,0,0,0,0,0,0,771,8987,9758,8,81,89,0,0,0,0,0,0,4,158,162,44,477,521,898,11715,12613,1,1,2,1,2,3,61,1867,1928
Michigan,2004,7335671,6224416,9858908,5051238,4807670,3812228,3523443,3168780,3055636,0,0,0,0,0,0,869,9900,10769,19,242,261,0,0,0,0,0,0,4,292,296,77,499,576,1062,12925,13987,0,3,3,0,2,2,90,1835,1925
Michigan,2003,7299296,6200155,9825840,5037876,4787964,3790848,3508448,3154031,3046124,0,0,0,0,0,0,883,10333,11216,29,303,332,0,0,0,0,0,0,16,276,292,29,506,535,1030,13220,14250,0,8,8,1,1,2,65,1650,1715
Michigan,2002,7234529,6138007,9797198,5016885,4780313,3761415,3473114,3120371,3017636,0,0,0,0,0,0,916,9247,10163,72,453,525,0,0,0,0,0,0,5,223,228,29,497,526,1091,12212,13303,0,7,7,3,16,19,63,1565,1628
Michigan,2001,7289930,6203932,9740127,4987320,4752807,3792688,3497242,3159491,3044441,0,0,0,0,0,0,814,8772,9586,93,821,914,0,0,0,0,0,0,13,125,138,15,399,414,1007,11843,12850,0,8,8,2,3,5,63,1568,1631
Michigan,2000,7125917,6032102,9669167,4905269,4763898,3716180,3409737,3080216,2951886,0,0,0,0,0,0,700,7994,8694,97,976,1073,0,0,0,0,0,0,0,45,45,31,406,437,900,11061,11961,0,14,14,0,2,2,68,1380,1448
Michigan,1999,7095814.8,6008853.9,9630731.3,4892553.3,4738178,3702338.8,3393476,3068208.8,2940645.1,NA,NA,NA,NA,NA,NA,759,8349,9108,104,912,1016,NA,NA,NA,NA,NA,NA,4,28,32,34,540,574,973,11304,12277,0,18,18,0,0,0,67,1229,1296
Michigan,1998,7065712.6,5985605.8,9592295.6,4879837.6,4712458,3688497.6,3377215,3056201.6,2929404.2,NA,NA,NA,NA,NA,NA,876,9624,10500,NA,NA,NA,0,0,0,0,0,0,15,90,105,NA,NA,NA,1096,12231,13327,0,10,10,0,1,1,69,1104,1173
Michigan,1997,7035610.4,5962357.7,9553859.9,4867121.9,4686738,3674656.4,3360954,3044194.4,2918163.3,NA,NA,NA,NA,NA,NA,704,8054,8758,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,932,10606,11538,0,15,15,0,0,0,49,1003,1052
Michigan,1996,7005508.2,5939109.6,9515424.2,4854406.2,4661018,3660815.2,3344693,3032187.2,2906922.4,NA,NA,NA,NA,NA,NA,735,8728,9463,NA,NA,NA,0,0,0,0,0,0,5,56,61,NA,NA,NA,942,11552,12494,0,14,14,1,2,3,52,914,966
Michigan,1995,6975406,5915861.5,9476988.5,4841690.5,4635298,3646974,3328432,3020180,2895681.5,NA,NA,NA,NA,NA,NA,777,8301,9078,NA,NA,NA,0,0,0,0,0,0,16,0,16,NA,NA,NA,1003,11083,12086,1,18,19,0,0,0,57,789,846
Michigan,1994,6945303.8,5892613.4,9438552.8,4828974.8,4609578,3633132.8,3312171,3008172.8,2884440.6,NA,NA,NA,NA,NA,NA,700,7637,8337,NA,NA,NA,0,0,0,0,0,0,0,206,206,NA,NA,NA,902,10204,11106,19,19,38,0,0,0,52,671,723
Michigan,1993,6915201.6,5869365.3,9400117.1,4816259.1,4583858,3619291.6,3295910,2996165.6,2873199.7,NA,NA,NA,NA,NA,NA,721,9126,9847,NA,NA,NA,0,0,0,0,0,0,47,0,47,NA,NA,NA,953,11432,12385,18,77,95,0,0,0,44,735,779
Michigan,1992,6885099.4,5846117.2,9361681.4,4803543.4,4558138,3605450.4,3279649,2984158.4,2861958.8,NA,NA,NA,NA,NA,NA,634,8585,9219,NA,NA,NA,0,0,0,0,0,0,132,0,132,NA,NA,NA,876,10325,11201,9,86,95,0,0,0,37,574,611
Michigan,1991,6854997.2,5822869.1,9323245.7,4790827.7,4532418,3591609.2,3263388,2972151.2,2850717.9,NA,NA,NA,NA,NA,NA,628,8620,9248,NA,NA,NA,0,0,0,0,0,0,101,0,101,NA,NA,NA,825,10472,11297,2,97,99,0,0,0,38,594,632
Michigan,1990,6824895,5799621,9284810,4778112,4506698,3577768,3247127,2960144,2839477,NA,NA,NA,NA,NA,NA,617,8254,8871,NA,NA,NA,0,0,0,0,0,0,23,0,23,NA,NA,NA,753,9981,10734,13,96,109,0,0,0,38,546,584
Michigan,1989,6792747.5,5786418.9,9283643,4776692.8,4506950.2,3560587.2,3232160.3,2954791.6,2831627.3,NA,NA,NA,NA,NA,NA,498,6865,7363,NA,NA,NA,0,0,0,0,0,0,1,0,1,NA,NA,NA,585,8793,9378,4,92,96,0,0,0,24,555,579
Michigan,1988,6760600,5773216.8,9282476,4775273.6,4507202.4,3543406.4,3217193.6,2949439.2,2823777.6,NA,NA,NA,NA,NA,NA,387,5226,5613,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,487,7038,7525,7,116,123,0,0,0,26,489,515
