state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
West Virginia,2016,1454578,1136439,1831102,925805,905297,742573,712005,565430,571009,623,4591,5214,645,5344,5989,623,4591,5214
West Virginia,2015,1464966,1154097,1844128,935217,908911,748250,716716,576685,577412,623,4536,5159,635,5352,5987,623,4536,5159
West Virginia,2014,1467316,1164664,1850326,936005,914321,749665,717651,581219,583445,591,4506,5097,605,5318,5923,591,4056,4647
West Virginia,2013,1471764,1178908,1854304,936667,917637,750484,721280,587191,591717,522,4426,4948,552,5226,5778,522,4426,4948
West Virginia,2012,1470340,1188320,1855413,942344,913069,753699,716641,595759,592561,522,4038,4560,552,4838,5390,522,4038,4560
West Virginia,2011,1469390,1192811,1855364,941008,914356,752939,716451,596420,596391,503,3860,4363,525,4660,5185,503,3860,4363
West Virginia,2010,1467669,1188550,1853973,941315,912658,753322,714347,594994,593556,503,3801,4304,525,4589,5114,503,3801,4304
West Virginia,2009,1435182,1166477,1819777,925985,893792,739187,695995,583781,582696,493,3642,4135,525,4588,5113,493,3642,4135
West Virginia,2008,1435959,1173396,1814468,926300,888168,741592,694367,589258,584138,493,3642,4135,546,4471,5017,493,3642,4135
West Virginia,2007,1419562,1153085,1812035,922977,889058,732067,687495,578451,574634,493,3642,4135,546,4469,5015,493,3642,4135
West Virginia,2006,1428728,1164212,1818470,927833,890637,737806,690922,584605,579607,337,3438,3775,455,3891,4346,337,3318,3655
West Virginia,2005,1396212,1146453,1781817,906603,875214,721008,675204,578620,567833,337,3318,3655,455,3771,4226,337,3318,3655
West Virginia,2004,1387973,1140089,1771784,907959,863825,723574,664399,580722,559367,337,3253,3590,371,3701,4072,337,3253,3590
West Virginia,2003,1378583,1131390,1767580,906693,860887,720228,658355,576390,555e3,337,3061,3398,371,3509,3880,337,3061,3398
West Virginia,2002,1373614,1126911,1761291,910684,850607,716730,656884,571859,555052,219,2970,3189,219,3320,3539,NA,NA,NA
West Virginia,2001,1361659,1115905,1758405,904323,854082,711497,650162,566993,548912,219,2970,3189,219,3320,3539,NA,NA,NA
West Virginia,2000,1376793,1115609,1770413,905382,865031,706516,670277,562725,552884,138,2985,3123,150,3103,3253,138,2985,3123
West Virginia,1999,1373385.7,1113313.4,1771971.6,907676.7,864294.9,707388,665997.7,562733.6,550579.8,150,2800,2950,153,2727,2880,230,2829,3059
West Virginia,1998,1369978.4,1111017.8,1773530.2,909971.4,863558.8,708260,661718.4,562742.2,548275.6,NA,NA,2695,NA,NA,2827,NA,NA,2698
West Virginia,1997,1366571.1,1108722.2,1775088.8,912266.1,862822.7,709132,657439.1,562750.8,545971.4,NA,NA,2370,NA,NA,2404,NA,NA,2378
West Virginia,1996,1363163.8,1106426.6,1776647.4,914560.8,862086.6,710004,653159.8,562759.4,543667.2,NA,NA,2580,NA,NA,2730,NA,NA,2640
West Virginia,1995,1359756.5,1104131,1778206,916855.5,861350.5,710876,648880.5,562768,541363,NA,NA,2485,NA,NA,2377,NA,NA,2438
West Virginia,1994,1356349.2,1101835.4,1779764.6,919150.2,860614.4,711748,644601.2,562776.6,539058.8,NA,NA,1900,NA,NA,1900,NA,NA,1900
West Virginia,1993,1352941.9,1099539.8,1781323.2,921444.9,859878.3,712620,640321.9,562785.2,536754.6,NA,NA,1800,NA,NA,1805,NA,NA,1800
West Virginia,1992,1349534.6,1097244.2,1782881.8,923739.6,859142.2,713492,636042.6,562793.8,534450.4,NA,NA,1730,NA,NA,1745,NA,NA,1680
West Virginia,1991,1346127.3,1094948.6,1784440.4,926034.3,858406.1,714364,631763.3,562802.4,532146.2,NA,NA,1736,NA,NA,1644,NA,NA,1585
West Virginia,1990,1342720,1092653,1785999,928329,857670,715236,627484,562811,529842,NA,NA,1850,NA,NA,1565,NA,NA,1700
West Virginia,1989,1347154,1100131.7,1802083.1,935696.1,866387,716904.4,630249.6,566719.9,533411.8,NA,NA,1547,NA,NA,1640,NA,NA,1547
West Virginia,1988,1351588,1107610.4,1818167.2,943063.2,875104,718572.8,633015.2,570628.8,536981.6,NA,NA,1547,NA,NA,1640,NA,NA,1547
West Virginia,1987,1356022,1115089.1,1834251.3,950430.3,883821,720241.2,635780.8,574537.7,540551.4,NA,NA,1547,NA,NA,1640,NA,NA,1547
West Virginia,1986,1360456,1122567.8,1850335.4,957797.4,892538,721909.6,638546.4,578446.6,544121.2,NA,NA,1547,NA,NA,1640,NA,NA,1547
West Virginia,1985,1364890,1130046.5,1866419.5,965164.5,901255,723578,641312,582355.5,547691,NA,NA,1567,NA,NA,1640,NA,NA,1547
West Virginia,1984,1369324,1137525.2,1882503.6,972531.6,909972,725246.4,644077.6,586264.4,551260.8,NA,NA,2038,NA,NA,2111,NA,NA,2063
West Virginia,1983,1373758,1145003.9,1898587.7,979898.7,918689,726914.8,646843.2,590173.3,554830.6,NA,NA,1466,NA,NA,1539,NA,NA,1446
