state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
North Dakota,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,260
North Dakota,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,249
North Dakota,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,332
North Dakota,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,300
North Dakota,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,351
North Dakota,1983,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,412,422
North Dakota,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,12,434,446
North Dakota,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,433,443
North Dakota,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,410,420
North Dakota,1987,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,35,447,482
North Dakota,1988,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26,499,525
North Dakota,1989,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,42,469,511
North Dakota,1990,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,512,542
North Dakota,1991,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,46,505,551
North Dakota,1992,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,31,519,550
North Dakota,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,542,572
North Dakota,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,571,612
North Dakota,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,633,670
North Dakota,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,708,765
North Dakota,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,757,823
North Dakota,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,871,941
North Dakota,1999,69,845,0,0,0,69,845,914,0,0,0,69,845,914
North Dakota,2e3,66,957,0,96,96,66,861,927,NA,NA,NA,66,861,927
North Dakota,2001,112,976,0,44,44,112,932,1044,NA,NA,NA,112,932,1044
North Dakota,2002,100,1017,0,23,23,100,994,1094,NA,NA,NA,100,994,1094
North Dakota,2003,97,1003,0,0,0,97,1003,1100,0,0,0,97,1003,1100
North Dakota,2004,93,1037,0,35,35,93,1002,1095,0,0,0,93,1002,1095
North Dakota,2005,153,1165,0,47,47,153,1118,1271,0,0,0,153,1118,1271
North Dakota,2006,158,1179,0,0,0,158,1179,1337,NA,NA,NA,158,1179,1337
North Dakota,2007,147,1245,0,0,0,147,1245,1392,NA,NA,NA,147,1245,1392
North Dakota,2008,159,1220,0,0,0,159,1220,1379,NA,NA,NA,159,1220,1379
North Dakota,2009,174,1262,0,0,0,174,1262,1436,NA,NA,NA,174,1262,1436
North Dakota,2010,173,1243,0,0,0,173,1243,1416,0,0,0,173,1243,1416
North Dakota,2011,147,1238,0,0,0,147,1238,1385,0,0,0,147,1238,1385
North Dakota,2012,171,1242,0,0,0,171,1242,1413,0,0,0,171,1242,1413
North Dakota,2013,157,1419,157,162,319,0,1257,1257,0,0,0,0,1257,1257
North Dakota,2014,204,1492,204,167,371,0,1325,1325,NA,NA,NA,0,1325,1325
North Dakota,2015,208,1564,208,219,427,0,1345,1345,NA,NA,NA,0,1345,1345
North Dakota,2016,95,1544,95,165,260,0,1379,1379,NA,NA,NA,0,1379,1379
