state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
District of Columbia,1983,NA,NA,3355,NA,NA,NA,NA,NA,NA
District of Columbia,1984,NA,NA,3503,NA,NA,NA,NA,NA,NA
District of Columbia,1985,NA,NA,NA,NA,NA,6193,NA,NA,5711
District of Columbia,1986,NA,NA,NA,NA,NA,6577,NA,NA,6769
District of Columbia,1987,NA,NA,NA,NA,NA,7341,NA,NA,7032
District of Columbia,1988,NA,NA,NA,NA,NA,NA,NA,NA,7417
District of Columbia,1989,NA,NA,8253,NA,NA,9315,NA,NA,8253
District of Columbia,1990,NA,NA,7764,NA,NA,9121,NA,NA,8253
District of Columbia,1991,NA,NA,8101,NA,NA,9508,NA,NA,9788
District of Columbia,1992,NA,NA,8746,NA,NA,11087,NA,NA,11087
District of Columbia,1993,NA,NA,8746,NA,NA,10330,NA,NA,10330
District of Columbia,1994,NA,NA,9419,NA,NA,11099,NA,NA,7251
District of Columbia,1995,NA,NA,9419,NA,NA,11099,NA,NA,7251
District of Columbia,1996,NA,NA,9419,NA,NA,9866,NA,NA,7251
District of Columbia,1997,NA,NA,9419,NA,NA,9729,NA,NA,7251
District of Columbia,1998,NA,NA,NA,NA,NA,7289,NA,NA,7973
District of Columbia,1999,NA,NA,NA,NA,5424,NA,NA,5424,NA
District of Columbia,2e3,NA,NA,NA,NA,4586,NA,NA,4586,NA
District of Columbia,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
