state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Washington,2016,5663243,4662065,7288e3,3651901,3636099,2857203,2806040,2308182,2353883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2015,5558571,4603853,7170351,3587267,3583084,2798430,2760141,2276053,2327800,3,38,41,3,27,30,NA,NA,NA,6,65,71
Washington,2014,5460989,4551069,7061530,3529518,3532012,2753219,2707770,2253081,2297988,NA,NA,NA,2,28,30,5,33,38,7,61,68
Washington,2013,5378895,4508105,6971406,3487837,3483569,2708948,2669947,2229008,2279097,4,37,41,4,33,37,NA,NA,NA,8,70,78
Washington,2012,5316558,4488323,6897012,3458480,3438532,2686241,2630317,2233072,2255251,3,33,36,3,36,39,0,0,0,6,69,75
Washington,2011,5252763,4455487,6830038,3424895,3405143,2653627,2599136,2213952,2241535,2,37,39,3,29,32,0,0,0,5,66,71
Washington,2010,5162367,4392734,6744496,3385247,3359249,2615256,2547111,2184628,2208106,0,11,11,5,59,64,0,0,0,5,70,75
Washington,2009,5093031,4352845,6664195,3339270,3324925,2574991,2518040,2159660,2193185,0,10,10,6,62,68,0,0,0,6,72,78
Washington,2008,5001714,4279436,6549224,3281759,3267465,2518254,2483460,2111050,2168386,NA,NA,NA,NA,NA,68,NA,NA,11,11,68,79
Washington,2007,4930120,4231658,6468424,3240820,3227604,2494650,2435470,2101864,2129794,0,0,0,11,58,69,4,20,24,15,78,93
Washington,2006,4859395,4171816,6395798,3210390,3185408,2459251,2400144,2069892,2101924,3,0,3,6,32,38,2,41,43,11,73,84
Washington,2005,4676603,4030546,6157786,3095414,3062372,2375133,2301470,2015873,2014673,1,17,18,5,65,70,1,18,19,7,100,107
Washington,2004,4581637,3957796,6071325,3062840,3008485,2336404,2245233,1983637,1974159,1,17,18,5,60,65,1,18,19,7,95,102
Washington,2003,4501566,3882202,5988638,3021529,2967109,2296410,2205156,1944825,1937377,0,6,6,5,65,70,1,16,17,6,87,93
Washington,2002,4426673,3825364,5937852,2985345,2952507,2252514,2174159,1911251,1914113,1,12,13,9,72,81,0,7,7,10,91,101
Washington,2001,4331354,3732001,5852281,2956139,2896142,2213585,2117769,1873388,1858613,NA,NA,NA,NA,NA,79,NA,NA,9,5,83,88
Washington,2000,4249005,3667693,5776726,2901145,2875581,2161191,2087814,1836278,1831415,2,14,16,6,68,74,0,0,0,8,82,90
Washington,1999,4183157.1,3606559.8,5683249.8,2854657.8,2828592,2128011.9,2055145.2,1804701.3,1801858.5,7,61,68,0,7,7,0,0,0,7,68,75
Washington,1998,4117309.2,3545426.6,5589773.6,2808170.6,2781603,2094832.8,2022476.4,1773124.6,1772302,1,19,20,8,63,71,NA,NA,NA,9,82,91
Washington,1997,4051461.3,3484293.4,5496297.4,2761683.4,2734614,2061653.7,1989807.6,1741547.9,1742745.5,NA,NA,27,NA,NA,92,NA,NA,NA,10,109,119
Washington,1996,3985613.4,3423160.2,5402821.2,2715196.2,2687625,2028474.6,1957138.8,1709971.2,1713189,NA,NA,46,NA,NA,32,NA,NA,21,14,85,99
Washington,1995,3919765.5,3362027,5309345,2668709,2640636,1995295.5,1924470,1678394.5,1683632.5,NA,NA,36,NA,NA,28,NA,NA,28,11,81,92
Washington,1994,3853917.6,3300893.8,5215868.8,2622221.8,2593647,1962116.4,1891801.2,1646817.8,1654076,NA,NA,27,NA,NA,28,NA,NA,0,5,50,55
Washington,1993,3788069.7,3239760.6,5122392.6,2575734.6,2546658,1928937.3,1859132.4,1615241.1,1624519.5,NA,NA,38,NA,NA,12,NA,NA,13,2,61,63
Washington,1992,3722221.8,3178627.4,5028916.4,2529247.4,2499669,1895758.2,1826463.6,1583664.4,1594963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
Washington,1991,3656373.9,3117494.2,4935440.2,2482760.2,2452680,1862579.1,1793794.8,1552087.7,1565406.5,NA,NA,32,NA,NA,10,NA,NA,0,NA,NA,42
