state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
New York,2016,15572259,12754895,19745289,10153097,9592192,8119687,7452572,6503970,6250925,2433,48329,50762,2551,48922,51473,2551,48612,51163
New York,2015,15592507,12847208,19795791,10178540,9617251,8132702,7459805,6548709,6298499,2427,48530,50957,2545,49131,51676,2545,48935,51480
New York,2014,15527616,12839942,19746227,10164843,9581384,8106141,7421475,6548422,6291520,2422,48538,50960,2540,49328,51868,2540,48940,51480
New York,2013,15421398,12813124,19651127,10109477,9541650,8050428,7370970,6533951,6279173,2426,49904,52330,2544,50864,53408,2544,50311,52855
New York,2012,15314573,12786511,19570261,10081525,9488736,8005399,7309174,6528584,6257927,2748,49839,52587,2906,51160,54066,2906,50258,53164
New York,2011,15188834,12704132,19465197,10038274,9426923,7950682,7238152,6487116,6217016,2755,49983,52738,2979,51310,54289,2979,50408,53387
New York,2010,15081689,12628407,19392283,10008101,9384182,7903260,7178429,6458018,6170389,2761,53829,56590,3005,55541,58546,2995,54510,57505
New York,2009,15119153,12667884,19541453,10041220,9500233,7887671,7231482,6440535,6227349,2758,54110,56868,3042,55944,58986,3010,54828,57838
New York,2008,15093461,12675418,19490297,10028336,9461961,7874358,7219103,6441594,6233824,2836,54567,57403,3128,57850,60978,3096,56734,59830
New York,2007,14865399,12511238,19297729,9936561,9361168,7767093,7098306,6372378,6138860,2854,54914,57768,3146,58244,61390,3114,57128,60242
New York,2006,14791392,12429913,19306183,9955117,9351066,7754373,7037019,6350701,6079212,2855,54908,57763,3146,58242,61388,3146,56816,59962
New York,2005,14140770,11922397,18679211,9674822,9004389,7449008,6691762,6134108,5788289,2695,51148,53843,3146,58184,61330,3146,56758,59904
New York,2004,14111809,11907590,18661943,9683075,8978868,7450309,6661500,6151958,5755632,2647,50964,53611,3174,58489,61663,3174,57063,60237
New York,2003,14084958,11899252,18601689,9660262,8941427,7447750,6637208,6152109,5747143,2647,50954,53601,3174,59394,62568,3174,57218,60392
New York,2002,13982226,11796686,18529790,9639637,8890153,7409827,6572399,6110687,5685999,2668,51542,54210,3209,60322,63531,3209,58056,61265
New York,2001,13879472,11724070,18429783,9576509,8853274,7360745,6518727,6083431,5640639,2730,51797,54527,3295,61197,64492,3251,58593,61844
New York,2000,13684669,11545827,18434400,9584298,8850102,7281824,6402845,6007989,5537838,2800,52646,55446,3491,63921,67412,3311,59462,62773
New York,1999,13685147.7,11541834.5,18382887.4,9560001.7,8822885.7,7280924.5,6404223.2,5999553.4,5542281.1,2756,51059,53815,3492,62892,66384,3372,57893,61265
New York,1998,13685626.4,11537842,18331374.8,9535705.4,8795669.4,7280025,6405601.4,5991117.8,5546724.2,NA,NA,53409,NA,NA,65717,NA,NA,60879
New York,1997,13686105.1,11533849.5,18279862.2,9511409.1,8768453.1,7279125.5,6406979.6,5982682.2,5551167.3,NA,NA,53463,NA,NA,65823,NA,NA,60947
New York,1996,13686583.8,11529857,18228349.6,9487112.8,8741236.8,7278226,6408357.8,5974246.6,5555610.4,NA,NA,53366,NA,NA,65700,NA,NA,68996
New York,1995,13687062.5,11525864.5,18176837,9462816.5,8714020.5,7277326.5,6409736,5965811,5560053.5,NA,NA,52475,NA,NA,64585,NA,NA,67712
New York,1994,13687541.2,11521872,18125324.4,9438520.2,8686804.2,7276427,6411114.2,5957375.4,5564496.6,NA,NA,51049,NA,NA,61195,NA,NA,64280
New York,1993,13688019.9,11517879.5,18073811.8,9414223.9,8659587.9,7275527.5,6412492.4,5948939.8,5568939.7,NA,NA,50339,NA,NA,58675,NA,NA,61761
New York,1992,13688498.6,11513887,18022299.2,9389927.6,8632371.6,7274628,6413870.6,5940504.2,5573382.8,NA,NA,49543,NA,NA,57005,NA,NA,60054
New York,1991,13688977.3,11509894.5,17970786.6,9365631.3,8605155.3,7273728.5,6415248.8,5932068.6,5577825.9,NA,NA,48363,NA,NA,55699,NA,NA,58687
New York,1990,13689456,11505902,17919274,9341335,8577939,7272829,6416627,5923633,5582269,NA,NA,45946,NA,NA,56833,NA,NA,55820
New York,1989,13602126.4,11437145.8,17883612.6,9331309.5,8552303.1,7237652.1,6364474.3,5900461.7,5536684.1,NA,NA,42472,NA,NA,51617,NA,NA,51617
New York,1988,13514796.8,11368389.6,17847951.2,9321284,8526667.2,7202475.2,6312321.6,5877290.4,5491099.2,NA,NA,40095,NA,NA,45141,NA,NA,NA
New York,1987,13427467.2,11299633.4,17812289.8,9311258.5,8501031.3,7167298.3,6260168.9,5854119.1,5445514.3,NA,NA,36462,NA,NA,41242,NA,NA,NA
New York,1986,13340137.6,11230877.2,17776628.4,9301233,8475395.4,7132121.4,6208016.2,5830947.8,5399929.4,NA,NA,35891,NA,NA,39502,NA,NA,37743
New York,1985,13252808,11162121,17740967,9291207.5,8449759.5,7096944.5,6155863.5,5807776.5,5354344.5,NA,NA,32714,NA,NA,35934,NA,NA,35934
New York,1984,13165478.4,11093364.8,17705305.6,9281182,8424123.6,7061767.6,6103710.8,5784605.2,5308759.6,NA,NA,34292,NA,NA,35035,NA,NA,NA
New York,1983,13078148.8,11024608.6,17669644.2,9271156.5,8398487.7,7026590.7,6051558.1,5761433.9,5263174.7,NA,NA,26530,NA,NA,31182,NA,NA,26284
