state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Arizona,2016,5302751,4213082,6931071,3485977,3445094,2692704,2610047,2105715,2107367,0,2,2,283,2113,2396,0,25,25,0,2,2,1157,7432,8589,1,15,16,0,0,0,0,180,180,1662,12207,13869,2,6,8,0,1,1,215,2198,2413
Arizona,2015,5207988,4168956,6828065,3443088,3384977,2650327,2557661,2089687,2079269,0,0,0,272,1832,2104,0,18,18,0,0,0,1093,7419,8512,1,13,14,0,0,0,2,102,104,1595,12505,14100,0,8,8,0,1,1,202,2146,2348
Arizona,2014,5110238,4116568,6731484,3394063,3337421,2597140,2513098,2058224,2058344,0,0,0,232,1646,1878,0,43,43,0,1,1,1096,7266,8362,0,14,14,0,0,0,0,17,17,1540,11981,13521,0,7,7,1,3,4,196,2015,2211
Arizona,2013,5012262,4076719,6626624,3325355,3301269,2537010,2475252,2032479,2044240,0,0,0,174,1331,1505,3,46,49,0,0,0,1061,7400,8461,1,17,18,0,0,0,0,91,91,1424,11518,12942,0,11,11,1,4,5,159,1926,2085
Arizona,2012,4933281,4039033,6553255,3293148,3260107,2501312,2431969,2011781,2027252,0,0,0,94,1075,1169,0,39,39,0,1,1,1119,7404,8523,6,20,26,0,0,0,0,415,415,1420,11588,13008,0,7,7,1,5,6,178,1909,2087
Arizona,2011,4859763,3998261,6482505,3255616,3226889,2463272,2396491,1995526,2002735,0,0,0,111,759,870,1,33,34,1,2,3,1228,8048,9276,2,27,29,0,0,0,0,13,13,1563,11599,13162,2,8,10,0,7,7,204,1956,2160
Arizona,2010,4780890,3949826,6413737,3225572,3188165,2428720,2352170,1977479,1972347,0,0,0,72,693,765,1,39,40,0,6,6,1245,8234,9479,0,22,22,0,0,0,1,22,23,1556,11956,13512,0,6,6,0,8,8,208,1914,2122
Arizona,2009,4864637,4055964,6595778,3289459,3306319,2444189,2420448,2000403,2055561,0,0,0,37,498,535,3,39,42,0,1,1,1314,8828,10142,3,181,184,0,0,0,1,14,15,1578,12289,13867,3,9,12,0,5,5,204,1849,2053
Arizona,2008,4776565,3977732,6500180,3241482,3258698,2405053,2371512,1963887,2013845,0,0,0,85,649,734,2,33,35,0,7,7,1271,8052,9323,2,213,215,0,0,0,3,36,39,1538,11676,13214,1,14,15,0,6,6,153,1807,1960
Arizona,2007,4679389,3904469,6338755,3165953,3172802,2356012,2323377,1927419,1977050,0,0,0,99,726,825,4,31,35,0,0,0,1053,7697,8750,3,25,28,0,0,0,0,27,27,1358,11209,12567,0,7,7,1,1,2,182,2058,2240
