state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Missouri,2016,4703576,3794795,6093e3,3093350,2999650,2422259,2281317,1912445,1882350,0,3,3,0,1,1,2033,7801,9834,0,0,0,26,589,615,560,1431,1991,58,1034,1092,728,4163,4891,0,3,3,3408,15033,18441,3,8,11
Missouri,2015,4696210,3811896,6083672,3100719,2982953,2426191,2270019,1925822,1886074,0,4,4,0,1,1,1892,7717,9609,0,0,0,16,581,597,470,1389,1859,66,986,1052,778,4313,5091,0,0,0,3223,14995,18218,1,4,5
Missouri,2014,4671311,3808067,6063589,3091668,2971921,2413978,2257333,1926332,1881735,0,6,6,0,1,1,1931,8149,10080,0,0,0,17,586,603,473,1409,1882,64,1083,1147,737,4545,5282,1,5,6,3223,15797,19020,0,13,13
Missouri,2013,4645397,3799537,6044171,3081854,2962317,2400636,2244761,1921089,1878448,1,6,7,0,1,1,1858,8385,10243,0,0,0,30,661,691,414,1264,1678,78,1160,1238,727,4403,5130,0,3,3,3108,15887,18995,0,4,4
Missouri,2012,4621004,3801285,6021988,3071065,2950923,2391311,2229693,1924900,1876385,1,6,7,0,1,1,1612,8136,9748,0,0,0,20,633,653,346,1432,1778,62,1052,1114,651,4269,4920,0,3,3,2692,15540,18232,0,8,8
Missouri,2011,4599862,3796549,6010688,3066021,2944667,2377125,2222737,1919676,1876873,0,3,3,0,1,1,1495,7921,9416,0,4,4,20,563,583,339,1292,1631,54,889,943,688,4713,5401,0,1,1,2597,15402,17999,1,15,16
Missouri,2010,4579206,3785676,5996231,3064200,2932031,2374284,2204922,1917418,1868258,0,10,10,0,2,2,1462,8041,9503,0,1,1,14,559,573,298,1296,1594,40,791,831,679,4556,5235,2,1,3,2496,15273,17769,NA,16,NA
Missouri,2009,4556338,3788356,5987580,3060821,2926759,2361893,2194445,1916797,1871559,0,8,8,0,0,0,1463,8314,9777,0,4,4,21,610,631,320,1368,1688,38,747,785,631,4698,5329,0,2,2,2473,15758,18231,0,7,7
Missouri,2008,4499981,3750818,5911605,3026019,2885586,2340169,2159812,1901972,1848846,70,608,678,0,0,0,1403,8549,9952,1,5,6,24,637,661,303,1468,1771,30,735,765,686,4763,5449,0,7,7,2518,16781,19299,1,9,10
Missouri,2007,4461852,3727675,5878415,3011497,2866918,2318313,2143539,1890155,1837520,91,924,1015,0,1,1,1433,8302,9735,0,9,9,49,581,630,324,1380,1704,48,654,702,691,4814,5505,0,15,15,2636,16697,19333,0,17,17
