state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
North Dakota,2016,584891,480919,757953,367311,390642,284469,300422,227303,253616,0,0,0,41,378,419,208,742,950,21,20,41,0,0,0,0,0,0,0,0,0,0,0,0,307,1320,1627,0,3,3,0,0,0,37,173,210
North Dakota,2015,584774,482817,756928,368326,388602,284233,300541,227159,255658,0,0,0,38,356,394,191,698,889,19,19,38,0,0,0,0,0,0,0,0,0,0,0,0,282,1243,1525,0,3,3,0,0,0,34,163,197
North Dakota,2014,572255,474147,739482,362327,377155,281476,290779,227326,246821,9,7,16,19,186,205,135,561,696,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,183,884,1067,0,2,2,0,0,0,18,121,139
North Dakota,2013,563342,470064,723393,354742,368651,276354,286988,224507,245557,0,0,0,21,212,233,160,615,775,7,7,14,0,0,0,0,0,0,0,2,2,0,0,0,209,978,1187,0,0,0,0,0,0,21,137,158
North Dakota,2012,546266,452599,699628,340386,359242,265616,280650,212354,240245,0,0,0,29,197,226,133,515,648,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,192,890,1082,0,0,0,0,0,0,26,162,188
North Dakota,2011,532740,438520,683932,338937,344995,264562,268178,212106,226414,0,0,0,25,177,202,122,490,612,4,5,9,0,0,0,0,0,0,0,1,1,0,0,0,179,843,1022,0,0,0,0,0,0,28,163,191
North Dakota,2010,524634,433967,674499,331184,343315,259417,265217,208430,225537,0,0,0,22,180,202,114,499,613,10,5,15,0,0,0,0,0,0,0,0,0,0,0,0,175,848,1023,0,2,2,0,0,0,27,159,186
North Dakota,2009,504757,415578,646844,325534,321310,255336,249421,204131,211447,0,0,0,18,208,226,92,442,534,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,153,860,1013,0,2,2,0,0,0,38,199,237
North Dakota,2008,504597,419055,641481,318526,322955,255384,249213,204956,214099,0,0,0,16,166,182,111,517,628,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,156,900,1056,0,0,0,0,0,0,26,207,233
North Dakota,2007,497018,412734,639715,317330,322385,247684,249334,198765,213969,0,0,0,13,165,178,112,455,567,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,163,821,984,0,2,2,0,0,0,36,196,232
North Dakota,2006,493893,405285,635867,318440,317427,251386,242507,200585,204700,0,0,0,13,159,172,146,462,608,0,1,1,2,8,10,0,0,0,0,1,1,0,0,0,186,854,1040,0,0,0,0,0,0,25,222,247
North Dakota,2005,477908,397941,621063,315374,305689,243875,234033,196980,200961,0,0,0,26,159,185,110,486,596,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,154,850,1004,0,0,0,0,0,0,16,201,217
