state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Tennessee,2016,5148517,4183750,6651194,3407234,3243960,2677859,2470658,2136097,2047653,929,5796,6725,NA,NA,NA,0,0,7433,7433,7433,0,0,0,7433,2722,18048,20770,NA,NA,NA,2722,25481,28203
Tennessee,2015,5107242,4167751,6600299,3384403,3215896,2653185,2454057,2125461,2042290,1137,7279,8416,NA,NA,NA,0,0,5172,5172,5172,0,0,0,5172,2640,20360,23e3,NA,NA,NA,2640,25532,28172
Tennessee,2014,5055916,4148978,6549352,3358123,3191229,2628449,2427467,2120344,2028634,1147,6840,7987,NA,NA,NA,0,0,5116,5116,5116,0,0,0,5116,2609,21044,23653,NA,NA,NA,2609,26160,28769
Tennessee,2013,5003829,4130937,6495978,3319592,3176386,2595951,2407878,2103298,2027639,991,6799,7790,NA,NA,NA,0,0,5103,5103,5103,0,0,0,5103,2452,20966,23418,0,0,0,2452,26069,28521
Tennessee,2012,4964231,4120756,6456243,3310883,3145360,2581330,2382901,2099108,2021648,1189,7429,8618,NA,NA,NA,0,0,5165,5165,5165,0,0,0,5165,2363,20883,23246,0,0,0,2363,26048,28411
Tennessee,2011,4913801,4096470,6403353,3283234,3120119,2554260,2359541,2084724,2011746,1232,7428,8660,NA,NA,NA,0,0,5147,5147,5147,0,0,0,5147,2409,20923,23332,0,0,0,2409,26070,28479
Tennessee,2010,4857780,4052305,6356897,3264746,3092151,2530442,2327338,2067100,1985205,928,6504,7432,NA,NA,NA,0,0,5120,5120,5120,0,0,0,5120,2106,20225,22331,0,0,0,2106,25345,27451
Tennessee,2009,4806513,4029150,6296254,3221660,3074594,2500155,2306358,2049940,1979210,838,6209,7047,NA,NA,NA,0,0,5108,5108,5108,0,0,0,5108,2009,19848,21857,NA,NA,NA,2009,24956,26965
Tennessee,2008,4746414,3993007,6214888,3188226,3026662,2470444,2275970,2026138,1966869,979,6881,7860,NA,NA,NA,0,0,5155,5155,5155,0,0,0,5155,2129,19944,22073,NA,NA,NA,2129,25099,27228
Tennessee,2007,4692049,3957214,6156719,3149566,3007153,2439462,2252587,2008003,1949211,789,6230,7019,NA,NA,NA,0,0,5121,5121,5121,0,0,0,5121,1923,19223,21146,NA,NA,NA,1923,24344,26267
Tennessee,2006,4591673,3879032,6038803,3089436,2949367,2385001,2206672,1959969,1919063,791,5660,6451,NA,NA,NA,0,0,5126,5126,5126,0,0,0,5126,1958,18661,20619,NA,NA,NA,1958,23787,25745
Tennessee,2005,4435990,3775441,5816359,2981559,2834800,2313069,2122921,1929638,1845803,862,6250,7112,NA,NA,NA,0,0,5162,5162,5162,0,0,0,5162,2022,19185,21207,0,0,0,2022,24347,26369
Tennessee,2004,4364238,3706655,5743167,2953347,2789820,2274247,2089991,1895020,1811635,756,5821,6577,NA,NA,NA,0,0,5105,5105,5105,0,0,0,5105,1905,18874,20779,0,0,0,1905,23979,25884
Tennessee,2003,4302590,3673393,5695563,2921430,2774133,2247652,2054938,1879457,1793936,690,5593,6283,NA,NA,NA,0,0,5049,5049,5049,0,0,0,5049,1826,18528,20354,0,0,0,1826,23577,25403
Tennessee,2002,4262511,3625311,5656036,2911582,2744454,2228425,2034086,1853003,1772308,592,6125,6717,NA,NA,NA,0,0,4200,4200,4200,0,0,0,4200,1735,19054,20789,NA,NA,NA,1735,23254,24989
Tennessee,2001,4194532,3568925,5596837,2880235,2716602,2195320,1999212,1823871,1745054,583,5647,6230,NA,NA,NA,0,0,3678,3678,3678,0,0,0,3678,1468,18525,19993,NA,NA,NA,1468,22203,23671
Tennessee,2000,4117680,3481151,5467299,2805942,2661357,2175399,1942281,1807227,1673924,493,4711,5204,NA,NA,NA,0,0,3510,3510,3510,0,0,0,3510,1369,17287,18656,NA,NA,NA,1369,20797,22166
