state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Federal Prison Total,1983,NA,NA,24399,NA,NA,30291,NA,NA,24399
Federal Prison Total,1984,NA,NA,24922,NA,NA,31161,NA,NA,24922
Federal Prison Total,1985,NA,NA,26131,NA,NA,32585,NA,NA,26131
Federal Prison Total,1986,NA,NA,27938,NA,NA,34890,NA,NA,27938
Federal Prison Total,1987,NA,NA,27854,NA,NA,35276,NA,NA,27854
Federal Prison Total,1988,NA,NA,29112,NA,NA,37469,NA,NA,29112
Federal Prison Total,1989,NA,NA,NA,NA,NA,NA,NA,NA,32494
Federal Prison Total,1990,NA,NA,43312,NA,NA,NA,NA,NA,NA
Federal Prison Total,1991,NA,NA,NA,NA,NA,NA,NA,NA,43753
Federal Prison Total,1992,NA,NA,NA,NA,NA,NA,NA,NA,52757
Federal Prison Total,1993,NA,NA,NA,NA,NA,NA,NA,NA,59849
Federal Prison Total,1994,NA,NA,NA,NA,NA,NA,NA,NA,68221
Federal Prison Total,1995,NA,NA,NA,NA,NA,NA,NA,NA,72145
Federal Prison Total,1996,NA,NA,NA,NA,NA,NA,NA,NA,76897
Federal Prison Total,1997,NA,NA,NA,NA,NA,NA,NA,NA,85387
Federal Prison Total,1998,NA,NA,NA,NA,NA,NA,NA,NA,86315
Federal Prison Total,1999,NA,NA,NA,NA,NA,NA,NA,90075,NA
Federal Prison Total,2e3,NA,NA,NA,NA,NA,NA,7354,88020,NA
Federal Prison Total,2001,NA,NA,NA,NA,NA,NA,7988,92211,NA
Federal Prison Total,2002,NA,NA,NA,NA,NA,NA,8122,95775,NA
Federal Prison Total,2003,NA,NA,NA,NA,NA,NA,8357,97689,NA
Federal Prison Total,2004,NA,NA,NA,NA,NA,NA,NA,109498,NA
Federal Prison Total,2005,NA,NA,NA,NA,NA,NA,NA,119371,NA
Federal Prison Total,2006,NA,NA,NA,NA,NA,NA,NA,119243,NA
Federal Prison Total,2007,NA,NA,NA,NA,NA,NA,NA,122461,NA
Federal Prison Total,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal Prison Total,2009,NA,NA,NA,NA,NA,NA,9740,116071,NA
Federal Prison Total,2010,NA,NA,NA,NA,NA,NA,9542,117321,NA
Federal Prison Total,2011,NA,NA,NA,NA,NA,NA,9206,118441,NA
Federal Prison Total,2012,NA,NA,NA,NA,NA,NA,9271,119344,NA
Federal Prison Total,2013,NA,NA,NA,NA,NA,NA,10615,120292,NA
Federal Prison Total,2014,NA,NA,NA,NA,NA,NA,10574,122157,NA
Federal Prison Total,2015,NA,NA,NA,NA,NA,NA,10723,123738,NA
Federal Prison Total,2016,NA,NA,NA,NA,NA,NA,10887,124447,NA
