state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
West Virginia,2016,1454578,1136439,1831102,925805,905297,742573,712005,565430,571009,0,0,0,7,30,37,375,1705,2080,2,14,16,0,0,0,27,51,78,0,0,0,2,40,42,611,2948,3559,0,0,0,0,0,0,102,652,754
West Virginia,2015,1464966,1154097,1844128,935217,908911,748250,716716,576685,577412,0,0,0,32,133,165,384,1632,2016,1,7,8,0,0,0,48,95,143,0,10,10,0,7,7,666,2986,3652,0,0,0,0,0,0,117,728,845
West Virginia,2014,1467316,1164664,1850326,936005,914321,749665,717651,581219,583445,0,0,0,33,126,159,328,1513,1841,2,19,21,0,0,0,49,103,152,2,3,5,0,1,1,631,2858,3489,0,0,0,0,0,0,124,728,852
West Virginia,2013,1471764,1178908,1854304,936667,917637,750484,721280,587191,591717,0,0,0,52,138,190,312,1602,1914,2,12,14,0,0,0,54,163,217,1,4,5,0,0,0,630,3164,3794,0,0,0,0,0,0,115,802,917
West Virginia,2012,1470340,1188320,1855413,942344,913069,753699,716641,595759,592561,0,0,0,51,141,192,244,1308,1552,0,13,13,0,0,0,54,124,178,1,3,4,0,0,0,535,2771,3306,0,0,0,0,0,0,118,790,908
West Virginia,2011,1469390,1192811,1855364,941008,914356,752939,716451,596420,596391,0,0,0,25,144,169,251,1260,1511,2,11,13,0,0,0,50,116,166,4,2,6,0,0,0,494,2776,3270,0,0,0,0,0,0,93,799,892
West Virginia,2010,1467669,1188550,1853973,941315,912658,753322,714347,594994,593556,0,0,0,57,140,197,232,1119,1351,1,3,4,0,0,0,45,102,147,3,3,6,0,0,0,497,2516,3013,0,0,0,0,0,0,89,726,815
West Virginia,2009,1435182,1166477,1819777,925985,893792,739187,695995,583781,582696,0,0,0,21,115,136,232,1168,1400,1,6,7,0,0,0,52,110,162,3,8,11,0,0,0,460,2490,2950,0,0,0,0,0,0,96,741,837
West Virginia,2008,1435959,1173396,1814468,926300,888168,741592,694367,589258,584138,0,0,0,30,105,135,218,1301,1519,0,6,6,0,0,0,36,112,148,3,10,13,0,0,0,439,2693,3132,0,0,0,0,0,0,81,812,893
West Virginia,2007,1419562,1153085,1812035,922977,889058,732067,687495,578451,574634,0,0,0,36,109,145,210,1236,1446,1,11,12,0,0,0,28,90,118,6,15,21,0,0,0,414,2567,2981,0,0,0,0,0,0,66,748,814
