state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Maryland,1978,0,4,4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,13,13,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1979,0,6,6,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,5,5,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1980,0,4,4,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA,0,9,9,NA,NA,NA,0,6,6,NA,NA,NA
Maryland,1981,0,4,4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,18,18,NA,NA,NA,0,5,5,NA,NA,NA
Maryland,1982,0,5,5,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,16,16,NA,NA,NA,0,5,5,NA,NA,NA
Maryland,1983,0,3,3,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,16,16,NA,NA,NA,0,5,5,NA,NA,NA
Maryland,1984,0,4,4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,18,19,NA,NA,NA,0,7,7,NA,NA,NA
Maryland,1985,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,18,18,NA,NA,NA,0,2,2,NA,NA,NA
Maryland,1986,0,2,2,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,17,17,NA,NA,NA,0,4,4,NA,NA,NA
Maryland,1987,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,17,18,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1988,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,2,19,21,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1989,0,2,2,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,22,23,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1990,0,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,2,22,24,NA,NA,NA,0,2,2,NA,NA,NA
Maryland,1991,0,0,0,0,2,2,1,13,14,0,0,0,NA,NA,NA,1,22,23,NA,NA,NA,0,3,3,NA,NA,NA
Maryland,1992,0,5,5,0,0,0,0,13,13,0,0,0,NA,NA,NA,0,22,22,NA,NA,NA,0,1,1,NA,NA,NA
Maryland,1993,0,2,2,0,1,1,0,20,20,0,0,0,NA,NA,NA,0,21,21,NA,NA,NA,0,2,2,NA,NA,NA
Maryland,1994,0,3,3,0,2,2,2,23,25,0,1,1,NA,NA,NA,3,27,30,NA,NA,NA,0,7,7,NA,NA,NA
Maryland,1995,0,3,3,0,1,1,0,25,25,0,0,0,NA,NA,NA,1,24,25,NA,NA,NA,0,0,0,NA,NA,NA
Maryland,1996,0,2,2,0,0,0,0,16,16,0,0,0,NA,NA,NA,1,20,21,NA,NA,NA,0,6,6,NA,NA,NA
Maryland,1997,0,4,4,0,0,0,0,12,12,0,1,1,NA,NA,NA,0,24,24,NA,NA,NA,0,8,8,NA,NA,NA
Maryland,1998,0,0,0,0,2,2,0,11,11,0,1,1,NA,NA,NA,2,23,25,NA,NA,NA,1,1,2,NA,NA,NA
Maryland,1999,NA,NA,NA,0,1,1,0,2,2,0,0,0,0,4,4,1,32,33,0,0,0,0,4,4,1,49,50
Maryland,2e3,NA,NA,NA,0,0,0,1,4,5,0,0,0,0,3,3,3,31,34,0,0,0,1,6,7,5,44,49
Maryland,2001,NA,NA,NA,0,0,0,1,10,11,0,0,0,0,1,1,0,41,41,0,0,0,0,8,8,1,69,70
Maryland,2002,NA,NA,NA,0,1,1,0,11,11,0,0,0,0,4,4,2,39,41,0,1,1,0,5,5,2,69,71
Maryland,2003,NA,NA,NA,0,0,0,0,7,7,0,0,0,0,0,0,0,52,52,0,0,0,0,4,4,0,67,67
Maryland,2004,NA,NA,NA,0,0,0,2,12,14,0,1,1,0,3,3,1,50,51,0,1,1,0,2,2,4,76,80
Maryland,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,56,57
Maryland,2006,NA,NA,NA,0,0,0,0,3,3,0,0,0,0,4,4,1,41,42,0,0,0,1,5,6,2,60,62
Maryland,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
