state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Washington,2016,5663243,4662065,7288e3,3651901,3636099,2857203,2806040,2308182,2353883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2015,5558571,4603853,7170351,3587267,3583084,2798430,2760141,2276053,2327800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2014,5460989,4551069,7061530,3529518,3532012,2753219,2707770,2253081,2297988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2013,5378895,4508105,6971406,3487837,3483569,2708948,2669947,2229008,2279097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2012,5316558,4488323,6897012,3458480,3438532,2686241,2630317,2233072,2255251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2011,5252763,4455487,6830038,3424895,3405143,2653627,2599136,2213952,2241535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2010,5162367,4392734,6744496,3385247,3359249,2615256,2547111,2184628,2208106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2009,5093031,4352845,6664195,3339270,3324925,2574991,2518040,2159660,2193185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2008,5001714,4279436,6549224,3281759,3267465,2518254,2483460,2111050,2168386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2007,4930120,4231658,6468424,3240820,3227604,2494650,2435470,2101864,2129794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2006,4859395,4171816,6395798,3210390,3185408,2459251,2400144,2069892,2101924,NA,NA,NA,0,1,1,0,1,1,0,0,0,0,2,2,1,26,27,0,0,0,0,0,0,1,30,31
Washington,2005,4676603,4030546,6157786,3095414,3062372,2375133,2301470,2015873,2014673,NA,NA,NA,NA,NA,NA,0,4,4,0,0,0,NA,NA,NA,0,40,40,NA,NA,NA,0,2,2,0,46,46
Washington,2004,4581637,3957796,6071325,3062840,3008485,2336404,2245233,1983637,1974159,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,2,26,28,NA,NA,NA,1,5,6,3,34,37
Washington,2003,4501566,3882202,5988638,3021529,2967109,2296410,2205156,1944825,1937377,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,29,30,0,1,1,0,2,2,1,33,34
Washington,2002,4426673,3825364,5937852,2985345,2952507,2252514,2174159,1911251,1914113,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,25,25,0,2,2,0,2,2,0,30,30
Washington,2001,4331354,3732001,5852281,2956139,2896142,2213585,2117769,1873388,1858613,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,27,28,0,1,1,0,3,3,1,33,34
Washington,2000,4249005,3667693,5776726,2901145,2875581,2161191,2087814,1836278,1831415,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,26,26,0,0,0,0,4,4,0,31,31
Washington,1999,4183157.1,3606559.8,5683249.8,2854657.8,2828592,2128011.9,2055145.2,1804701.3,1801858.5,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,1,1,0,27,27,0,0,0,0,2,2,0,31,31
Washington,1998,4117309.2,3545426.6,5589773.6,2808170.6,2781603,2094832.8,2022476.4,1773124.6,1772302,0,0,0,0,1,1,0,2,2,0,1,1,NA,NA,NA,3,31,34,NA,NA,NA,0,3,3,NA,NA,NA
Washington,1997,4051461.3,3484293.4,5496297.4,2761683.4,2734614,2061653.7,1989807.6,1741547.9,1742745.5,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,1,21,22,NA,NA,NA,0,0,0,NA,NA,NA
