state,year,population,population_adult,population_adult_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Iowa,2016,3134693,2411135,1931424,80,369,449,0,5,5,552,3333,3885,31,0,31,0,1,1,2,153,155,87,434,521,164,783,947,1,0,1,917,5078,5995,0,0,0
Iowa,2015,3123899,2398939,1932736,64,311,375,0,0,0,538,3014,3552,0,7,7,0,17,17,6,156,162,44,213,257,187,934,1121,1,3,4,846,4694,5540,6,39,45
Iowa,2014,3107126,2382458,1925061,52,240,292,0,0,0,555,3156,3711,2,15,17,0,21,21,3,115,118,36,247,283,146,855,1001,0,2,2,800,4671,5471,6,20,26
Iowa,2013,3090416,2366311,1921974,33,208,241,0,0,0,535,3291,3826,5,0,5,0,10,10,0,131,131,40,264,304,128,752,880,0,3,3,743,4673,5416,2,14,16
Iowa,2012,3074186,2352328,1918450,33,214,247,0,1,1,520,3234,3754,4,0,4,0,5,5,0,129,129,17,222,239,109,632,741,0,5,5,683,4442,5125,0,0,0
Iowa,2011,3062309,2339920,1911086,0,0,0,6,26,32,446,3301,3747,15,97,112,0,0,0,3,137,140,17,107,124,83,502,585,0,1,1,570,4171,4741,0,0,0
Iowa,2010,3049883,2327048,1901086,0,0,0,0,3,3,439,3318,3757,7,103,110,0,0,0,10,116,126,25,236,261,65,615,680,1,4,5,547,4395,4942,NA,0,NA
Iowa,2009,3007857,2299255,1877018,0,0,0,0,0,0,331,2671,3002,32,259,291,NA,NA,NA,20,174,194,18,149,167,79,638,717,1,4,5,481,3896,4377,0,1,1
Iowa,2008,3002557,2297884,1884107,0,0,0,0,1,1,370,2703,3073,199,1035,1234,62,421,483,NA,NA,NA,129,673,802,NA,NA,NA,0,0,0,761,4836,5597,1,3,4
Iowa,2007,2988047,2276058,1857403,0,0,0,0,1,1,428,2869,3297,209,1342,1551,NA,NA,NA,NA,NA,NA,80,759,839,NA,NA,NA,3,16,19,733,4999,5732,13,12,25
