state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
New Mexico,2016,1594344,1279964,2081015,1052374,1028641,811081,783263,639807,640157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2015,1586110,1283011,2085109,1049370,1035739,805247,780863,639215,643796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2014,1588033,1297353,2085572,1055089,1030483,809861,778172,650704,646649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2013,1578942,1293596,2085287,1049487,1035800,802022,776920,646953,646643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2012,1570724,1304456,2085538,1048485,1037053,801430,769294,654754,649702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2011,1564221,1302432,2082224,1046663,1035561,796647,767574,654095,648337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2010,1548374,1288774,2065932,1046841,1019091,791507,756867,649779,638995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2009,1496203,1253113,2009671,1021889,987782,764839,731364,627652,625461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2008,1484043,1239960,1984356,1004954,979402,760714,723329,622069,617891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2007,1475426,1241199,1969915,992536,977379,752818,722608,620651,620548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2006,1450102,1224310,1954599,991185,963414,745768,704334,617042,607268,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,1,0,14,14
New Mexico,2005,1400056,1189646,1886789,968289,918500,727179,672877,608222,581424,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,1,0,19,19
New Mexico,2004,1371623,1170326,1855776,949504,906272,710841,660782,597899,572427,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,13,14,0,0,0,0,2,2,1,16,17
New Mexico,2003,1339421,1130608,1837417,936914,900503,691546,647875,576846,553762,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,0,0,0,0,0,0,2,9,11
New Mexico,2002,1322313,1118313,1823047,926580,896467,680299,642014,569645,548668,NA,NA,NA,0,0,0,0,2,2,0,0,0,0,0,0,0,17,17,0,0,0,0,1,1,0,20,20
New Mexico,2001,1295567,1101763,1794179,915211,878968,675038,620529,567812,533951,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,2,2,0,7,7,0,0,0,0,2,2,0,12,12
New Mexico,2000,1276183,1088258,1770085,897462,872623,645035,631148,547172,541086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,1999,1254881.7,1070799.3,1743791.1,884190,859601.1,635233.2,619648.5,538653.9,532145.4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,1,1,0,10,10
New Mexico,1998,1233580.4,1053340.6,1717497.2,870918,846579.2,625431.4,608149,530135.8,523204.8,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,1997,1212279.1,1035881.9,1691203.3,857646,833557.3,615629.6,596649.5,521617.7,514264.2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,1996,1190977.8,1018423.2,1664909.4,844374,820535.4,605827.8,585150,513099.6,505323.6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,1995,1169676.5,1000964.5,1638615.5,831102,807513.5,596026,573650.5,504581.5,496383,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
