state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
State prison total,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State prison total,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
