state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Alabama,1983,NA,NA,7783,NA,NA,7783,NA,NA,7783
Alabama,1984,NA,NA,9166,NA,NA,9166,NA,NA,9166
Alabama,1985,NA,NA,9787,NA,NA,9787,NA,NA,9787
Alabama,1986,NA,NA,10374,NA,NA,10374,NA,NA,10374
Alabama,1987,NA,NA,11107,NA,NA,11107,NA,NA,11107
Alabama,1988,NA,NA,11162,NA,NA,11162,NA,NA,11162
Alabama,1989,NA,NA,11662,NA,NA,11662,NA,NA,11662
Alabama,1990,NA,NA,13782,NA,NA,13782,NA,NA,13782
Alabama,1991,NA,NA,14604,NA,NA,14604,NA,NA,14604
Alabama,1992,NA,NA,14788,NA,NA,14788,NA,NA,14788
Alabama,1993,NA,NA,15979,NA,NA,15979,NA,NA,15979
Alabama,1994,NA,NA,16508,NA,NA,16508,NA,NA,16508
Alabama,1995,NA,NA,19262,NA,NA,19262,NA,NA,19262
Alabama,1996,NA,NA,19927,NA,NA,19927,NA,NA,19927
Alabama,1997,NA,NA,20412,NA,NA,20412,NA,NA,20412
Alabama,1998,NA,NA,21800,NA,NA,21800,NA,NA,21800
Alabama,1999,1439,20361,NA,1439,20361,NA,1439,20361,NA
Alabama,2e3,1502,21304,NA,1502,21304,NA,NA,NA,NA
Alabama,2001,718,11688,NA,NA,NA,NA,1591,22657,NA
Alabama,2002,771,11688,NA,NA,NA,NA,NA,NA,NA
Alabama,2003,695,11693,NA,1322,23676,NA,NA,NA,NA
Alabama,2004,550,11838,NA,958,24256,NA,NA,NA,NA
Alabama,2005,NA,12444,NA,NA,25206,NA,NA,NA,NA
Alabama,2006,737,11949,NA,NA,25310,NA,NA,NA,NA
Alabama,2007,1157,12571,NA,NA,25686,NA,NA,NA,NA
Alabama,2008,892,12511,NA,NA,NA,NA,NA,NA,NA
Alabama,2009,892,12511,NA,NA,25341,NA,NA,NA,NA
Alabama,2010,700,12703,NA,NA,NA,NA,NA,NA,NA
Alabama,2011,892,12511,NA,NA,NA,NA,NA,NA,NA
Alabama,2012,892,12511,NA,NA,NA,NA,NA,NA,NA
Alabama,2013,892,12426,NA,NA,NA,NA,NA,NA,NA
Alabama,2014,764,12554,NA,NA,NA,NA,NA,NA,NA
Alabama,2015,742,12576,NA,NA,NA,NA,NA,NA,NA
Alabama,2016,892,12426,NA,NA,NA,NA,NA,NA,NA
