state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Tennessee,2016,5148517,4183750,6651194,3407234,3243960,2677859,2470658,2136097,2047653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,2015,5107242,4167751,6600299,3384403,3215896,2653185,2454057,2125461,2042290,13,173,186,7,24,31,0,0,0,20,197,217
Tennessee,2014,5055916,4148978,6549352,3358123,3191229,2628449,2427467,2120344,2028634,8,203,211,0,30,30,0,8,8,8,241,249
Tennessee,2013,5003829,4130937,6495978,3319592,3176386,2595951,2407878,2103298,2027639,2,23,25,0,23,23,8,153,161,10,199,209
Tennessee,2012,4964231,4120756,6456243,3310883,3145360,2581330,2382901,2099108,2021648,0,13,13,1,43,44,18,151,169,19,207,226
Tennessee,2011,4913801,4096470,6403353,3283234,3120119,2554260,2359541,2084724,2011746,0,18,18,0,26,26,17,152,169,17,196,213
Tennessee,2010,4857780,4052305,6356897,3264746,3092151,2530442,2327338,2067100,1985205,NA,NA,NA,4,36,40,16,163,179,20,199,219
Tennessee,2009,4806513,4029150,6296254,3221660,3074594,2500155,2306358,2049940,1979210,NA,NA,NA,2,40,42,12,141,153,14,181,195
Tennessee,2008,4746414,3993007,6214888,3188226,3026662,2470444,2275970,2026138,1966869,NA,NA,NA,0,31,31,16,141,157,16,172,188
Tennessee,2007,4692049,3957214,6156719,3149566,3007153,2439462,2252587,2008003,1949211,9,148,157,0,30,30,0,0,0,9,178,187
Tennessee,2006,4591673,3879032,6038803,3089436,2949367,2385001,2206672,1959969,1919063,16,137,153,1,36,37,NA,NA,NA,17,173,190
Tennessee,2005,4435990,3775441,5816359,2981559,2834800,2313069,2122921,1929638,1845803,7,158,165,0,45,45,NA,NA,NA,7,203,210
Tennessee,2004,4364238,3706655,5743167,2953347,2789820,2274247,2089991,1895020,1811635,14,135,149,2,64,66,NA,NA,NA,16,199,215
Tennessee,2003,4302590,3673393,5695563,2921430,2774133,2247652,2054938,1879457,1793936,21,132,153,1,54,55,NA,NA,NA,22,186,208
Tennessee,2002,4262511,3625311,5656036,2911582,2744454,2228425,2034086,1853003,1772308,24,134,158,0,60,60,NA,NA,NA,24,194,218
Tennessee,2001,4194532,3568925,5596837,2880235,2716602,2195320,1999212,1823871,1745054,NA,NA,NA,1,65,66,22,143,165,23,208,231
Tennessee,2000,4117680,3481151,5467299,2805942,2661357,2175399,1942281,1807227,1673924,NA,NA,NA,5,43,48,14,153,167,19,196,215
Tennessee,1999,4071060,3441063.6,5406712.8,2777169.6,2629543.2,2151028.8,1920031.2,1784661,1656402.6,NA,NA,NA,2,71,73,9,103,112,11,174,185
Tennessee,1998,4024440,3400976.2,5346126.6,2748397.2,2597729.4,2126658.6,1897781.4,1762095,1638881.2,NA,NA,NA,2,64,66,4,98,102,6,162,168
Tennessee,1997,3977820,3360888.8,5285540.4,2719624.8,2565915.6,2102288.4,1875531.6,1739529,1621359.8,NA,NA,NA,NA,NA,42,NA,NA,89,4,127,131
Tennessee,1996,3931200,3320801.4,5224954.2,2690852.4,2534101.8,2077918.2,1853281.8,1716963,1603838.4,NA,NA,NA,NA,NA,37,NA,NA,94,2,129,131
Tennessee,1995,3884580,3280714,5164368,2662080,2502288,2053548,1831032,1694397,1586317,NA,NA,NA,NA,NA,34,NA,NA,86,2,118,120
Tennessee,1994,3837960,3240626.6,5103781.8,2633307.6,2470474.2,2029177.8,1808782.2,1671831,1568795.6,NA,NA,NA,NA,NA,30,NA,NA,59,5,84,89
Tennessee,1993,3791340,3200539.2,5043195.6,2604535.2,2438660.4,2004807.6,1786532.4,1649265,1551274.2,NA,NA,56,NA,NA,32,NA,NA,NA,4,84,88
Tennessee,1992,3744720,3160451.8,4982609.4,2575762.8,2406846.6,1980437.4,1764282.6,1626699,1533752.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
Tennessee,1991,3698100,3120364.4,4922023.2,2546990.4,2375032.8,1956067.2,1742032.8,1604133,1516231.4,NA,NA,0,NA,NA,8,NA,NA,20,NA,NA,28
