state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Missouri,2016,4703576,3794795,6093e3,3093350,2999650,2422259,2281317,1912445,1882350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,2015,4696210,3811896,6083672,3100719,2982953,2426191,2270019,1925822,1886074,15,179,194,1,85,86,NA,NA,NA,16,264,280
Missouri,2014,4671311,3808067,6063589,3091668,2971921,2413978,2257333,1926332,1881735,14,181,195,1,84,85,NA,NA,NA,15,265,280
Missouri,2013,4645397,3799537,6044171,3081854,2962317,2400636,2244761,1921089,1878448,12,174,186,3,96,99,NA,NA,NA,15,270,285
Missouri,2012,4621004,3801285,6021988,3071065,2950923,2391311,2229693,1924900,1876385,10,178,188,5,102,107,NA,NA,NA,15,280,295
Missouri,2011,4599862,3796549,6010688,3066021,2944667,2377125,2222737,1919676,1876873,12,184,196,7,89,96,NA,NA,NA,19,273,292
Missouri,2010,4579206,3785676,5996231,3064200,2932031,2374284,2204922,1917418,1868258,NA,NA,NA,0,102,102,NA,NA,NA,14,259,273
Missouri,2009,4556338,3788356,5987580,3060821,2926759,2361893,2194445,1916797,1871559,NA,NA,NA,2,81,83,NA,NA,NA,4,309,313
Missouri,2008,4499981,3750818,5911605,3026019,2885586,2340169,2159812,1901972,1848846,NA,NA,NA,3,84,87,NA,NA,NA,15,289,304
Missouri,2007,4461852,3727675,5878415,3011497,2866918,2318313,2143539,1890155,1837520,NA,NA,NA,5,64,69,NA,NA,NA,20,272,292
Missouri,2006,4412152,3673915,5842713,2991397,2851316,2294403,2117749,1863976,1809939,NA,NA,NA,99,202,301,NA,NA,NA,99,202,301
Missouri,2005,4251865,3578420,5632603,2878899,2753704,2210022,2041843,1829602,1748818,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,287,301
Missouri,2004,4214477,3542551,5587906,2874522,2713384,2196153,2018324,1810643,1731908,NA,NA,290,NA,NA,4,NA,NA,NA,NA,NA,294
Missouri,2003,4136522,3470964,5537884,2842486,2695398,2160569,1975953,1773591,1697373,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,258,268
Missouri,2002,4123339,3457423,5506873,2847611,2659262,2161271,1962068,1773631,1683792,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,250,262
Missouri,2001,4053988,3396237,5471085,2816975,2654110,2127290,1926698,1741398,1654839,13,191,204,0,58,58,0,0,0,13,249,262
Missouri,2000,3976371,3311194,5449651,2789214,2660437,2085817,1890554,1700617,1610577,14,195,209,1,45,46,3,9,12,18,249,267
Missouri,1999,3958270.1,3292867.6,5414878,2774403.3,2640474.7,2078003.4,1880266.7,1690470.1,1602397.5,18,168,186,3,49,52,0,52,52,21,269,290
Missouri,1998,3940169.2,3274541.2,5380105,2759592.6,2620512.4,2070189.8,1869979.4,1680323.2,1594218,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,219,235
Missouri,1997,3922068.3,3256214.8,5345332,2744781.9,2600550.1,2062376.2,1859692.1,1670176.3,1586038.5,NA,NA,NA,NA,NA,37,NA,NA,190,15,212,227
Missouri,1996,3903967.4,3237888.4,5310559,2729971.2,2580587.8,2054562.6,1849404.8,1660029.4,1577859,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,178,190
Missouri,1995,3885866.5,3219562,5275786,2715160.5,2560625.5,2046749,1839117.5,1649882.5,1569679.5,NA,NA,NA,NA,NA,15,NA,NA,158,9,164,173
Missouri,1994,3867765.6,3201235.6,5241013,2700349.8,2540663.2,2038935.4,1828830.2,1639735.6,1561500,NA,NA,NA,NA,NA,9,NA,NA,137,7,139,146
Missouri,1993,3849664.7,3182909.2,5206240,2685539.1,2520700.9,2031121.8,1818542.9,1629588.7,1553320.5,NA,NA,NA,NA,NA,53,NA,NA,83,9,127,136
Missouri,1992,3831563.8,3164582.8,5171467,2670728.4,2500738.6,2023308.2,1808255.6,1619441.8,1545141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Missouri,1991,3813462.9,3146256.4,5136694,2655917.7,2480776.3,2015494.6,1797968.3,1609294.9,1536961.5,NA,NA,125,NA,NA,2,NA,NA,0,NA,NA,127
