state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
South Carolina,2016,3861305,3093306,4961119,2554934,2406185,2017533,1843772,1587865,1505441,12434,5736,6698,9896,4970,4926,8389,4180,4209,78307,44580,33727,61566,36153,25413,53890,30713,23177,1332396,710241,622155,1005902,548110,457792,852881,457408,395473,273209,128714,144495,173918,80516,93402,163371,74810,88561,103516,51173,52343,49245,26456,22789,45006,23361,21645,3161257,1614490,1546767,2560778,1321328,1239450,1969769,997393,972376,5,23,28,0,22,22,481,12121,12602,25,436,461,11,126,137,952,6655,7607
South Carolina,2015,3807727,3072261,4896146,2511586,2384560,1983746,1823981,1575150,1497111,13782,7594,6188,11314,6997,4317,10093,6011,4082,73643,39758,33885,56315,30366,25949,49475,25892,23583,1331148,706411,624737,993864,540721,453143,846291,453656,392635,261580,119282,142298,170652,76813,93839,162739,73599,89140,95565,48732,46833,51254,26751,24503,46823,24425,22398,3120428,1589809,1530619,2524328,1302098,1222230,1956840,991567,965273,5,31,36,0,20,20,472,12536,13008,20,418,438,13,128,141,845,6439,7284
South Carolina,2014,3751743,3052725,4832482,2479946,2352536,1952338,1799405,1560300,1492425,13027,6298,6729,9630,4855,4775,8203,3891,4312,68718,37152,31566,55989,30239,25750,49443,26767,22676,1319541,701458,618083,989203,538973,450230,851960,455815,396145,257759,118848,138911,167039,73939,93100,159669,69749,89920,92411,43697,48714,43043,21723,21320,39848,20449,19399,3081026,1572493,1508533,2486839,1282609,1204230,1943602,983629,959973,7,31,38,0,21,21,508,12979,13487,16,422,438,13,143,156,825,6436,7261
South Carolina,2013,3696456,3032381,4774839,2455831,2319008,1925267,1771189,1550074,1482307,13661,6624,7037,10668,5337,5331,9015,4237,4778,65571,39577,25994,51749,31054,20695,46609,27651,18958,1307262,695066,612196,972665,529447,443218,843311,450588,392723,252726,117421,135305,164040,71567,92473,157693,67962,89731,86405,40891,45514,41921,20039,21882,39849,18993,20856,3049214,1556252,1492962,2455413,1267823,1187590,1935904,980643,955261,4,32,36,0,20,20,544,13475,14019,17,407,424,12,149,161,814,6586,7400
South Carolina,2012,3642927,3012049,4723723,2427435,2296288,1898700,1744227,1542277,1469772,13917,7282,6635,10458,5250,5208,9300,4772,4528,60933,32563,28370,47704,26131,21573,43273,23114,20159,1295284,689578,605706,958467,523110,435357,833648,446773,386875,247336,112740,134596,161592,70727,90865,154544,66760,87784,90938,45926,45012,43105,22412,20693,40072,20566,19506,3015315,1539346,1475969,2421601,1251070,1170531,1931212,980292,950920,4,31,35,0,23,23,568,13830,14398,20,433,453,13,129,142,732,6605,7337
South Carolina,2011,3598500,2986941,4679230,2406763,2272467,1874186,1724314,1526413,1460528,12531,5773,6758,10531,4496,6035,9323,3947,5376,63886,35504,28382,50163,27679,22484,45749,24983,20766,1300661,689382,611279,955627,519237,436390,836226,446225,390001,240884,110973,129911,155890,66624,89266,149643,62366,87277,71065,38960,32105,31122,18806,12316,28133,17363,10770,2990203,1526171,1464032,2395167,1237344,1157823,1917867,971529,946338,3,33,36,0,21,21,589,14241,14830,19,440,459,13,117,130,762,6676,7438
South Carolina,2010,3555183,2969516,4636312,2385140,2251172,1850283,1704900,1514446,1455070,10749,4954,5795,9413,4108,5305,8692,3681,5011,53635,29621,24014,43822,24268,19554,38439,20689,17750,1296427,692654,603773,944231,515464,428767,830469,445042,385427,231807,104245,127562,151176,62975,88201,145107,59143,85964,75500,37073,38427,35403,17788,17615,32167,15927,16240,2968194,1516593,1451601,2371138,1225680,1145458,1914642,969964,944678,4,39,43,1,24,25,638,14658,15296,15,444,459,6,105,111,809,6835,7644
South Carolina,2009,3482873,2908780,4561242,2344655,2216587,1817926,1664947,1482810,1425970,9868,5523,4345,7492,4058,3434,6712,3776,2936,59985,33262,26723,46062,25670,20392,42298,23378,18920,1272318,672765,599553,929516,505862,423654,814805,433134,381671,203939,94725,109214,125249,55443,69806,120663,52740,67923,60898,31571,29327,31640,15661,15979,29316,14361,14955,2954234,1506809,1447425,2342914,1211232,1131682,1894986,955421,939565,6,38,44,1,22,23,735,15151,15886,13,361,374,9,108,117,869,7012,7881
South Carolina,2008,3416097,2867503,4479800,2300546,2179254,1788356,1627741,1470506,1396997,9796,4710,5086,8404,3956,4448,7668,3621,4047,48931,26431,22500,37109,20359,16750,33991,18812,15179,1261485,668445,593040,920864,504061,416803,809012,434815,374197,177999,78444,99555,110387,46751,63636,104040,42895,61145,73131,34745,38386,33853,17186,16667,31872,16452,15420,2908458,1487771,1420687,2305480,1196043,1109437,1880920,953911,927009,6,38,44,1,23,24,735,15151,15886,13,361,374,9,108,117,869,7012,7881
South Carolina,2007,3346810,2815502,4407709,2267145,2140564,1745348,1601462,1434213,1381289,13221,7802,5419,10691,6360,4331,9575,5570,4005,52920,28452,24468,42664,22752,19912,39343,21420,17923,1251190,665639,585551,896150,488028,408122,788082,419350,368732,168322,73960,94362,109592,46316,63276,105154,44205,60949,53426,27597,25829,26926,13355,13571,24628,11755,12873,2868630,1463695,1404935,2260787,1168537,1092250,1848720,931913,916807,5,48,53,0,19,19,730,15078,15808,12,339,351,9,103,112,848,7048,7896
