state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Colorado,1983,NA,NA,NA,NA,NA,3049,NA,NA,NA
Colorado,1984,NA,NA,NA,NA,NA,3182,NA,NA,NA
Colorado,1985,NA,NA,NA,NA,NA,3381,NA,NA,3381
Colorado,1986,NA,NA,NA,NA,NA,3760,NA,NA,3760
Colorado,1987,NA,NA,3560,NA,NA,NA,NA,NA,4597
Colorado,1988,NA,NA,3538,NA,NA,5058,NA,NA,4985
Colorado,1989,NA,NA,3538,NA,NA,5590,NA,NA,4299
Colorado,1990,NA,NA,4605,NA,NA,6120,NA,NA,NA
Colorado,1991,NA,NA,6239,NA,NA,7416,NA,NA,NA
Colorado,1992,NA,NA,6136,NA,NA,7496,NA,NA,NA
Colorado,1993,NA,NA,6612,NA,NA,7880,NA,NA,NA
Colorado,1994,NA,NA,6848,NA,NA,8051,NA,NA,NA
Colorado,1995,NA,NA,7050,NA,NA,8543,NA,NA,NA
Colorado,1996,NA,NA,7104,NA,NA,8605,NA,NA,NA
Colorado,1997,NA,NA,7643,NA,NA,9046,NA,NA,NA
Colorado,1998,NA,NA,8037,NA,NA,9842,NA,NA,NA
Colorado,1999,792,8632,NA,883,10347,NA,NA,NA,NA
Colorado,2e3,1008,10599,NA,1099,11727,NA,NA,NA,NA
Colorado,2001,1028,10720,NA,1098,11824,NA,NA,NA,NA
Colorado,2002,1099,11494,NA,1187,12738,NA,NA,NA,NA
Colorado,2003,1098,11513,NA,1284,12785,NA,NA,NA,NA
Colorado,2004,1291,11545,NA,1380,12773,NA,NA,NA,NA
Colorado,2005,1291,11545,NA,1380,12773,NA,NA,NA,NA
Colorado,2006,1512,11515,NA,1571,12789,NA,NA,NA,NA
Colorado,2007,1512,11515,NA,1609,13328,NA,NA,NA,NA
Colorado,2008,1512,11543,NA,1609,13337,NA,NA,NA,NA
Colorado,2009,1512,11543,NA,1719,13337,NA,NA,NA,NA
Colorado,2010,1419,11646,NA,1495,13537,NA,NA,NA,NA
Colorado,2011,1419,12365,NA,1471,13364,NA,NA,NA,NA
Colorado,2012,1419,11759,NA,1471,12750,NA,NA,NA,NA
Colorado,2013,1540,12988,NA,1464,12625,NA,NA,NA,NA
Colorado,2014,1476,13026,NA,1476,13026,NA,NA,NA,NA
Colorado,2015,1556,13028,NA,1556,13028,NA,NA,NA,NA
Colorado,2016,1439,11716,NA,1556,13026,NA,NA,NA,NA
