state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
New Hampshire,2016,1073855,863795,1334689,667355,667334,542774,531081,428302,435493,1461,499,962,1384,499,885,1232,396,836,34379,18737,15642,26190,13777,12413,24595,12871,11724,15938,6205,9733,12146,4419,7727,10434,3535,6899,47466,18864,28602,31930,13381,18549,30064,12544,17520,25875,10447,15428,15376,6874,8502,13150,5602,7548,1209570,612603,596967,986829,503824,483005,784320,393354,390966,1,2,3,2,16,18,19,104,123,14,67,81,5,18,23,186,2384,2570
New Hampshire,2015,1067668,865391,1330608,670815,659793,543377,524291,432710,432681,1727,641,1086,1566,560,1006,1399,528,871,33573,17290,16283,25784,13062,12722,24312,12572,11740,16936,6840,10096,13909,5166,8743,12361,4152,8209,44321,21115,23206,29036,14747,14289,27470,14303,13167,23976,10776,13200,13710,6160,7550,11800,5498,6302,1210075,614153,595922,983663,503682,479981,788049,395657,392392,1,4,5,1,18,19,17,106,123,14,77,91,8,13,21,183,2399,2582
New Hampshire,2014,1058741,865272,1326813,672152,654661,540716,518025,433558,431714,1386,770,616,1386,770,616,1318,702,616,33901,17615,16286,25090,14778,10312,23476,13706,9770,15617,5190,10427,12135,3151,8984,11406,2847,8559,41464,21253,20211,26819,13470,13349,25325,12089,13236,24668,12666,12002,13410,6713,6697,12725,6382,6343,1209777,614658,595119,979901,501834,478067,791022,397832,393190,1,8,9,0,11,11,5,166,171,9,158,167,6,20,26,219,2227,2446
New Hampshire,2013,1051212,866176,1323459,672259,651200,537386,513826,434291,431885,2455,991,1464,2155,691,1464,2155,691,1464,31851,16857,14994,24861,13129,11732,23135,11862,11273,11073,6463,4610,7297,4453,2844,6172,3406,2766,41085,19949,21136,27246,13234,14012,25596,12713,12883,26004,13537,12467,13499,6684,6815,12423,6012,6411,1210991,614462,596529,976154,499195,476959,796695,399607,397088,1,6,7,0,12,12,5,113,118,8,152,160,4,16,20,186,2164,2350
New Hampshire,2012,1047619,868878,1320718,673809,646909,538595,509024,438163,430715,3216,1983,1233,3079,1983,1096,2421,1512,909,29479,18192,11287,23631,14189,9442,20622,12177,8445,14800,7206,7594,11309,5164,6145,11116,5164,5952,40132,20799,19333,25471,13752,11719,23554,12395,11159,21662,11620,10042,11793,5709,6084,11135,5274,5861,1211429,614009,597420,972336,497798,474538,800030,401641,398389,1,4,5,0,7,7,5,156,161,6,142,148,5,19,24,187,2104,2291
New Hampshire,2011,1037685,864569,1318194,666509,651685,531791,505894,435562,429007,1680,851,829,1251,670,581,1116,535,581,30644,15679,14965,22652,12317,10335,21283,11722,9561,12417,5448,6969,8387,3125,5262,7760,2809,4951,37220,17437,19783,24436,12715,11721,22836,11959,10877,23112,12098,11014,11978,6235,5743,10887,5958,4929,1213121,614996,598125,968981,496729,472252,800687,402579,398108,0,8,8,1,6,7,6,139,145,5,128,133,2,12,14,155,2107,2262
New Hampshire,2010,1031503,863430,1316759,668441,648318,528859,502644,435229,428201,2770,1360,1410,2550,1221,1329,2227,964,1263,27790,14230,13560,19990,10657,9333,18903,9949,8954,14395,7427,6968,10277,4582,5695,9736,4350,5386,35869,19683,16186,21968,11841,10127,20296,11247,9049,21945,11043,10902,13718,6961,6757,12658,6359,6299,1213990,614698,599292,963e3,493597,469403,799610,402360,397250,0,8,8,2,10,12,9,162,171,4,145,149,1,10,11,181,2149,2330
New Hampshire,2009,1036920,870613,1324575,669097,655478,530434,506486,436803,433810,2404,772,1632,1951,648,1303,1271,627,644,24325,10791,13534,18317,8869,9448,16529,8374,8155,15490,7505,7985,10733,4909,5824,10237,4561,5676,36781,16061,20720,23811,10613,13198,22927,1e4,12927,18458,8926,9532,9355,4871,4484,9027,4758,4269,1227117,625042,602075,972753,500524,472229,810622,408483,402139,NA,NA,NA,NA,NA,NA,11,159,170,2,149,151,NA,NA,NA,147,2130,2277
New Hampshire,2008,1021355,866399,1315809,668393,647416,524318,497037,436322,430077,2354,368,1986,1560,368,1192,1438,282,1156,27078,14528,12550,18287,8998,9289,16741,7697,9044,9449,3961,5488,6660,2654,4006,6599,2612,3987,39123,19841,19282,24184,12320,11864,22813,11013,11800,16192,7373,8819,9412,4873,4539,8905,4519,4386,1221613,622322,599291,961252,495105,466147,809903,410199,399704,1,11,12,NA,NA,NA,8,162,170,NA,NA,NA,NA,NA,NA,218,2263,2481
New Hampshire,2007,1016938,865870,1315828,668721,647107,522968,493970,435460,430410,2469,1483,986,2334,1483,851,2175,1483,692,27908,14033,13875,20340,10662,9678,19350,9672,9678,9769,4187,5582,6698,2691,4007,6221,2423,3798,32707,15975,16732,22160,10481,11679,20286,9537,10749,17533,9392,8141,7377,4011,3366,6664,3512,3152,1225442,623651,601791,958029,493640,464389,811174,408833,402341,1,11,12,NA,NA,NA,11,166,177,NA,NA,NA,0,0,0,177,2323,2500
New Hampshire,2006,1019526,865752,1314895,667193,647702,525647,493879,438357,427395,3142,2552,590,2648,2232,416,2648,2232,416,28322,15506,12816,20546,11e3,9546,18941,10152,8789,13047,7354,5693,9488,5720,3768,9222,5720,3502,29442,13515,15927,20392,9509,10883,19447,9151,10296,12545,6100,6445,6550,3656,2894,6153,3491,2662,1228397,622166,606231,959902,493530,466372,809341,407611,401730,1,15,16,0,0,0,10,155,165,NA,NA,NA,0,0,0,148,2259,2407
New Hampshire,2005,975010,830429,1271897,646788,625109,501752,473258,418853,411576,3422,1623,1799,2739,1195,1544,2352,1003,1349,27206,14025,13181,20889,11045,9844,20862,11045,9817,10510,5070,5440,7101,3364,3737,7013,3364,3649,24248,11519,12729,15649,7871,7778,14614,7142,7472,13498,6509,6989,6803,3064,3739,6555,2986,3569,1193013,608042,584971,921829,475213,446616,779033,393313,385720,0,12,12,0,16,16,6,132,138,0,0,0,0,0,0,122,2e3,2122
New Hampshire,2004,956817,819978,1261970,636703,625267,490640,466177,413682,406296,4082,1314,2768,3327,1152,2175,3327,1152,2175,21973,10571,11402,15989,8090,7899,15383,7743,7640,9940,4027,5913,6749,3391,3358,6227,3132,3095,26108,12198,13910,16694,8592,8102,15957,7995,7962,11837,6908,4929,5930,3855,2075,5300,3444,1856,1188030,601685,586345,908128,465560,442568,773784,390216,383568,0,3,3,0,13,13,9,123,132,0,0,0,NA,NA,NA,105,2084,2189
New Hampshire,2003,947715,814784,1251572,633038,618534,485644,462071,410290,404494,2570,1569,1001,1679,862,817,1387,660,727,21170,9831,11339,16013,8213,7800,15715,8034,7681,11037,3820,7217,8140,2974,5166,7984,2938,5046,22649,11422,11227,13902,7630,6272,13658,7461,6197,11058,5058,6e3,6644,3343,3301,5550,2876,2674,1183088,601338,581750,901337,462622,438715,770490,388321,382169,1,4,5,NA,NA,NA,6,120,126,0,0,0,NA,NA,NA,107,2107,2214
New Hampshire,2002,931969,799455,1238917,627812,611105,477325,454644,401913,397542,2815,1434,1381,1536,642,894,1536,642,894,16270,7433,8837,12324,6194,6130,11539,5937,5602,10105,4545,5560,7285,3649,3636,6908,3574,3334,20756,10583,10173,13307,6678,6629,12920,6404,6516,14300,6808,7492,7776,3301,4475,7278,3063,4215,1174671,597009,577662,889741,456861,432880,759274,382293,376981,2,7,9,1,13,14,5,130,135,0,0,0,0,0,0,133,2121,2254
New Hampshire,2001,930896,801013,1223636,619382,604254,477415,453481,403855,397158,906,501,405,906,501,405,906,501,405,17104,8229,8875,12326,6223,6103,11757,6133,5624,8242,3103,5139,6455,2445,4010,6327,2317,4010,19597,10043,9554,12954,6672,6282,12060,5964,6096,14990,6516,8474,8444,4091,4353,7981,3825,4156,1162797,590990,571807,889811,457483,432328,761982,385115,376867,0,7,7,0,12,12,5,118,123,0,0,0,0,0,0,121,2093,2214
New Hampshire,2000,899575,767921,1200522,622370,578152,473413,426162,393955,373966,2670,1566,1104,2295,1566,729,2295,1566,729,14112,10512,3600,12136,8935,3201,10723,8231,2492,5608,2635,2973,3407,1778,1629,3057,1778,1279,13240,3997,9243,11125,3712,7413,11125,3712,7413,16595,7576,9019,10159,4804,5355,10159,4804,5355,1148297,596084,552213,860453,452618,407835,730562,373864,356698,0,5,5,0,14,14,4,98,102,2,99,101,0,0,0,112,1911,2023
