state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Maryland,2016,4670079,3856774,6016447,3106577,2909870,2445415,2224664,1980791,1875983,9735,4737,4998,8941,4291,4650,7604,3573,4031,374981,196394,178587,301017,161246,139771,259656,138378,121278,1768249,941025,827224,1353237,736791,616446,1161724,621019,540705,586557,287470,299087,391170,188786,202384,363571,172082,191489,185210,99467,85743,98600,57812,40788,91580,52760,38820,3091715,1577484,1514231,2517114,1296489,1220625,1972639,992979,979660,4,101,105,1,55,56,371,13375,13746,9,626,635,13,208,221,422,4780,5202
Maryland,2015,4660389,3881325,6006401,3102384,2904017,2439831,2220558,1992583,1888742,9494,4339,5155,7542,3542,4e3,6284,2664,3620,380291,200156,180135,301960,162276,139684,262601,140064,122537,1736619,933297,803322,1329835,729174,600661,1152524,620099,532425,572526,278603,293923,385703,185844,199859,365127,173762,191365,192047,97256,94791,103910,54386,49524,95361,49709,45652,3115424,1588733,1526691,2531439,1304609,1226830,1999428,1006285,993143,6,82,88,1,60,61,399,13757,14156,13,624,637,16,232,248,468,4907,5375
Maryland,2014,4629135,3876577,5976407,3075744,2900663,2421400,2207735,1990639,1885938,10015,5589,4426,8149,4873,3276,6813,3860,2953,365748,191334,174414,289148,154840,134308,253133,135161,117972,1749324,932515,816809,1325983,726323,599660,1161831,626770,535061,555821,265009,290812,377452,178926,198526,356868,166409,190459,162600,81737,80863,87871,46881,40990,78241,41401,36840,3132899,1599560,1533339,2540532,1309557,1230975,2019691,1017038,1002653,4,50,54,3,50,53,460,14463,14923,0,0,0,0,0,0,442,5419,5861
Maryland,2013,4584537,3855107,5928814,3048733,2880081,2394678,2189859,1978053,1877054,14528,8493,6035,11298,6479,4819,9641,5668,3973,349879,181237,168642,275246,146318,128928,241339,128778,112561,1723747,920803,802944,1300109,710835,589274,1137957,613832,524125,531370,250373,280997,360783,169096,191687,343419,158929,184490,159406,81128,78278,87085,46341,40744,79176,41022,38154,3149884,1606699,1543185,2550016,1315609,1234407,2043575,1029824,1013751,4,51,55,3,51,54,467,14685,15152,0,0,0,0,0,0,449,5503,5952
Maryland,2012,4542240,3844639,5884563,3037249,2847314,2378279,2163961,1978114,1866525,13448,7590,5858,10693,6112,4581,9262,5317,3945,338548,179463,159085,268496,144193,124303,237719,126834,110885,1695516,904442,791074,1275167,697455,577712,1125586,607416,518170,510448,245884,264564,349029,166288,182741,331728,156054,175674,161252,82863,78389,83557,45137,38420,78732,42651,36081,3165351,1617007,1548344,2555298,1319094,1236204,2061612,1039842,1021770,3,27,30,2,39,41,476,15076,15552,0,0,0,0,0,0,392,5415,5807
Maryland,2011,4482257,3802189,5828289,3010367,2817922,2347748,2134509,1953271,1848918,11813,7382,4431,9777,5949,3828,8248,5069,3179,331052,173157,157895,258400,136692,121708,228874,120524,108350,1693362,906746,786616,1269315,697705,571610,1121205,607756,513449,488943,237836,251107,333408,160072,173336,316302,148776,167526,142347,68947,73400,69008,32650,36358,64061,29118,34943,3160772,1616299,1544473,2542349,1314680,1227669,2063499,1042028,1021471,2,5,7,2,31,33,562,15863,16425,0,0,0,0,0,0,411,5612,6023
Maryland,2010,4435314,3774006,5785982,2983757,2802225,2325662,2109652,1942540,1831466,10392,4926,5466,8673,3950,4723,7846,3395,4451,320849,167638,153211,248928,133603,115325,220825,118117,102708,1685092,899317,785775,1250502,688076,562426,1110252,601834,508418,474088,225763,248325,325353,153954,171399,309922,144913,165009,136257,71845,64412,70037,36693,33344,64775,33917,30858,3159304,1614268,1545036,2531821,1309386,1222435,2060386,1040364,1020022,3,4,7,3,29,32,542,16082,16624,0,0,0,0,0,0,403,5498,5901
Maryland,2009,4349876,3702336,5699478,2934017,2765461,2275402,2074474,1896581,1805755,8610,4761,3849,6568,3719,2849,5499,2937,2562,291744,151425,140319,228218,119309,108909,202448,105301,97147,1636106,869977,766129,1217497,665051,552446,1080015,582267,497748,412295,193981,218314,271341,126146,145195,256413,116176,140237,121401,62645,58756,63350,34683,28667,59654,32209,27445,3229322,1651228,1578094,2562902,1326494,1236408,2098307,1057691,1040616,2,5,7,NA,NA,NA,639,15948,16587,NA,NA,NA,NA,NA,NA,401,5112,5513
Maryland,2008,4298747,3667568,5633597,2905557,2728040,2254179,2044568,1886477,1781091,12386,6160,6226,10377,4703,5674,9872,4373,5499,281921,144416,137505,222227,115752,106475,197920,102232,95688,1612782,855162,757620,1199144,656137,543007,1066026,574992,491034,372650,176993,195657,248620,116727,131893,233371,107119,126252,120701,64271,56430,62538,33981,28557,58775,30888,27887,3233157,1658555,1574602,2555841,1326879,1228962,2101604,1066873,1034731,1,8,9,NA,NA,NA,658,16666,17324,NA,NA,NA,NA,NA,NA,383,5092,5475
Maryland,2007,4254353,3641201,5618344,2902765,2715579,2230992,2023361,1869289,1771912,11026,5559,5467,9036,4595,4441,7785,3803,3982,278946,145721,133225,217329,114553,102776,194954,102748,92206,1614397,867429,746968,1179643,651079,528564,1054718,575728,478990,346990,164867,182123,235853,110134,125719,222585,101500,121085,110767,57182,53585,58069,31036,27033,54514,28590,25924,3256218,1662007,1594211,2554423,1319595,1234828,2106645,1056920,1049725,2,8,10,NA,NA,NA,728,16446,17174,NA,NA,NA,NA,NA,NA,388,4977,5365
