state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Nevada,1978,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,2,2,NA,NA,NA,0,1,1,NA,NA,NA
Nevada,1979,0,0,0,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,0,1,1,NA,NA,NA
Nevada,1980,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA
Nevada,1981,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,2,2,NA,NA,NA,0,1,1,NA,NA,NA
Nevada,1982,0,2,2,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,3,4,NA,NA,NA,0,0,0,NA,NA,NA
Nevada,1983,0,0,0,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,4,4,NA,NA,NA,0,4,4,NA,NA,NA
Nevada,1984,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,4,4,NA,NA,NA,0,1,1,NA,NA,NA
Nevada,1985,0,2,2,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,0,2,2,NA,NA,NA
Nevada,1986,0,3,3,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,9,9,NA,NA,NA,0,2,2,NA,NA,NA
Nevada,1987,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,6,6,NA,NA,NA,0,3,3,NA,NA,NA
Nevada,1988,0,2,2,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,5,5,NA,NA,NA,0,5,5,NA,NA,NA
Nevada,1989,0,1,1,0,1,1,NA,NA,NA,0,2,2,NA,NA,NA,0,13,13,NA,NA,NA,0,0,0,NA,NA,NA
Nevada,1990,0,1,1,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,0,10,10,NA,NA,NA,0,2,2,NA,NA,NA
Nevada,1991,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,6,6,NA,NA,NA,0,2,2,NA,NA,NA
Nevada,1992,0,0,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,0,10,10,NA,NA,NA,1,2,3,NA,NA,NA
Nevada,1993,0,0,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,0,7,7,NA,NA,NA,0,1,1,NA,NA,NA
Nevada,1994,0,0,0,0,0,0,1,4,5,0,0,0,NA,NA,NA,1,11,12,NA,NA,NA,0,0,0,NA,NA,NA
Nevada,1995,1,1,2,0,0,0,0,6,6,0,0,0,NA,NA,NA,2,13,15,NA,NA,NA,1,1,2,NA,NA,NA
Nevada,1996,0,1,1,0,2,2,0,8,8,0,1,1,NA,NA,NA,1,18,19,NA,NA,NA,1,3,4,NA,NA,NA
Nevada,1997,0,0,0,0,0,0,1,2,3,0,0,0,NA,NA,NA,1,17,18,NA,NA,NA,0,4,4,NA,NA,NA
Nevada,1998,0,3,3,0,1,1,0,1,1,0,1,1,NA,NA,NA,1,18,19,NA,NA,NA,0,2,2,NA,NA,NA
Nevada,1999,NA,NA,NA,0,1,1,1,9,10,0,1,1,0,0,0,1,23,24,0,0,0,0,2,2,2,36,38
Nevada,2e3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1,2,3,0,2,2,1,24,25
Nevada,2001,NA,NA,NA,0,0,0,0,1,1,0,1,1,0,1,1,0,23,23,0,0,0,0,2,2,0,28,28
Nevada,2002,NA,NA,NA,0,0,0,0,2,2,0,0,0,0,1,1,1,20,21,0,0,0,0,0,0,1,24,25
Nevada,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2004,NA,NA,NA,0,0,0,0,2,2,0,2,2,0,2,2,2,23,25,0,0,0,0,1,1,2,31,33
Nevada,2005,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,29,31,NA,0,NA,0,2,2,2,31,33
Nevada,2006,NA,NA,NA,0,0,0,1,0,1,0,1,1,0,2,2,1,26,27,0,0,0,0,5,5,2,34,36
Nevada,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
