state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Wisconsin,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1991,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1992,0,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,0,11,11,NA,NA,NA,0,3,3,NA,NA,NA
Wisconsin,1993,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,16,16,NA,NA,NA,0,3,3,NA,NA,NA
Wisconsin,1994,0,3,3,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,10,10,NA,NA,NA,0,4,4,NA,NA,NA
Wisconsin,1995,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,0,10,10,NA,NA,NA,0,0,0,NA,NA,NA
Wisconsin,1996,0,0,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA,1,8,9,NA,NA,NA,0,1,1,NA,NA,NA
Wisconsin,1997,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,15,15,NA,NA,NA,0,2,2,NA,NA,NA
Wisconsin,1998,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,24,24,NA,NA,NA,0,5,5,NA,NA,NA
Wisconsin,1999,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,0,0,0,1,13,14,0,0,0,0,5,5,2,19,21
Wisconsin,2e3,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,2,25,27,0,0,0,0,3,3,2,31,33
Wisconsin,2001,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,0,0,0,0,33,33,0,0,0,0,6,6,0,48,48
Wisconsin,2002,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,3,35,38,0,0,0,0,6,6,3,44,47
Wisconsin,2003,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,38,38,0,0,0,0,3,3,0,41,41
Wisconsin,2004,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,2,30,32,0,0,0,1,7,8,3,37,40
Wisconsin,2005,NA,NA,NA,0,0,0,0,2,2,NA,NA,NA,0,0,0,0,21,21,0,0,0,1,5,6,2,29,31
Wisconsin,2006,NA,NA,NA,0,0,0,0,3,3,NA,NA,NA,0,0,0,0,31,31,0,0,0,0,7,7,0,45,45
Wisconsin,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
