state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Federal Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,0,0,0,0,0,0,4,271,275,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,4846,47340,52186,9,142,151,0,0,0,4766,46009,50775
Federal Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,0,0,0,0,0,0,6,314,320,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,5657,54617,60274,5,113,118,0,0,0,5576,53355,58931
Federal Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,0,0,0,0,0,0,6,394,400,0,0,0,0,0,0,0,0,0,0,0,0,1,30,31,5060,49653,54713,8,176,184,0,0,0,4976,48269,53245
Federal Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,0,0,0,0,0,0,4,405,409,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,5005,50063,55068,12,271,283,0,0,0,4963,48830,53793
Federal Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,0,0,0,0,0,0,10,529,539,0,0,0,0,0,0,0,0,0,0,0,0,1,51,52,4894,51377,56271,17,217,234,0,0,0,4849,50230,55079
Federal Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,0,0,0,0,1,1,11,589,600,0,0,0,0,0,0,0,0,0,0,0,0,1,47,48,4992,50445,55437,17,181,198,0,0,0,4934,49229,54163
Federal Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,0,0,0,0,1,1,26,878,904,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,4867,47884,52751,30,234,264,0,0,0,4791,46319,51110
Federal Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,NA,NA,NA,0,2,2,41,977,1018,NA,NA,NA,9,366,375,NA,NA,NA,NA,NA,NA,1,83,84,4676,46215,50891,18,153,171,NA,NA,NA,4604,44604,49208
Federal Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,NA,NA,NA,19,6,25,33,1074,1107,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,93,93,4962,47597,52559,31,180,211,NA,NA,NA,4859,45849,50708
Federal Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,NA,NA,NA,1,18,19,51,1339,1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,42,44,3,133,136,4707,44283,48990,15,211,226,NA,NA,NA,4617,42187,46804
