state,year,population,population_adult,population_adult_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Idaho,2016,1683140,1246229,1010005,0,0,0,553,1322,1875,470,2578,3048,1,0,1,0,0,0,0,8,8,0,0,0,0,0,0,1080,4400,5480,0,0,0,0,0,0,56,441,497
Idaho,2015,1654930,1223903,997142,0,0,0,563,1582,2145,435,2238,2673,1,4,5,0,0,0,3,13,16,0,0,0,0,0,0,1068,4252,5320,0,0,0,0,0,0,64,396,460
Idaho,2014,1634464,1203127,988767,0,0,0,466,1443,1909,312,1741,2053,1,5,6,0,0,0,0,0,0,1,1,2,0,0,0,847,3693,4540,4,29,33,0,0,0,61,452,513
Idaho,2013,1612136,1185459,979046,0,0,0,414,1415,1829,178,982,1160,0,1,1,35,206,241,2,7,9,0,0,0,1,11,12,687,3075,3762,0,0,0,0,0,0,56,444,500
Idaho,2012,1595728,1171205,980348,0,2,2,407,1513,1920,132,1099,1231,0,5,5,52,441,493,0,462,462,0,0,0,0,0,0,645,3979,4624,0,0,0,0,0,0,52,444,496
Idaho,2011,1584985,1156880,967687,0,32,32,427,1414,1841,132,1157,1289,0,0,0,66,384,450,0,0,0,0,0,0,0,0,0,687,3424,4111,0,0,0,0,0,0,60,428,488
Idaho,2010,1571450,1142553,959325,0,6,6,345,1418,1763,192,1326,1518,1,6,7,39,333,372,0,0,0,0,0,0,0,0,0,635,3642,4277,0,0,0,0,0,0,57,539,596
Idaho,2009,1545801,1127e3,954946,0,4,4,302,1104,1406,195,1250,1445,2,11,13,33,302,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,3177,3760,NA,NA,NA,NA,NA,NA,50,493,543
Idaho,2008,1523816,1110275,944999,1,4,5,333,1247,1580,224,1251,1475,0,12,12,27,288,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,3273,3908,NA,NA,NA,NA,NA,NA,49,451,500
Idaho,2007,1499402,1086868,923832,3,7,10,366,1256,1622,173,1232,1405,0,8,8,25,257,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,3249,3868,NA,NA,NA,NA,NA,NA,52,470,522
