state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Idaho,2016,1246229,1010005,1683140,844378,838762,630499,615730,504933,505072,0,0,0,1,0,1,856,2912,3768,11,0,11,0,0,0,3,4,7,38,254,292,238,1450,1688,0,0,0,1147,4620,5767,0,0,0
Idaho,2015,1223903,997142,1654930,828210,826720,616624,607279,496399,500743,0,0,0,1,4,5,284,1315,1599,1,9,10,115,571,686,366,862,1228,16,139,155,43,371,414,0,0,0,826,3271,4097,0,0,0
Idaho,2014,1203127,988767,1634464,817767,816697,605966,597161,491214,497553,0,0,0,1,5,6,264,1306,1570,2,13,15,441,1449,1890,9,35,44,14,99,113,124,841,965,0,0,0,856,3755,4611,1,7,8
Idaho,2013,1185459,979046,1612136,805049,807087,597699,587760,486677,492369,0,0,0,0,0,0,682,2857,3539,0,0,0,0,0,0,0,0,0,19,161,180,0,0,0,0,0,0,701,3021,3722,0,3,3
Idaho,2012,1171205,980348,1595728,799183,796545,590860,580345,488333,492015,0,0,0,1,6,7,783,3523,4306,0,0,0,0,0,0,0,0,0,38,224,262,0,0,0,0,0,0,822,3753,4575,0,0,0
Idaho,2011,1156880,967687,1584985,788285,796700,581729,575151,478587,489100,0,10,10,0,0,0,637,2894,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,2904,3541,0,0,0
Idaho,2010,1142553,959325,1571450,782752,788698,576221,566332,477192,482133,0,0,0,1,6,7,664,3357,4021,0,0,0,0,0,0,0,0,0,36,244,280,0,0,0,0,0,0,701,3607,4308,NA,0,NA
Idaho,2009,1127e3,954946,1545801,769112,776689,566695,560305,473413,481533,NA,NA,NA,2,11,13,535,2971,3506,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,319,351,NA,NA,NA,NA,NA,NA,569,3301,3870,NA,NA,NA
Idaho,2008,1110275,944999,1523816,757494,766322,555476,554799,465494,479505,NA,NA,NA,0,12,12,568,3016,3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,258,283,NA,NA,NA,NA,NA,NA,593,3286,3879,NA,NA,NA
Idaho,2007,1086868,923832,1499402,747002,752400,546312,540556,457242,466590,NA,NA,NA,0,8,8,616,3199,3815,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,214,240,NA,NA,NA,NA,NA,NA,642,3421,4063,NA,NA,NA
Idaho,2006,1073063,916276,1466465,730425,736040,537294,535769,450245,466031,NA,NA,NA,0,12,12,672,3199,3871,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,219,258,NA,NA,NA,NA,NA,NA,711,3430,4141,NA,NA,NA
Idaho,2005,1028287,882529,1408650,707457,701193,519797,508490,440221,442308,0,0,0,4,1,5,680,3070,3750,0,0,0,0,0,0,0,0,0,35,290,325,0,0,0,0,0,0,719,3361,4080,0,0,0
Idaho,2004,989067,847303,1360152,683077,677075,502110,486957,423262,424041,0,0,0,0,12,12,579,2620,3199,0,0,0,0,0,0,0,0,0,57,358,415,93,685,778,0,0,0,729,3675,4404,0,0,0
Idaho,2003,963572,824794,1333165,670396,662769,491981,471591,415933,408861,0,0,0,1,5,6,485,2285,2770,0,0,0,0,0,0,0,0,0,39,359,398,0,0,0,0,0,0,525,2649,3174,0,0,0
Idaho,2002,945405,811531,1308320,650116,658204,475438,469967,400627,410904,0,0,0,1,13,14,472,2205,2677,0,0,0,0,0,0,0,0,0,34,338,372,0,0,0,0,0,0,507,2556,3063,0,0,0
Idaho,2001,915983,784558,1289492,651033,638459,464525,451458,390260,394298,0,0,0,0,11,11,420,1960,2380,0,0,0,0,6,6,0,0,0,36,277,313,0,0,0,0,0,0,456,2254,2710,0,0,0
Idaho,2000,913964,774152,1272112,650131,621981,467940,446024,390452,383700,0,0,0,2,19,21,284,1701,1985,119,407,526,20,139,159,0,0,0,31,256,287,43,386,429,0,0,0,499,2908,3407,0,0,0
Idaho,1999,891740,754785.6,1243992.4,635263.1,608729.3,456686,435054,380555.2,374230.4,NA,NA,NA,2,10,12,198,1195,1393,98,74,172,NA,NA,NA,NA,NA,NA,39,383,422,28,292,320,NA,NA,NA,365,1972,2337,0,18,18
Idaho,1998,869516,735419.2,1215872.8,620395.2,595477.6,445432,424084,370658.4,364760.8,NA,NA,NA,NA,NA,NA,120,1211,1331,259,1031,1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,2242,2621,NA,NA,NA
