state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Massachusetts,2016,6811885,5434401,4431861,13,350,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,680,862,583,8820,9403
Massachusetts,2015,6794422,5408795,4442078,27,404,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,718,918,654,9268,9922
Massachusetts,2014,6745408,5358636,4414911,12,267,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,925,1144,728,9985,10713
Massachusetts,2013,6692824,5302868,4387385,15,314,329,NA,NA,NA,0,0,0,0,0,0,0,0,0,807,10143,10950,283,943,1226,807,10143,10950
Massachusetts,2012,6646144,5244629,4365828,13,183,196,NA,NA,NA,0,0,0,0,0,0,0,0,0,759,10549,11308,273,982,1255,759,10549,11308
Massachusetts,2011,6587536,5184434,4322687,16,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,1010,1232,791,10832,11623
Massachusetts,2010,6557254,5140479,4293097,7,155,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,1020,1187,766,10547,11313
Massachusetts,2009,6593587,5160833,4329133,9,123,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,952,1102,719,10597,11316
Massachusetts,2008,6497967,5063215,4260268,3,182,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,933,1096,751,10657,11408
Massachusetts,2007,6449755,5015072,4204948,3,133,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,1203,1388,790,10646,11436
Massachusetts,2006,6437193,4983280,4176424,6,171,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,1134,1354,846,10186,11032
Massachusetts,2005,6200944,4743399,3990903,10,202,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,1217,1412,788,9913,10701
Massachusetts,2004,6193986,4741168,3995506,5,231,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,1085,1248,741,9403,10144
Massachusetts,2003,6218757,4728290,3973e3,13,348,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1096,1256,708,9524,10232
Massachusetts,2002,6211595,4757769,3981882,10,365,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,1038,1191,704,9625,10329
Massachusetts,2001,6155496,4748010,3994245,14,406,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,765,928,713,9875,10588
Massachusetts,2000,6221681,4653923,3891966,4,453,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,707,824,663,10059,10722
Massachusetts,1999,6201103,4654996.899999997,3893214.8000000017,17,434,451,17,434,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,631,757,742,10614,11356
Massachusetts,1998,6180524,4656070.799999997,3894463.6000000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,649,772,746,11053,11799
Massachusetts,1997,6159946,4657144.699999997,3895712.4000000013,NA,NA,NA,18,466,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,694,803,733,11214,11947
Massachusetts,1996,6139368,4658218.599999998,3896961.200000001,NA,NA,NA,0,554,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,570,700,750,11046,11796
Massachusetts,1995,6118789,4659292.499999998,3898210.000000001,NA,NA,NA,0,662,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,688,763,656,11031,11687
Massachusetts,1994,6098211,4660366.3999999985,3899458.8000000007,NA,NA,NA,0,966,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,250,339,706,10587,11293
Massachusetts,1993,6077633,4661440.299999999,3900707.6000000006,NA,NA,NA,0,871,871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,195,277,653,9576,10229
Massachusetts,1992,6057055,4662514.199999999,3901956.4000000004,NA,NA,NA,8,908,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,48,564,9489,10053
