state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
New Mexico,1978,3,29,32,0,0,0,10,172,182,29,809,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,54,1325,1379
New Mexico,1979,4,27,31,0,0,0,5,165,170,30,828,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,49,1297,1346
New Mexico,1980,2,30,32,0,0,0,3,151,154,27,787,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,14,41,1220,1261
New Mexico,1981,2,53,55,0,1,1,3,157,160,32,726,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,32,53,1196,1249
New Mexico,1982,2,59,61,0,1,1,7,190,197,42,879,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,74,1385,1459
New Mexico,1983,1,50,51,0,2,2,9,247,256,35,908,943,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,61,1607,1668
New Mexico,1984,4,61,65,0,4,4,11,244,255,42,1008,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,70,1735,1805
New Mexico,1985,3,68,71,0,4,4,9,230,239,63,1098,1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,59,64,109,1826,1935
New Mexico,1986,3,81,84,0,6,6,10,205,215,84,1273,1357,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,129,1978,2107
New Mexico,1987,5,81,86,0,5,5,15,257,272,80,1424,1504,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,131,2215,2346
New Mexico,1988,6,77,83,0,4,4,13,284,297,80,1475,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,131,2310,2441
New Mexico,1989,6,100,106,0,5,5,16,312,328,71,1490,1561,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,6,136,2351,2487
