state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Washington,2016,5663243,4662065,7288e3,3651901,3636099,2857203,2806040,2308182,2353883,NA,NA,NA,1139,15616,16755,NA,NA,NA
Washington,2015,5558571,4603853,7170351,3587267,3583084,2798430,2760141,2276053,2327800,NA,NA,NA,1198,15630,16828,NA,NA,NA
Washington,2014,5460989,4551069,7061530,3529518,3532012,2753219,2707770,2253081,2297988,NA,NA,NA,1139,15605,16744,NA,NA,NA
Washington,2013,5378895,4508105,6971406,3487837,3483569,2708948,2669947,2229008,2279097,NA,NA,NA,1064,15424,16488,1244,15555,16799
Washington,2012,5316558,4488323,6897012,3458480,3438532,2686241,2630317,2233072,2255251,NA,NA,NA,1064,14884,15948,1158,15263,16421
Washington,2011,5252763,4455487,6830038,3424895,3405143,2653627,2599136,2213952,2241535,1259,15720,16979,1259,15720,16979,1171,15111,16282
Washington,2010,5162367,4392734,6744496,3385247,3359249,2615256,2547111,2184628,2208106,1259,16542,17801,1259,16542,17801,1149,15271,16420
Washington,2009,5093031,4352845,6664195,3339270,3324925,2574991,2518040,2159660,2193185,1383,16668,18051,1383,16668,18051,1327,15810,17137
Washington,2008,5001714,4279436,6549224,3281759,3267465,2518254,2483460,2111050,2168386,1284,14218,15502,1284,14218,15502,1227,12530,13757
Washington,2007,4930120,4231658,6468424,3240820,3227604,2494650,2435470,2101864,2129794,1284,14218,15502,1284,14218,15502,1227,12550,13777
Washington,2006,4859395,4171816,6395798,3210390,3185408,2459251,2400144,2069892,2101924,1284,13830,15114,1284,13830,15114,1164,12007,13171
Washington,2005,4676603,4030546,6157786,3095414,3062372,2375133,2301470,2015873,2014673,1284,13730,15014,1284,13730,15014,1164,11828,12992
Washington,2004,4581637,3957796,6071325,3062840,3008485,2336404,2245233,1983637,1974159,1344,13718,15062,1344,13718,15062,1244,11260,12504
Washington,2003,4501566,3882202,5988638,3021529,2967109,2296410,2205156,1944825,1937377,1201,13623,14824,1201,13623,14824,1115,11392,12507
Washington,2002,4426673,3825364,5937852,2985345,2952507,2252514,2174159,1911251,1914113,654,12139,12793,654,12139,12793,494,9404,9898
Washington,2001,4331354,3732001,5852281,2956139,2896142,2213585,2117769,1873388,1858613,654,12139,12793,654,12139,12793,494,9404,9898
Washington,2000,4249005,3667693,5776726,2901145,2875581,2161191,2087814,1836278,1831415,730,12832,13562,730,12832,13562,545,8921,9466
Washington,1999,4183157.1,3606559.8,5683249.8,2854657.8,2828592,2128011.9,2055145.2,1804701.3,1801858.5,730,11306,12036,730,11306,12036,545,8317,8862
Washington,1998,4117309.2,3545426.6,5589773.6,2808170.6,2781603,2094832.8,2022476.4,1773124.6,1772302,NA,NA,11575,NA,NA,11575,NA,NA,8902
Washington,1997,4051461.3,3484293.4,5496297.4,2761683.4,2734614,2061653.7,1989807.6,1741547.9,1742745.5,NA,NA,10971,NA,NA,10971,NA,NA,7963
Washington,1996,3985613.4,3423160.2,5402821.2,2715196.2,2687625,2028474.6,1957138.8,1709971.2,1713189,NA,NA,10057,NA,NA,10057,NA,NA,7371
Washington,1995,3919765.5,3362027,5309345,2668709,2640636,1995295.5,1924470,1678394.5,1683632.5,NA,NA,9916,NA,NA,9916,NA,NA,7231
Washington,1994,3853917.6,3300893.8,5215868.8,2622221.8,2593647,1962116.4,1891801.2,1646817.8,1654076,NA,NA,9588,NA,NA,9588,NA,NA,6967
Washington,1993,3788069.7,3239760.6,5122392.6,2575734.6,2546658,1928937.3,1859132.4,1615241.1,1624519.5,NA,NA,9117,NA,NA,9117,NA,NA,6894
Washington,1992,3722221.8,3178627.4,5028916.4,2529247.4,2499669,1895758.2,1826463.6,1583664.4,1594963,NA,NA,7779,NA,NA,7779,NA,NA,6190
Washington,1991,3656373.9,3117494.2,4935440.2,2482760.2,2452680,1862579.1,1793794.8,1552087.7,1565406.5,NA,NA,6710,NA,NA,6710,NA,NA,5452
Washington,1990,3590526,3056361,4841964,2436273,2405691,1829400,1761126,1520511,1535850,NA,NA,6446,NA,NA,6446,NA,NA,5411
Washington,1989,3530561.4,3009820.9,4771583.6,2401595.7,2369987.9,1799384,1731177.4,1497927.9,1511893,NA,NA,5756,NA,NA,6547,NA,NA,5756
Washington,1988,3470596.8,2963280.8,4701203.2,2366918.4,2334284.8,1769368,1701228.8,1475344.8,1487936,NA,NA,5914,NA,NA,6523,NA,NA,5914
Washington,1987,3410632.2,2916740.7,4630822.8,2332241.1,2298581.7,1739352,1671280.2,1452761.7,1463979,NA,NA,5838,NA,NA,5870,NA,NA,5838
Washington,1986,3350667.6,2870200.6,4560442.4,2297563.8,2262878.6,1709336,1641331.6,1430178.6,1440022,NA,NA,5324,NA,NA,6040,NA,NA,5324
Washington,1985,3290703,2823660.5,4490062,2262886.5,2227175.5,1679320,1611383,1407595.5,1416065,NA,NA,5291,NA,NA,7278,NA,NA,5291
Washington,1984,3230738.4,2777120.4,4419681.6,2228209.2,2191472.4,1649304,1581434.4,1385012.4,1392108,NA,NA,4484,NA,NA,6312,NA,NA,4484
Washington,1983,3170773.8,2730580.3,4349301.2,2193531.9,2155769.3,1619288,1551485.8,1362429.3,1368151,NA,NA,NA,NA,NA,6172,NA,NA,4491
