state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
North Carolina,2016,7852630,6399176,10146788,5214589,4932199,4096428,3756202,3273391,3125785,0,0,0,NA,NA,NA,30,30,0,30,0,0,0,0,30,2682,32985,35667,NA,NA,NA,2712,32985,35697
North Carolina,2015,7756383,6355726,10042802,5147754,4895048,4033138,3723245,3238551,3117175,0,0,0,NA,NA,NA,29,29,0,29,0,0,0,0,29,2660,33928,36588,0,0,0,2689,33928,36617
North Carolina,2014,7654619,6310874,9943964,5106024,4837940,3986470,3668149,3220549,3090325,0,0,0,NA,NA,NA,30,30,0,30,0,0,0,0,30,2611,34455,37066,0,0,0,2641,34455,37096
North Carolina,2013,7564516,6272424,9848060,5047190,4800870,3937525,3626991,3203436,3068988,0,0,0,NA,NA,NA,30,30,0,30,0,0,0,0,30,2462,34430,36892,0,0,0,2492,34430,36922
North Carolina,2012,7469595,6241736,9752073,5000109,4751964,3886104,3583491,3179847,3061889,0,0,0,NA,NA,NA,30,30,0,30,0,0,0,0,30,2431,34675,37106,0,0,0,2461,34675,37136
North Carolina,2011,7366132,6180022,9656401,4967977,4688424,3837059,3529073,3151287,3028735,0,0,0,NA,NA,NA,30,30,0,30,0,0,0,0,30,2610,36800,39410,0,0,0,2640,36800,39440
North Carolina,2010,7278455,6123879,9561558,4905216,4656342,3792680,3485775,3123907,2999972,0,266,266,NA,NA,NA,108,108,100,208,100,0,0,0,208,2711,37463,40174,0,0,0,2819,37563,40382
North Carolina,2009,7109245,6006438,9380884,4798761,4582123,3690019,3419226,3045585,2960853,0,0,0,NA,NA,NA,119,119,98,217,98,0,0,0,217,2689,36954,39643,0,0,0,2808,37052,39860
North Carolina,2008,6980674,5928762,9222414,4711359,4511055,3621428,3359246,3002054,2926708,0,0,0,NA,NA,NA,120,120,97,217,97,0,0,0,217,2658,36607,39265,0,0,0,2778,36704,39482
North Carolina,2007,6855490,5825218,9061032,4637108,4423924,3554313,3301177,2945746,2879472,0,0,0,NA,NA,NA,118,118,95,213,95,0,0,0,213,2508,35249,37757,0,0,0,2626,35344,37970
