state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Connecticut,2016,2827751,2292041,3576452,1830542,1745910,1464350,1363401,1159318,1132723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2015,2828634,2299206,3590886,1837230,1753656,1466377,1362257,1161631,1137575,NA,NA,NA,8,108,116,15,99,114,23,207,230
Connecticut,2014,2823459,2307453,3596677,1843981,1752696,1464931,1358528,1169505,1137948,NA,NA,NA,7,100,107,16,121,137,23,221,244
Connecticut,2013,2811600,2307112,3596080,1844231,1751849,1459733,1351867,1170603,1136509,NA,NA,NA,9,114,123,20,108,128,29,222,251
Connecticut,2012,2796969,2307171,3590347,1843982,1746365,1454145,1342824,1172516,1134655,NA,NA,NA,10,104,114,16,119,135,26,223,249
Connecticut,2011,2777833,2295955,3580709,1837345,1743364,1446091,1331742,1165066,1130889,NA,NA,NA,9,124,133,16,152,168,25,276,301
Connecticut,2010,2762028,2289579,3577073,1844880,1732193,1442197,1319831,1164882,1124697,NA,NA,NA,13,125,138,27,136,163,40,261,301
Connecticut,2009,2710846,2255218,3518288,1801145,1717143,1408436,1302410,1140855,1114363,NA,NA,NA,15,119,134,37,149,186,52,268,320
Connecticut,2008,2689215,2246294,3501252,1791958,1709294,1396007,1293208,1135148,1111146,NA,NA,NA,18,138,156,34,190,224,52,328,380
Connecticut,2007,2687835,2243777,3502309,1795389,1706920,1399869,1287966,1136682,1107095,NA,NA,NA,17,149,166,33,216,249,50,365,415
Connecticut,2006,2691893,2253246,3504809,1799814,1704995,1405976,1285917,1146481,1106765,NA,NA,NA,16,162,178,35,210,245,51,372,423
Connecticut,2005,2550309,2136722,3365768,1729313,1636455,1331878,1218431,1090545,1046177,NA,NA,NA,20,180,200,32,231,263,52,411,463
Connecticut,2004,2556258,2147466,3389483,1738966,1650517,1338169,1218089,1098419,1049047,NA,NA,NA,30,183,213,43,221,264,73,404,477
Connecticut,2003,2539350,2131137,3371241,1736293,1634948,1330300,1209050,1090659,1040478,NA,NA,NA,23,188,211,69,292,361,92,480,572
Connecticut,2002,2483379,2066299,3350345,1737413,1612932,1308443,1174936,1063060,1003239,0,0,0,32,239,271,71,324,395,103,563,666
Connecticut,2001,2509829,2097982,3317131,1708570,1608561,1322814,1187015,1079452,1018530,NA,NA,NA,33,226,259,71,274,345,104,500,604
Connecticut,2000,2448737,2027334,3294802,1706844,1587958,1301291,1147446,1049074,978260,NA,NA,NA,33,210,243,63,287,350,96,497,593
Connecticut,1999,2456843.4,2036554.9,3293534.8,1705590.2,1587944.6,1303627,1153216.4,1051798.8,984756.1,NA,NA,NA,40,207,247,68,317,385,108,524,632
Connecticut,1998,2464949.8,2045775.8,3292267.6,1704336.4,1587931.2,1305963,1158986.8,1054523.6,991252.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,525,634
Connecticut,1997,2473056.2,2054996.7,3291000.4,1703082.6,1587917.8,1308299,1164757.2,1057248.4,997748.3,NA,NA,171,NA,NA,202,NA,NA,425,139,659,798
Connecticut,1996,2481162.6,2064217.6,3289733.2,1701828.8,1587904.4,1310635,1170527.6,1059973.2,1004244.4,NA,NA,199,NA,NA,239,NA,NA,252,109,581,690
Connecticut,1995,2489269,2073438.5,3288466,1700575,1587891,1312971,1176298,1062698,1010740.5,NA,NA,254,NA,NA,187,NA,NA,314,128,627,755
Connecticut,1994,2497375.4,2082659.4,3287198.8,1699321.2,1587877.6,1315307,1182068.4,1065422.8,1017236.6,NA,NA,350,NA,NA,184,NA,NA,406,140,800,940
Connecticut,1993,2505481.8,2091880.3,3285931.6,1698067.4,1587864.2,1317643,1187838.8,1068147.6,1023732.7,NA,NA,327,NA,NA,193,NA,NA,366,135,751,886
Connecticut,1992,2513588.2,2101101.2,3284664.4,1696813.6,1587850.8,1319979,1193609.2,1070872.4,1030228.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621
Connecticut,1991,2521694.6,2110322.1,3283397.2,1695559.8,1587837.4,1322315,1199379.6,1073597.2,1036724.9,NA,NA,229,NA,NA,81,NA,NA,264,NA,NA,574
