state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
North Dakota,1998,1,8,9,NA,NA,NA
North Dakota,1999,1,14,15,NA,NA,NA
North Dakota,2e3,1,11,12,0,7,7
North Dakota,2001,0,10,10,0,2,2
North Dakota,2002,2,10,12,0,1,1
North Dakota,2003,1,8,9,0,2,2
North Dakota,2004,1,14,15,0,1,1
North Dakota,2005,1,8,9,0,4,4
North Dakota,2006,1,6,7,0,1,1
North Dakota,2007,1,15,16,0,0,0
North Dakota,2008,1,11,12,0,0,0
North Dakota,2009,1,13,14,0,0,0
North Dakota,2010,0,7,7,0,0,0
North Dakota,2011,0,7,7,0,0,0
North Dakota,2012,1,11,12,0,0,0
North Dakota,2013,1,16,17,0,0,0
North Dakota,2014,3,15,18,0,0,0
North Dakota,2015,1,22,23,0,0,0
North Dakota,2016,0,23,23,0,0,0
